"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-103",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output avgload_3_master.csv",,,,"Date:","10 Mar 2014 18:23:51 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
30.253,2.658,66.666,0.123,0.000,0.300,83194.007,4679071.480,0.170,0.840,2.050,1498165248.0,211636224.0,883523584.0,14149574656.0,0.0,0.0,0.000,0.0,32.491,0.0,17091784704.0,4077.482,3266.045
2.864,0.623,96.389,0.0,0.0,0.125,0.0,0.0,0.170,0.840,2.050,1497735168.0,211636224.0,883527680.0,14150000640.0,2776.0,510.0,1.0,0.0,0.0,0.0,17091784704.0,762.0,1290.0
2.509,0.376,97.114,0.0,0.0,0.0,0.0,0.0,0.150,0.830,2.030,1498193920.0,211636224.0,883535872.0,14149533696.0,2950.0,444.0,0.0,0.0,0.0,0.0,17091784704.0,701.0,1236.0
0.750,0.375,98.875,0.0,0.0,0.0,0.0,0.0,0.150,0.830,2.030,1498333184.0,211636224.0,883539968.0,14149390336.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,431.0,815.0
5.757,3.504,90.738,0.0,0.0,0.0,0.0,0.0,0.150,0.830,2.030,1498447872.0,211636224.0,883544064.0,14149271552.0,2474.0,462.0,0.0,0.0,0.0,0.0,17091784704.0,1630.0,2774.0
11.779,1.253,86.967,0.0,0.0,0.0,0.0,225280.0,0.150,0.830,2.030,1521455104.0,211644416.0,883548160.0,14126252032.0,2004.0,264.0,3.0,0.0,100.0,0.0,17091784704.0,2391.0,2622.0
14.143,0.375,85.482,0.0,0.0,0.0,0.0,0.0,0.150,0.830,2.030,1505796096.0,211644416.0,883589120.0,14141870080.0,2360.0,396.0,1.0,0.0,5.0,0.0,17091784704.0,1227.0,1354.0
4.370,1.124,94.507,0.0,0.0,0.0,0.0,163840.0,0.140,0.810,2.020,1506643968.0,211644416.0,885739520.0,14138871808.0,2270.0,697.0,0.0,0.0,62.0,0.0,17091784704.0,1202.0,1741.0
1.252,0.0,98.748,0.0,0.0,0.0,0.0,0.0,0.140,0.810,2.020,1506705408.0,211644416.0,885628928.0,14138920960.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,479.0,896.0
13.375,2.375,84.125,0.0,0.0,0.125,0.0,2326528.0,0.140,0.810,2.020,1524224000.0,211644416.0,895504384.0,14111526912.0,2004.0,264.0,3.0,0.0,54.0,0.0,17091784704.0,2701.0,3211.0
30.500,12.500,55.750,0.250,0.0,1.0,0.0,1871872.0,0.140,0.810,2.020,1541304320.0,211656704.0,910012416.0,14079926272.0,271962.0,7302774.0,0.0,0.0,246.0,0.0,17091784704.0,10062.0,4786.0
11.839,5.038,81.738,0.0,0.0,1.385,0.0,299008.0,0.140,0.810,2.020,1543544832.0,211656704.0,916672512.0,14071025664.0,1627318.0,12278183.0,2.0,0.0,88.0,0.0,17091784704.0,14910.0,5818.0
17.043,6.516,75.313,0.0,0.0,1.128,0.0,303104.0,0.210,0.810,2.020,1543581696.0,211656704.0,922923008.0,14064738304.0,3007314.0,12279244.0,2.0,0.0,99.0,0.0,17091784704.0,15674.0,7613.0
14.806,6.399,77.666,0.0,0.0,1.129,0.0,253952.0,0.210,0.810,2.020,1539932160.0,211656704.0,930279424.0,14061031424.0,2641524.0,12287537.0,0.0,0.0,86.0,0.0,17091784704.0,15462.0,6995.0
19.874,8.302,70.818,0.0,0.0,1.006,0.0,299008.0,0.210,0.810,2.020,1540931584.0,211656704.0,938921984.0,14051389440.0,3962582.0,12247596.0,0.0,0.0,105.0,0.0,17091784704.0,16767.0,8936.0
13.092,4.863,80.175,0.249,0.0,1.621,0.0,2326528.0,0.210,0.810,2.020,1545711616.0,211668992.0,943374336.0,14042144768.0,3038178.0,12272940.0,3.0,0.0,78.0,0.0,17091784704.0,15417.0,7372.0
14.622,6.072,77.200,0.0,0.0,2.107,0.0,274432.0,0.210,0.810,2.020,1539588096.0,211668992.0,949796864.0,14041845760.0,3915296.0,12278132.0,3.0,0.0,84.0,0.0,17091784704.0,15966.0,8668.0
19.524,7.259,71.589,0.0,0.0,1.627,0.0,368640.0,0.350,0.830,2.020,1546866688.0,211668992.0,957706240.0,14026657792.0,3414966.0,12270827.0,2.0,0.0,139.0,0.0,17091784704.0,16312.0,8546.0
12.610,5.549,80.832,0.0,0.0,1.009,0.0,270336.0,0.350,0.830,2.020,1538564096.0,211668992.0,962052096.0,14030614528.0,3433338.0,12278910.0,1.0,0.0,81.0,0.0,17091784704.0,15657.0,7839.0
17.085,6.910,74.497,0.0,0.0,1.508,0.0,294912.0,0.350,0.830,2.020,1542877184.0,211668992.0,968667136.0,14019686400.0,4088480.0,12257770.0,3.0,0.0,111.0,0.0,17091784704.0,16357.0,9039.0
13.333,4.780,80.377,0.252,0.0,1.258,0.0,2514944.0,0.350,0.830,2.020,1545654272.0,211677184.0,974610432.0,14010957824.0,2368328.0,12291430.0,3.0,0.0,73.0,0.0,17091784704.0,14959.0,6328.0
18.125,7.0,73.500,0.0,0.0,1.375,0.0,307200.0,0.350,0.830,2.020,1539313664.0,211677184.0,983187456.0,14008721408.0,4342827.0,12199602.0,1.0,0.0,102.0,0.0,17091784704.0,16568.0,9385.0
17.566,7.528,73.777,0.0,0.0,1.129,0.0,356352.0,0.490,0.850,2.020,1550213120.0,211677184.0,988684288.0,13992325120.0,4898530.0,12258233.0,6.0,0.0,134.0,0.0,17091784704.0,16463.0,10356.0
16.625,7.305,74.937,0.0,0.0,1.134,0.0,360448.0,0.490,0.850,2.020,1542709248.0,211677184.0,996507648.0,13992005632.0,3720182.0,12267275.0,2.0,0.0,115.0,0.0,17091784704.0,16003.0,8658.0
19.799,8.897,69.799,0.0,0.0,1.504,0.0,471040.0,0.490,0.850,2.020,1551998976.0,211677184.0,1005862912.0,13973360640.0,3339518.0,11296817.0,2.0,0.0,164.0,0.0,17091784704.0,15306.0,8705.0
18.680,6.849,72.976,0.125,0.0,1.370,0.0,2908160.0,0.490,0.850,2.020,1552310272.0,211685376.0,1012113408.0,13966790656.0,4170372.0,12264704.0,4.0,0.0,117.0,0.0,17091784704.0,16352.0,9319.0
17.462,7.663,73.241,0.0,0.0,1.633,0.0,307200.0,0.490,0.850,2.020,1544286208.0,211685376.0,1020841984.0,13966086144.0,4066994.0,12266668.0,1.0,0.0,97.0,0.0,17091784704.0,16698.0,8906.0
11.318,4.229,82.587,0.124,0.0,1.741,0.0,4300800.0,0.610,0.870,2.020,1541066752.0,211685376.0,1025335296.0,13964812288.0,2155748.0,12295847.0,1.0,0.0,66.0,0.0,17091784704.0,15321.0,5970.0
18.444,8.908,71.393,0.0,0.0,1.255,0.0,352256.0,0.610,0.870,2.020,1551867904.0,211685376.0,1030361088.0,13948985344.0,4470384.0,11953860.0,3.0,0.0,127.0,0.0,17091784704.0,16580.0,9634.0
20.025,10.263,68.085,0.0,0.0,1.627,0.0,872448.0,0.610,0.870,2.020,1546932224.0,211685376.0,1033822208.0,13950459904.0,5715187.0,12250995.0,5.0,0.0,304.0,0.0,17091784704.0,17771.0,13076.0
15.346,6.038,77.484,0.252,0.0,0.881,0.0,3485696.0,0.610,0.870,2.020,1544339456.0,211689472.0,1038336000.0,13948534784.0,3376754.0,9548178.0,8.0,0.0,224.0,0.0,17091784704.0,14842.0,9524.0
23.434,11.779,63.409,0.0,0.0,1.378,0.0,1323008.0,0.610,0.870,2.020,1547366400.0,211689472.0,1049894912.0,13933948928.0,4781712.0,9327429.0,6.0,0.0,467.0,0.0,17091784704.0,15868.0,13712.0
18.719,8.920,71.231,0.0,0.0,1.131,0.0,913408.0,0.640,0.870,2.010,1540235264.0,211689472.0,1058766848.0,13932208128.0,2735388.0,12279299.0,3.0,0.0,274.0,0.0,17091784704.0,16428.0,9344.0
22.914,10.710,65.006,0.0,0.0,1.370,0.0,516096.0,0.640,0.870,2.010,1554214912.0,211689472.0,1072033792.0,13904961536.0,2658894.0,11865279.0,2.0,0.0,179.0,0.0,17091784704.0,15621.0,8033.0
11.582,5.479,81.320,0.0,0.0,1.619,0.0,290816.0,0.640,0.870,2.010,1543651328.0,211689472.0,1074208768.0,13913350144.0,2263432.0,12291973.0,0.0,0.0,92.0,0.0,17091784704.0,15146.0,6544.0
18.319,8.030,72.020,0.125,0.0,1.506,0.0,3719168.0,0.640,0.870,2.010,1543811072.0,211701760.0,1073479680.0,13913907200.0,2962132.0,11542055.0,2.0,0.0,202.0,0.0,17091784704.0,15597.0,8655.0
24.531,12.140,61.827,0.0,0.0,1.502,0.0,884736.0,0.640,0.870,2.010,1561935872.0,211701760.0,1080762368.0,13888499712.0,4121278.0,11017508.0,11.0,0.0,308.0,0.0,17091784704.0,16206.0,11308.0
22.585,8.281,68.005,0.0,0.0,1.129,0.0,729088.0,0.670,0.880,2.010,1553952768.0,211701760.0,1094885376.0,13882359808.0,2128949.0,12004283.0,2.0,0.0,116.0,0.0,17091784704.0,15219.0,6722.0
14.698,5.025,78.894,0.0,0.0,1.382,0.0,290816.0,0.670,0.880,2.010,1543118848.0,211701760.0,1100247040.0,13887832064.0,2224664.0,12277888.0,0.0,0.0,86.0,0.0,17091784704.0,15201.0,6482.0
16.521,7.259,74.969,0.0,0.0,1.252,0.0,368640.0,0.670,0.880,2.010,1553805312.0,211701760.0,1103953920.0,13873438720.0,3116640.0,12273514.0,6.0,0.0,139.0,0.0,17091784704.0,16117.0,8066.0
15.375,7.625,75.375,0.125,0.0,1.500,0.0,2961408.0,0.670,0.880,2.010,1550344192.0,211701760.0,1109401600.0,13871452160.0,3033108.0,12286503.0,1.0,0.0,116.0,0.0,17091784704.0,15819.0,7905.0
17.794,8.772,71.554,0.0,0.0,1.880,0.0,843776.0,0.670,0.880,2.010,1559011328.0,211701760.0,1106452480.0,13865734144.0,4121268.0,11331531.0,9.0,0.0,296.0,0.0,17091784704.0,16358.0,10866.0
23.559,10.526,64.411,0.0,0.0,1.504,0.0,13963264.0,0.610,0.860,2.0,1543184384.0,211701760.0,1115402240.0,13872611328.0,2563154.0,11989180.0,1.0,0.0,222.0,0.0,17091784704.0,16066.0,8398.0
5.013,2.005,92.105,0.0,0.0,0.877,0.0,462848.0,0.610,0.860,2.0,1519792128.0,211701760.0,1114316800.0,13897089024.0,2553684.0,4191038.0,1.0,0.0,82.0,0.0,17091784704.0,7923.0,6311.0
12.250,1.125,86.500,0.0,0.0,0.125,0.0,946176.0,0.610,0.860,2.0,1665146880.0,211701760.0,1118511104.0,13747539968.0,2360.0,396.0,1.0,0.0,8.0,0.0,17091784704.0,1037.0,1235.0
12.625,0.625,86.375,0.375,0.0,0.0,0.0,3813376.0,0.610,0.860,2.0,1666150400.0,211709952.0,1146974208.0,13718065152.0,2070.0,378.0,1.0,0.0,0.0,0.0,17091784704.0,720.0,979.0
11.692,2.114,86.070,0.0,0.0,0.124,0.0,2723840.0,0.610,0.860,2.0,1517744128.0,211709952.0,1166155776.0,13847289856.0,2360.0,330.0,1.0,0.0,62.0,0.0,17091784704.0,1203.0,1704.0
79.875,4.250,15.500,0.250,0.0,0.125,0.0,32284672.0,1.370,1.010,2.040,1587310592.0,211709952.0,1167273984.0,13776605184.0,2210.0,637.0,9.0,0.0,305.0,0.0,17091784704.0,2615.0,3362.0
96.370,3.004,0.626,0.0,0.0,0.0,0.0,0.0,1.370,1.010,2.040,1727045632.0,211709952.0,1168252928.0,13635891200.0,1890.0,198.0,10.0,0.0,214.0,0.0,17091784704.0,2347.0,2887.0
97.503,2.372,0.125,0.0,0.0,0.0,0.0,0.0,1.370,1.010,2.040,1948893184.0,211709952.0,1168343040.0,13413953536.0,1890.0,198.0,9.0,0.0,69.0,0.0,17091784704.0,2214.0,2241.0
97.375,2.250,0.250,0.0,0.0,0.125,0.0,983040.0,1.370,1.010,2.040,2141622272.0,211722240.0,1168543744.0,13221011456.0,1890.0,198.0,9.0,0.0,22.0,0.0,17091784704.0,2246.0,2130.0
97.500,2.250,0.250,0.0,0.0,0.0,0.0,0.0,1.370,1.010,2.040,1997914112.0,211722240.0,1173819392.0,13359443968.0,2420.0,456.0,11.0,0.0,79.0,0.0,17091784704.0,2305.0,2373.0
97.622,2.128,0.0,0.0,0.0,0.250,0.0,32485376.0,1.980,1.150,2.080,2203930624.0,211722240.0,1174355968.0,13152890880.0,1890.0,198.0,9.0,0.0,9.0,0.0,17091784704.0,2376.0,1981.0
98.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,1.980,1.150,2.080,2359414784.0,211722240.0,1176576000.0,12995186688.0,1890.0,198.0,9.0,0.0,0.0,0.0,17091784704.0,2190.0,1953.0
97.125,2.250,0.625,0.0,0.0,0.0,0.0,0.0,1.980,1.150,2.080,2130673664.0,211722240.0,1183625216.0,13216878592.0,2360.0,396.0,10.0,0.0,67.0,0.0,17091784704.0,2232.0,2209.0
98.0,1.875,0.125,0.0,0.0,0.0,0.0,823296.0,1.980,1.150,2.080,2143961088.0,211730432.0,1185280000.0,13201928192.0,2950.0,330.0,10.0,0.0,64.0,0.0,17091784704.0,2269.0,2316.0
96.500,3.375,0.125,0.0,0.0,0.0,0.0,0.0,1.980,1.150,2.080,1963556864.0,211730432.0,1194274816.0,13373337600.0,3306.0,462.0,9.0,0.0,50.0,0.0,17091784704.0,2268.0,2259.0
97.004,2.747,0.0,0.0,0.0,0.250,0.0,37949440.0,2.700,1.310,2.130,1975689216.0,211730432.0,1196347392.0,13359132672.0,3156.0,703.0,10.0,0.0,61.0,0.0,17091784704.0,2511.0,2268.0
96.996,2.753,0.250,0.0,0.0,0.0,0.0,0.0,2.700,1.310,2.130,2010824704.0,211730432.0,1195495424.0,13324849152.0,1890.0,198.0,9.0,0.0,134.0,0.0,17091784704.0,2229.0,2510.0
98.250,1.750,0.0,0.0,0.0,0.0,0.0,0.0,2.700,1.310,2.130,2162401280.0,211730432.0,1198043136.0,13170724864.0,1890.0,198.0,9.0,0.0,22.0,0.0,17091784704.0,2228.0,2075.0
97.375,2.375,0.250,0.0,0.0,0.0,0.0,1069056.0,2.700,1.310,2.130,2115264512.0,211738624.0,1200992256.0,13214904320.0,1890.0,198.0,10.0,0.0,47.0,0.0,17091784704.0,2261.0,2201.0
98.625,1.375,0.0,0.0,0.0,0.0,0.0,0.0,2.700,1.310,2.130,2175119360.0,211738624.0,1203167232.0,13152874496.0,2360.0,396.0,9.0,0.0,30.0,0.0,17091784704.0,2242.0,2163.0
97.375,1.750,0.125,0.0,0.0,0.750,0.0,48832512.0,3.200,1.440,2.160,2216173568.0,211738624.0,1208016896.0,13106970624.0,1950.0,258.0,9.0,0.0,56.0,0.0,17091784704.0,3156.0,2243.0
98.0,1.875,0.0,0.0,0.0,0.125,0.0,0.0,3.200,1.440,2.160,2158551040.0,211738624.0,1215180800.0,13157429248.0,1890.0,198.0,10.0,0.0,44.0,0.0,17091784704.0,2243.0,2188.0
97.500,2.375,0.125,0.0,0.0,0.0,0.0,0.0,3.200,1.440,2.160,2046164992.0,211738624.0,1213677568.0,13271318528.0,2360.0,396.0,9.0,0.0,63.0,0.0,17091784704.0,2272.0,2300.0
97.875,2.125,0.0,0.0,0.0,0.0,0.0,1425408.0,3.200,1.440,2.160,2086023168.0,211750912.0,1213321216.0,13231804416.0,1890.0,198.0,9.0,0.0,41.0,0.0,17091784704.0,2273.0,2234.0
97.753,2.247,0.0,0.0,0.0,0.0,0.0,0.0,3.200,1.440,2.160,2059472896.0,211750912.0,1216356352.0,13255319552.0,2246.0,330.0,10.0,0.0,32.0,0.0,17091784704.0,2239.0,2158.0
96.746,2.753,0.125,0.0,0.0,0.375,0.0,29577216.0,3.670,1.560,2.200,1926090752.0,211750912.0,1228705792.0,13376352256.0,2096.0,571.0,9.0,0.0,65.0,0.0,17091784704.0,2439.0,2226.0
98.250,1.625,0.125,0.0,0.0,0.0,0.0,0.0,3.670,1.560,2.200,2113044480.0,211750912.0,1222311936.0,13195792384.0,1890.0,198.0,9.0,0.0,42.0,0.0,17091784704.0,2267.0,2165.0
98.375,1.625,0.0,0.0,0.0,0.0,0.0,0.0,3.670,1.560,2.200,2190999552.0,211750912.0,1227534336.0,13112614912.0,1890.0,198.0,10.0,0.0,1.0,0.0,17091784704.0,2192.0,1971.0
98.625,1.375,0.0,0.0,0.0,0.0,0.0,864256.0,3.670,1.560,2.200,2281062400.0,211759104.0,1228648448.0,13021429760.0,1956.0,330.0,9.0,0.0,17.0,0.0,17091784704.0,2245.0,2065.0
98.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,3.670,1.560,2.200,2323959808.0,211759104.0,1227186176.0,12979994624.0,2474.0,462.0,9.0,0.0,48.0,0.0,17091784704.0,2313.0,2329.0
98.874,1.001,0.0,0.0,0.0,0.125,0.0,29511680.0,4.090,1.690,2.240,2458279936.0,211759104.0,1227952128.0,12844908544.0,2004.0,264.0,10.0,0.0,0.0,0.0,17091784704.0,2391.0,1940.0
99.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,4.090,1.690,2.240,2564173824.0,211759104.0,1231556608.0,12735410176.0,2064.0,324.0,9.0,0.0,0.0,0.0,17091784704.0,2189.0,1952.0
98.373,1.627,0.0,0.0,0.0,0.0,0.0,0.0,4.090,1.690,2.240,2384674816.0,211759104.0,1237352448.0,12909113344.0,2360.0,396.0,9.0,0.0,45.0,0.0,17091784704.0,2223.0,2157.0
99.0,1.0,0.0,0.0,0.0,0.0,0.0,811008.0,4.090,1.690,2.240,2480103424.0,211763200.0,1234485248.0,12816547840.0,1890.0,198.0,10.0,0.0,21.0,0.0,17091784704.0,2235.0,2091.0
99.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,4.090,1.690,2.240,2593271808.0,211763200.0,1235214336.0,12702650368.0,2312.0,462.0,9.0,0.0,0.0,0.0,17091784704.0,2197.0,1969.0
97.753,1.623,0.250,0.0,0.0,0.375,0.0,59187200.0,4.490,1.810,2.270,2603528192.0,211763200.0,1241432064.0,12686176256.0,2162.0,685.0,9.0,0.0,3.0,0.0,17091784704.0,2420.0,1989.0
98.248,1.752,0.0,0.0,0.0,0.0,0.0,589824.0,4.490,1.810,2.270,2557779968.0,211767296.0,1239781376.0,12733571072.0,2378.0,1260.0,10.0,0.0,43.0,0.0,17091784704.0,2273.0,2259.0
98.377,1.498,0.0,0.0,0.0,0.125,0.0,0.0,4.490,1.810,2.270,2529304576.0,211767296.0,1247686656.0,12754141184.0,1890.0,198.0,9.0,0.0,21.0,0.0,17091784704.0,2207.0,2055.0
97.997,2.003,0.0,0.0,0.0,0.0,0.0,0.0,4.490,1.810,2.270,2393206784.0,211767296.0,1246269440.0,12891656192.0,1890.0,198.0,9.0,0.0,31.0,0.0,17091784704.0,2197.0,2088.0
97.503,2.497,0.0,0.0,0.0,0.0,0.0,163840.0,4.490,1.810,2.270,2410049536.0,211775488.0,1248210944.0,12872863744.0,2360.0,396.0,12.0,0.0,29.0,0.0,17091784704.0,2253.0,2184.0
98.627,1.248,0.0,0.0,0.0,0.125,0.0,6873088.0,4.930,1.940,2.310,2356461568.0,211775488.0,1255968768.0,12918693888.0,1890.0,198.0,9.0,0.0,17.0,0.0,17091784704.0,2240.0,2048.0
98.120,1.754,0.125,0.0,0.0,0.0,0.0,0.0,4.930,1.940,2.310,2294259712.0,211775488.0,1258610688.0,12978253824.0,1950.0,258.0,9.0,0.0,57.0,0.0,17091784704.0,2230.0,2206.0
97.121,2.753,0.125,0.0,0.0,0.0,0.0,0.0,4.930,1.940,2.310,2213621760.0,211775488.0,1260904448.0,13056598016.0,2420.0,456.0,10.0,0.0,87.0,0.0,17091784704.0,2309.0,2437.0
98.502,1.373,0.125,0.0,0.0,0.0,0.0,0.0,4.930,1.940,2.310,2360016896.0,211775488.0,1265397760.0,12905709568.0,1890.0,198.0,9.0,0.0,28.0,0.0,17091784704.0,2206.0,2090.0
97.625,2.375,0.0,0.0,0.0,0.0,0.0,180224.0,4.930,1.940,2.310,2251051008.0,211783680.0,1262227456.0,13017837568.0,2246.0,330.0,9.0,0.0,43.0,0.0,17091784704.0,2304.0,2314.0
98.123,1.877,0.0,0.0,0.0,0.0,0.0,14143488.0,5.250,2.060,2.350,2277601280.0,211783680.0,1264914432.0,12988600320.0,2096.0,571.0,11.0,0.0,35.0,0.0,17091784704.0,2293.0,2162.0
97.878,1.873,0.125,0.0,0.0,0.125,0.0,0.0,5.250,2.060,2.350,2369228800.0,211783680.0,1268097024.0,12893790208.0,1890.0,198.0,9.0,0.0,32.0,0.0,17091784704.0,2241.0,2119.0
98.125,1.750,0.125,0.0,0.0,0.0,0.0,0.0,5.250,2.060,2.350,2382508032.0,211783680.0,1270792192.0,12877815808.0,1890.0,198.0,9.0,0.0,41.0,0.0,17091784704.0,2226.0,2163.0
98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.250,2.060,2.350,2356449280.0,211783680.0,1277693952.0,12896972800.0,1890.0,198.0,10.0,0.0,29.0,0.0,17091784704.0,2234.0,2109.0
97.247,2.628,0.125,0.0,0.0,0.0,0.0,176128.0,5.250,2.060,2.350,2176430080.0,211791872.0,1283858432.0,13070819328.0,2360.0,396.0,9.0,0.0,66.0,0.0,17091784704.0,2294.0,2329.0
98.123,1.752,0.0,0.0,0.0,0.125,0.0,12742656.0,5.550,2.180,2.390,2227347456.0,211791872.0,1280311296.0,13023449088.0,1890.0,198.0,9.0,0.0,37.0,0.0,17091784704.0,2285.0,2155.0
98.750,1.250,0.0,0.0,0.0,0.0,0.0,0.0,5.550,2.180,2.390,2363240448.0,211791872.0,1278369792.0,12889497600.0,2010.0,258.0,10.0,0.0,21.0,0.0,17091784704.0,2248.0,2095.0
97.250,2.500,0.250,0.0,0.0,0.0,0.0,0.0,5.550,2.180,2.390,2297552896.0,211791872.0,1282605056.0,12950949888.0,2360.0,396.0,9.0,0.0,88.0,0.0,17091784704.0,2254.0,2337.0
98.625,1.375,0.0,0.0,0.0,0.0,0.0,0.0,5.550,2.180,2.390,2469859328.0,211791872.0,1283112960.0,12778135552.0,1950.0,258.0,9.0,0.0,0.0,0.0,17091784704.0,2180.0,1923.0
97.628,1.998,0.250,0.0,0.0,0.125,0.0,172032.0,5.550,2.180,2.390,2326446080.0,211800064.0,1295671296.0,12908982272.0,2246.0,330.0,10.0,0.0,24.0,0.0,17091784704.0,2265.0,2133.0
97.243,2.256,0.125,0.0,0.0,0.376,0.0,17186816.0,5.830,2.290,2.420,2279792640.0,211800064.0,1297022976.0,12954284032.0,2096.0,571.0,9.0,0.0,45.0,0.0,17091784704.0,2528.0,2166.0
98.502,1.373,0.0,0.0,0.0,0.125,0.0,0.0,5.830,2.290,2.420,2356871168.0,211800064.0,1290027008.0,12884201472.0,2004.0,264.0,9.0,0.0,31.0,0.0,17091784704.0,2264.0,2173.0
97.372,2.378,0.250,0.0,0.0,0.0,0.0,0.0,5.830,2.290,2.420,2179551232.0,211800064.0,1298804736.0,13052743680.0,1890.0,198.0,10.0,0.0,82.0,0.0,17091784704.0,2251.0,2340.0
97.628,2.122,0.125,0.0,0.0,0.125,0.0,0.0,5.830,2.290,2.420,2146762752.0,211800064.0,1299308544.0,13085028352.0,1890.0,198.0,9.0,0.0,80.0,0.0,17091784704.0,2284.0,2347.0
97.497,2.378,0.125,0.0,0.0,0.0,0.0,159744.0,5.830,2.290,2.420,2285326336.0,211808256.0,1300021248.0,12945743872.0,2360.0,396.0,9.0,0.0,66.0,0.0,17091784704.0,2271.0,2325.0
98.373,1.627,0.0,0.0,0.0,0.0,0.0,10969088.0,6.160,2.420,2.460,2379345920.0,211808256.0,1301827584.0,12849917952.0,1890.0,198.0,10.0,0.0,26.0,0.0,17091784704.0,2266.0,2108.0
98.753,1.122,0.0,0.0,0.0,0.125,0.0,0.0,6.160,2.420,2.460,2400280576.0,211808256.0,1306832896.0,12823977984.0,1890.0,198.0,9.0,0.0,1.0,0.0,17091784704.0,2176.0,1935.0
97.997,1.752,0.250,0.0,0.0,0.0,0.0,0.0,6.160,2.420,2.460,2311417856.0,211808256.0,1307226112.0,12912447488.0,2360.0,396.0,9.0,0.0,65.0,0.0,17091784704.0,2251.0,2258.0
98.250,1.625,0.0,0.0,0.0,0.125,0.0,0.0,6.160,2.420,2.460,2296807424.0,211808256.0,1315454976.0,12918829056.0,1890.0,198.0,11.0,0.0,23.0,0.0,17091784704.0,2232.0,2107.0
96.750,3.125,0.125,0.0,0.0,0.0,0.0,241664.0,6.160,2.420,2.460,2174058496.0,211816448.0,1315147776.0,13041876992.0,2306.0,390.0,9.0,0.0,103.0,0.0,17091784704.0,2272.0,2399.0
98.373,1.627,0.0,0.0,0.0,0.0,0.0,5091328.0,6.390,2.530,2.500,2378649600.0,211816448.0,1315471360.0,12836962304.0,2096.0,571.0,9.0,0.0,8.0,0.0,17091784704.0,2230.0,2005.0
98.375,1.625,0.0,0.0,0.0,0.0,0.0,0.0,6.390,2.530,2.500,2478514176.0,211816448.0,1321758720.0,12730810368.0,1890.0,198.0,10.0,0.0,1.0,0.0,17091784704.0,2181.0,1937.0
97.878,1.998,0.0,0.0,0.0,0.125,0.0,0.0,6.390,2.530,2.500,2407284736.0,211816448.0,1320161280.0,12803637248.0,1890.0,198.0,9.0,0.0,49.0,0.0,17091784704.0,2225.0,2183.0
97.870,1.880,0.251,0.0,0.0,0.0,0.0,0.0,6.390,2.530,2.500,2291916800.0,211816448.0,1327525888.0,12911640576.0,2950.0,330.0,10.0,0.0,61.0,0.0,17091784704.0,2280.0,2321.0
97.747,2.253,0.0,0.0,0.0,0.0,0.0,217088.0,6.390,2.530,2.500,2388013056.0,211824640.0,1326256128.0,12816805888.0,3420.0,528.0,10.0,0.0,43.0,0.0,17091784704.0,2286.0,2236.0
98.130,1.621,0.125,0.0,0.0,0.125,0.0,12697600.0,6.680,2.650,2.540,2471694336.0,211824640.0,1332084736.0,12727296000.0,2950.0,330.0,9.0,0.0,10.0,0.0,17091784704.0,2243.0,2008.0
