"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-101",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output avgload_3_slave101.csv",,,,"Date:","10 Mar 2014 18:23:53 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
10.516,0.339,89.060,0.034,0.0,0.051,25649.072,32784.995,0.180,0.450,0.910,271798272.0,115392512.0,268095488.0,7476441088.0,0.0,0.0,0.0,0.0,3.372,0.0,8343515136.0,735.916,684.708
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.180,0.450,0.910,271798272.0,115392512.0,268095488.0,7476441088.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,59.0,90.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.180,0.450,0.910,271679488.0,115392512.0,268095488.0,7476559872.0,836.0,1487.0,0.0,0.0,2.0,0.0,8343515136.0,155.0,157.0
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.180,0.450,0.910,271667200.0,115392512.0,268099584.0,7476568064.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,36.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.180,0.450,0.910,271802368.0,115392512.0,268099584.0,7476432896.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,40.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.170,0.450,0.900,271802368.0,115392512.0,268099584.0,7476432896.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,31.0,42.0
0.125,0.0,99.500,0.375,0.0,0.0,0.0,24576.0,0.170,0.450,0.900,271802368.0,115392512.0,268099584.0,7476432896.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,38.0,54.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.450,0.900,271802368.0,115392512.0,268099584.0,7476432896.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,36.0
2.503,0.626,96.871,0.0,0.0,0.0,0.0,0.0,0.170,0.450,0.900,272846848.0,115392512.0,268795904.0,7474692096.0,1011428.0,73764.0,1.0,0.0,15.0,0.0,8343515136.0,1007.0,1055.0
26.817,1.504,71.554,0.0,0.0,0.125,0.0,0.0,0.170,0.450,0.900,341606400.0,115392512.0,273293312.0,7401435136.0,4661809.0,429388.0,4.0,0.0,26.0,0.0,8343515136.0,2908.0,3295.0
