"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","tangjp"
"Cmdline:","dstat -cdlmnpsy --output ccache1.csv",,,,"Date:","24 Mar 2014 16:40:25 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
25.776,4.326,68.585,1.216,0.0,0.097,433151.734,4495467.907,0.190,0.800,2.760,718274560.0,54616064.0,1970376704.0,5623992320.0,0.0,0.0,0.0,0.0,13.225,1155072.0,8586678272.0,900.432,718.747,
0.375,0.250,99.376,0.0,0.0,0.0,0.0,0.0,0.190,0.800,2.760,718270464.0,54616064.0,1970380800.0,5623992320.0,0.0,0.0,0.0,0.0,0.0,1155072.0,8586678272.0,171.0,480.0,
1.006,0.503,97.107,1.258,0.0,0.126,0.0,21913600.0,0.190,0.800,2.760,718569472.0,54616064.0,1970278400.0,5623795712.0,0.0,0.0,0.0,1.0,0.0,1155072.0,8586678272.0,565.0,1081.0,
0.0,0.0,88.035,11.965,0.0,0.0,0.0,32206848.0,0.190,0.800,2.760,718536704.0,54616064.0,1970278400.0,5623828480.0,0.0,0.0,0.0,0.0,0.0,1155072.0,8586678272.0,406.0,325.0,
0.749,0.125,99.001,0.0,0.0,0.125,0.0,0.0,0.170,0.780,2.740,718635008.0,54616064.0,1970278400.0,5623730176.0,0.0,0.0,0.0,0.0,0.0,1155072.0,8586678272.0,268.0,898.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.170,0.780,2.740,718635008.0,54616064.0,1970278400.0,5623730176.0,0.0,0.0,0.0,0.0,0.0,1155072.0,8586678272.0,113.0,267.0,
0.0,0.375,99.625,0.0,0.0,0.0,0.0,106496.0,0.170,0.780,2.740,718626816.0,54624256.0,1970278400.0,5623730176.0,0.0,0.0,1.0,0.0,0.0,1155072.0,8586678272.0,181.0,469.0,
2.375,1.0,95.250,0.750,0.0,0.625,12288.0,110592.0,0.170,0.780,2.740,726114304.0,54624256.0,1970282496.0,5616238592.0,0.0,0.0,2.0,0.0,77.0,1155072.0,8586678272.0,956.0,2780.0,
17.929,2.525,79.293,0.0,0.0,0.253,0.0,4096.0,0.170,0.780,2.740,762593280.0,54624256.0,1970290688.0,5579751424.0,0.0,0.0,2.0,0.0,25.0,1155072.0,8586678272.0,2548.0,3634.0,
3.125,1.375,94.875,0.375,0.0,0.250,229376.0,163840.0,0.240,0.790,2.730,727793664.0,54624256.0,1971765248.0,5613076480.0,0.0,0.0,0.0,0.0,64.0,1155072.0,8586678272.0,949.0,3604.0,
