"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-103",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm4_distv8.csv",,,,"Date:","11 Mar 2014 17:21:39 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
8.082,0.695,91.115,0.032,0.000,0.076,16072.781,1268185.263,0.490,0.580,0.380,1627074560.0,423419904.0,1103474688.0,13588930560.0,0.0,0.0,0.000,0.0,8.472,0.0,17091784704.0,1082.668,919.389
0.752,0.0,99.248,0.0,0.0,0.0,0.0,0.0,0.450,0.570,0.380,1627308032.0,423419904.0,1103474688.0,13588697088.0,414.0,180.0,1.0,0.0,0.0,0.0,17091784704.0,336.0,533.0
1.627,0.375,97.997,0.0,0.0,0.0,0.0,0.0,0.450,0.570,0.380,1627217920.0,423419904.0,1103474688.0,13588787200.0,3318.0,492.0,1.0,0.0,1.0,0.0,17091784704.0,548.0,856.0
0.875,0.250,98.875,0.0,0.0,0.0,0.0,0.0,0.450,0.570,0.380,1627189248.0,423419904.0,1103478784.0,13588811776.0,3124.0,570.0,1.0,0.0,0.0,0.0,17091784704.0,329.0,535.0
2.882,1.378,95.739,0.0,0.0,0.0,0.0,0.0,0.450,0.570,0.380,1627586560.0,423419904.0,1103486976.0,13588406272.0,2118.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,1141.0,2052.0
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.450,0.570,0.380,1627205632.0,423419904.0,1103491072.0,13588783104.0,2118.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,323.0,535.0
1.378,0.501,97.870,0.251,0.0,0.0,0.0,217088.0,0.410,0.560,0.380,1631920128.0,423424000.0,1103495168.0,13584060416.0,2118.0,330.0,1.0,0.0,55.0,0.0,17091784704.0,555.0,875.0
16.667,0.877,82.331,0.0,0.0,0.125,0.0,4096.0,0.410,0.560,0.380,1632878592.0,423424000.0,1103458304.0,13583138816.0,2118.0,330.0,1.0,0.0,50.0,0.0,17091784704.0,2075.0,1621.0
9.661,0.878,89.460,0.0,0.0,0.0,0.0,163840.0,0.410,0.560,0.380,1633349632.0,423424000.0,1105883136.0,13580242944.0,2118.0,330.0,1.0,0.0,60.0,0.0,17091784704.0,1117.0,1199.0
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,0.410,0.560,0.380,1633349632.0,423424000.0,1105883136.0,13580242944.0,2118.0,330.0,1.0,0.0,0.0,0.0,17091784704.0,147.0,243.0
2.757,0.752,96.491,0.0,0.0,0.0,0.0,4096.0,0.410,0.560,0.380,1647816704.0,423424000.0,1112002560.0,13559656448.0,2118.0,330.0,1.0,0.0,0.0,0.0,17091784704.0,363.0,434.0
34.296,9.296,56.156,0.126,0.0,0.126,0.0,3674112.0,0.460,0.570,0.380,1693855744.0,423424000.0,1125007360.0,13500612608.0,30942.0,1077989.0,12.0,0.0,176.0,0.0,17091784704.0,4499.0,4218.0
82.125,15.375,1.625,0.0,0.0,0.875,0.0,516096.0,0.460,0.570,0.380,1739087872.0,423424000.0,1135812608.0,13444575232.0,1200963.0,3482505.0,15.0,0.0,253.0,0.0,17091784704.0,7312.0,4956.0
85.375,13.625,0.500,0.0,0.0,0.500,0.0,368640.0,0.460,0.570,0.380,1764569088.0,423424000.0,1146032128.0,13408874496.0,1291529.0,3797112.0,13.0,0.0,120.0,0.0,17091784704.0,7425.0,4434.0
81.704,16.917,0.752,0.0,0.0,0.627,0.0,344064.0,0.460,0.570,0.380,1753022464.0,423424000.0,1157423104.0,13409030144.0,1740714.0,3326901.0,10.0,0.0,142.0,0.0,17091784704.0,7578.0,6867.0
86.160,13.092,0.249,0.0,0.0,0.499,0.0,299008.0,0.460,0.570,0.380,1780785152.0,423424000.0,1167622144.0,13371068416.0,1568605.0,3080209.0,10.0,0.0,110.0,0.0,17091784704.0,7035.0,5028.0
82.979,16.270,0.375,0.0,0.0,0.375,0.0,3530752.0,1.470,0.780,0.450,1749368832.0,423436288.0,1176993792.0,13393100800.0,1789585.0,2828677.0,12.0,0.0,163.0,0.0,17091784704.0,7041.0,5539.0
84.731,14.518,0.125,0.0,0.0,0.626,0.0,364544.0,1.470,0.780,0.450,1809702912.0,423436288.0,1183989760.0,13325770752.0,1822371.0,3632932.0,10.0,0.0,124.0,0.0,17091784704.0,7647.0,4934.0
86.767,12.609,0.250,0.0,0.0,0.375,0.0,282624.0,1.470,0.780,0.450,1861398528.0,423436288.0,1195180032.0,13262884864.0,1016810.0,3176363.0,9.0,0.0,112.0,0.0,17091784704.0,6331.0,3833.0
86.859,11.640,1.001,0.0,0.0,0.501,0.0,294912.0,1.470,0.780,0.450,1854586880.0,423436288.0,1204838400.0,13260038144.0,1930771.0,2399052.0,12.0,0.0,108.0,0.0,17091784704.0,6604.0,4761.0
85.088,13.659,0.627,0.0,0.0,0.627,0.0,372736.0,1.470,0.780,0.450,1730981888.0,423436288.0,1211805696.0,13376675840.0,1790678.0,2642074.0,12.0,0.0,153.0,0.0,17091784704.0,6838.0,4996.0
85.768,13.483,0.375,0.0,0.0,0.375,0.0,3182592.0,2.550,1.010,0.530,1854623744.0,423448576.0,1219620864.0,13245206528.0,1272391.0,2744175.0,10.0,0.0,171.0,0.0,17091784704.0,6588.0,4481.0
83.208,16.291,0.125,0.0,0.0,0.376,0.0,323584.0,2.550,1.010,0.530,1813217280.0,423448576.0,1232510976.0,13273722880.0,1044362.0,3417845.0,9.0,0.0,139.0,0.0,17091784704.0,6983.0,4386.0
86.767,12.110,0.624,0.0,0.0,0.499,0.0,274432.0,2.550,1.010,0.530,1856917504.0,423448576.0,1240719360.0,13221814272.0,1474183.0,2526631.0,10.0,0.0,105.0,0.0,17091784704.0,6304.0,4375.0
83.920,15.201,0.377,0.0,0.0,0.503,0.0,368640.0,2.550,1.010,0.530,1762144256.0,423448576.0,1248899072.0,13308407808.0,2052416.0,3445214.0,11.0,0.0,151.0,0.0,17091784704.0,7548.0,5340.0
83.250,15.250,0.875,0.0,0.0,0.625,0.0,647168.0,2.550,1.010,0.530,1727496192.0,423448576.0,1252462592.0,13339492352.0,2168766.0,2278835.0,10.0,1.0,250.0,0.0,17091784704.0,6832.0,5913.0
