"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-101",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs42_distv8.csv",,,,"Date:","11 Mar 2014 17:21:42 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
2.426,0.085,97.468,0.009,0.0,0.012,5505.465,7988.790,0.280,0.510,0.330,304275456.0,162881536.0,435253248.0,7229317120.0,0.0,0.0,0.0,0.0,0.784,0.0,8343515136.0,191.809,182.913
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.280,0.510,0.330,304275456.0,162881536.0,435253248.0,7229317120.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,90.0,116.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.340,0.520,0.330,304275456.0,162881536.0,435253248.0,7229317120.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,23.0,30.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.340,0.520,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,31.0,46.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.340,0.520,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,36.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.340,0.520,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,48.0
0.125,0.0,99.374,0.501,0.0,0.0,0.0,86016.0,0.340,0.520,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,44.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.310,0.510,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.310,0.510,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.310,0.510,0.330,304398336.0,162881536.0,435257344.0,7229190144.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,40.0,56.0
