"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output hfm1.csv",,,,"Date:","10 Mar 2014 09:54:02 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.201,0.074,98.677,0.044,0.0,0.003,8116.455,91745.020,0.010,0.060,0.060,673198080.0,388964352.0,946114560.0,14711226368.0,0.0,0.0,0.0,0.0,0.663,0.0,17069838336.0,83.733,79.236
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.010,0.060,0.060,673198080.0,388964352.0,946114560.0,14711226368.0,366.0,1362.0,0.0,0.0,0.0,0.0,17069838336.0,62.0,84.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.010,0.060,0.060,673447936.0,388964352.0,946126848.0,14710964224.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,40.0
11.307,1.005,87.688,0.0,0.0,0.0,0.0,114688.0,0.010,0.060,0.060,700596224.0,388964352.0,946118656.0,14683824128.0,546.0,852.0,1.0,0.0,100.0,0.0,17069838336.0,1924.0,1674.0
12.360,0.624,87.016,0.0,0.0,0.0,0.0,4096.0,0.010,0.060,0.060,676544512.0,388964352.0,946921472.0,14707073024.0,366.0,530.0,1.0,0.0,23.0,0.0,17069838336.0,816.0,725.0
1.627,0.626,97.747,0.0,0.0,0.0,0.0,159744.0,0.010,0.060,0.060,679182336.0,388964352.0,948166656.0,14703190016.0,426.0,590.0,1.0,0.0,42.0,0.0,17069838336.0,658.0,697.0
0.0,0.0,95.745,4.255,0.0,0.0,0.0,585728.0,0.010,0.060,0.060,679182336.0,388972544.0,948166656.0,14703181824.0,366.0,530.0,1.0,0.0,0.0,0.0,17069838336.0,49.0,78.0
16.562,3.137,80.301,0.0,0.0,0.0,0.0,2347008.0,0.090,0.070,0.060,720052224.0,388972544.0,958099456.0,14652379136.0,366.0,530.0,9.0,0.0,110.0,0.0,17069838336.0,2612.0,2482.0
92.250,7.750,0.0,0.0,0.0,0.0,0.0,0.0,0.090,0.070,0.060,853602304.0,388972544.0,960118784.0,14516809728.0,366.0,530.0,9.0,0.0,27.0,0.0,17069838336.0,2092.0,1508.0
93.233,6.391,0.376,0.0,0.0,0.0,0.0,0.0,0.090,0.070,0.060,771227648.0,388972544.0,961609728.0,14597693440.0,366.0,530.0,11.0,0.0,105.0,0.0,17069838336.0,2130.0,1901.0
93.500,6.500,0.0,0.0,0.0,0.0,0.0,0.0,0.090,0.070,0.060,878579712.0,388972544.0,962068480.0,14489882624.0,366.0,530.0,9.0,0.0,43.0,0.0,17069838336.0,2093.0,1601.0
93.750,6.0,0.250,0.0,0.0,0.0,0.0,0.0,0.090,0.070,0.060,889868288.0,388972544.0,963981312.0,14476681216.0,366.0,530.0,9.0,0.0,38.0,0.0,17069838336.0,2085.0,1541.0
95.125,4.875,0.0,0.0,0.0,0.0,0.0,1429504.0,0.880,0.240,0.120,958775296.0,388980736.0,966057984.0,14405689344.0,366.0,530.0,9.0,2.0,25.0,0.0,17069838336.0,2086.0,1514.0
94.750,5.125,0.125,0.0,0.0,0.0,0.0,8192.0,0.880,0.240,0.120,1003073536.0,388980736.0,966340608.0,14361108480.0,366.0,530.0,9.0,0.0,24.0,0.0,17069838336.0,2098.0,1520.0
93.125,6.750,0.125,0.0,0.0,0.0,0.0,0.0,0.880,0.240,0.120,934297600.0,388980736.0,968966144.0,14427258880.0,366.0,530.0,9.0,0.0,50.0,0.0,17069838336.0,2111.0,1616.0
94.750,5.0,0.250,0.0,0.0,0.0,0.0,0.0,0.880,0.240,0.120,925474816.0,388980736.0,971399168.0,14433648640.0,366.0,530.0,10.0,0.0,26.0,0.0,17069838336.0,2074.0,1527.0
94.869,5.131,0.0,0.0,0.0,0.0,0.0,0.0,0.880,0.240,0.120,846061568.0,388980736.0,973643776.0,14510817280.0,426.0,590.0,9.0,0.0,35.0,0.0,17069838336.0,2102.0,1575.0
92.509,7.116,0.250,0.0,0.0,0.125,0.0,94208.0,1.530,0.380,0.160,846643200.0,388988928.0,975253504.0,14508617728.0,366.0,530.0,9.0,0.0,40.0,0.0,17069838336.0,2093.0,1597.0
94.250,5.750,0.0,0.0,0.0,0.0,0.0,0.0,1.530,0.380,0.160,981618688.0,388988928.0,974921728.0,14373974016.0,366.0,530.0,10.0,0.0,23.0,0.0,17069838336.0,2090.0,1532.0
94.375,5.125,0.500,0.0,0.0,0.0,0.0,1888256.0,1.530,0.380,0.160,955858944.0,388988928.0,977358848.0,14397296640.0,366.0,530.0,9.0,0.0,40.0,0.0,17069838336.0,2197.0,1564.0
94.750,5.250,0.0,0.0,0.0,0.0,0.0,0.0,1.530,0.380,0.160,985260032.0,388988928.0,977760256.0,14367494144.0,366.0,530.0,9.0,0.0,23.0,0.0,17069838336.0,2081.0,1485.0
93.617,6.133,0.250,0.0,0.0,0.0,0.0,0.0,1.530,0.380,0.160,825217024.0,388988928.0,982151168.0,14523146240.0,366.0,530.0,10.0,0.0,56.0,0.0,17069838336.0,2118.0,1664.0
93.134,6.367,0.499,0.0,0.0,0.0,0.0,90112.0,2.210,0.540,0.220,848510976.0,388997120.0,983232512.0,14498762752.0,366.0,530.0,9.0,0.0,43.0,0.0,17069838336.0,2104.0,1615.0
94.368,5.131,0.501,0.0,0.0,0.0,0.0,0.0,2.210,0.540,0.220,917454848.0,388997120.0,984236032.0,14428815360.0,366.0,530.0,10.0,0.0,25.0,0.0,17069838336.0,2088.0,1524.0
93.750,6.250,0.0,0.0,0.0,0.0,0.0,0.0,2.210,0.540,0.220,893890560.0,388997120.0,985735168.0,14450880512.0,366.0,530.0,10.0,0.0,36.0,0.0,17069838336.0,2087.0,1574.0
94.750,5.250,0.0,0.0,0.0,0.0,0.0,0.0,2.210,0.540,0.220,942637056.0,388997120.0,987062272.0,14400806912.0,426.0,590.0,9.0,0.0,33.0,0.0,17069838336.0,2098.0,1543.0
95.500,4.500,0.0,0.0,0.0,0.0,0.0,0.0,2.210,0.540,0.220,973488128.0,388997120.0,988774400.0,14368243712.0,366.0,530.0,9.0,0.0,25.0,0.0,17069838336.0,2074.0,1500.0
96.130,3.745,0.125,0.0,0.0,0.0,0.0,147456.0,2.830,0.700,0.270,852090880.0,389005312.0,990515200.0,14487891968.0,426.0,590.0,10.0,0.0,34.0,0.0,17069838336.0,2092.0,1583.0
93.742,5.257,1.001,0.0,0.0,0.0,0.0,0.0,2.830,0.700,0.270,856494080.0,389005312.0,992477184.0,14481526784.0,366.0,530.0,9.0,0.0,33.0,0.0,17069838336.0,2106.0,1581.0
95.750,4.250,0.0,0.0,0.0,0.0,0.0,0.0,2.830,0.700,0.270,1037217792.0,389005312.0,992223232.0,14301057024.0,366.0,530.0,9.0,0.0,23.0,0.0,17069838336.0,2076.0,1475.0
94.493,5.507,0.0,0.0,0.0,0.0,0.0,0.0,2.830,0.700,0.270,915902464.0,389005312.0,995098624.0,14419496960.0,366.0,530.0,11.0,0.0,35.0,0.0,17069838336.0,2101.0,1565.0
93.125,6.625,0.250,0.0,0.0,0.0,0.0,0.0,2.830,0.700,0.270,842735616.0,389005312.0,997224448.0,14490537984.0,366.0,530.0,9.0,0.0,45.0,0.0,17069838336.0,2084.0,1570.0
92.991,6.884,0.125,0.0,0.0,0.0,0.0,163840.0,3.330,0.840,0.320,859148288.0,389013504.0,999174144.0,14472167424.0,366.0,530.0,9.0,0.0,50.0,0.0,17069838336.0,2122.0,1640.0
95.750,4.250,0.0,0.0,0.0,0.0,0.0,0.0,3.330,0.840,0.320,987258880.0,389013504.0,1000120320.0,14343110656.0,366.0,530.0,10.0,0.0,25.0,0.0,17069838336.0,2095.0,1529.0
94.757,5.243,0.0,0.0,0.0,0.0,0.0,36864.0,3.330,0.840,0.320,893865984.0,389013504.0,1003528192.0,14433095680.0,366.0,530.0,9.0,0.0,33.0,0.0,17069838336.0,2094.0,1566.0
94.618,5.131,0.250,0.0,0.0,0.0,0.0,0.0,3.330,0.840,0.320,814350336.0,389013504.0,1004384256.0,14511755264.0,366.0,530.0,9.0,0.0,61.0,0.0,17069838336.0,2103.0,1660.0
94.257,5.368,0.375,0.0,0.0,0.0,0.0,0.0,3.330,0.840,0.320,947585024.0,389013504.0,1005273088.0,14377631744.0,366.0,530.0,10.0,0.0,59.0,0.0,17069838336.0,2123.0,1731.0
95.625,4.375,0.0,0.0,0.0,0.0,0.0,380928.0,3.780,0.970,0.360,1013534720.0,389021696.0,1006333952.0,14310612992.0,366.0,530.0,9.0,0.0,27.0,0.0,17069838336.0,2091.0,1554.0
94.618,5.382,0.0,0.0,0.0,0.0,0.0,0.0,3.780,0.970,0.360,966295552.0,389021696.0,1008336896.0,14355849216.0,426.0,590.0,9.0,0.0,40.0,0.0,17069838336.0,2083.0,1555.0
96.375,3.625,0.0,0.0,0.0,0.0,0.0,10551296.0,3.780,0.970,0.360,993849344.0,389021696.0,1009381376.0,14327250944.0,366.0,530.0,10.0,0.0,20.0,0.0,17069838336.0,2243.0,1482.0
93.492,6.508,0.0,0.0,0.0,0.0,0.0,0.0,3.780,0.970,0.360,892944384.0,389021696.0,1014386688.0,14423150592.0,366.0,530.0,9.0,0.0,40.0,0.0,17069838336.0,2100.0,1579.0
94.132,5.743,0.125,0.0,0.0,0.0,0.0,0.0,3.780,0.970,0.360,933093376.0,389021696.0,1012957184.0,14384431104.0,366.0,530.0,9.0,0.0,27.0,0.0,17069838336.0,2093.0,1507.0
94.875,4.875,0.250,0.0,0.0,0.0,0.0,1163264.0,4.200,1.110,0.410,824877056.0,389025792.0,1015963648.0,14489636864.0,366.0,530.0,10.0,0.0,39.0,0.0,17069838336.0,2111.0,1610.0
93.116,6.633,0.250,0.0,0.0,0.0,0.0,0.0,4.200,1.110,0.410,849539072.0,389025792.0,1017204736.0,14463733760.0,366.0,530.0,9.0,0.0,35.0,0.0,17069838336.0,2095.0,1571.0
94.375,5.500,0.0,0.0,0.0,0.125,0.0,7159808.0,4.200,1.110,0.410,884412416.0,389025792.0,1018105856.0,14427959296.0,366.0,530.0,9.0,0.0,39.0,0.0,17069838336.0,2188.0,1583.0
93.375,6.250,0.375,0.0,0.0,0.0,0.0,0.0,4.200,1.110,0.410,838504448.0,389025792.0,1020858368.0,14471114752.0,366.0,530.0,10.0,0.0,46.0,0.0,17069838336.0,2092.0,1625.0
93.0,6.875,0.125,0.0,0.0,0.0,0.0,0.0,4.200,1.110,0.410,808284160.0,389025792.0,1021775872.0,14500417536.0,426.0,590.0,9.0,0.0,73.0,0.0,17069838336.0,2112.0,1741.0
92.741,6.758,0.501,0.0,0.0,0.0,0.0,393216.0,4.660,1.250,0.460,780222464.0,389033984.0,1022988288.0,14527258624.0,366.0,530.0,9.0,0.0,136.0,0.0,17069838336.0,2166.0,2068.0
95.625,4.125,0.250,0.0,0.0,0.0,0.0,0.0,4.660,1.250,0.460,780460032.0,389033984.0,1024614400.0,14525394944.0,366.0,530.0,10.0,0.0,60.0,0.0,17069838336.0,2109.0,1723.0
95.375,4.625,0.0,0.0,0.0,0.0,0.0,8585216.0,4.660,1.250,0.460,814469120.0,389033984.0,1025884160.0,14490116096.0,426.0,590.0,9.0,0.0,60.0,0.0,17069838336.0,2155.0,1682.0
