"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output dfs32.csv",,,,"Date:","09 Mar 2014 23:12:53 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.737,0.034,99.212,0.013,0.0,0.004,5141.848,5233.842,0.090,0.060,0.150,296460288.0,106565632.0,541454336.0,7187247104.0,0.0,0.0,0.0,0.0,0.275,0.0,8343515136.0,81.002,81.517
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.060,0.150,296456192.0,106565632.0,541458432.0,7187247104.0,366.0,1362.0,0.0,0.0,0.0,0.0,8343515136.0,50.0,72.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.080,0.060,0.150,296456192.0,106565632.0,541458432.0,7187247104.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,30.0,50.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.060,0.150,296591360.0,106565632.0,541458432.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,23.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.060,0.150,296591360.0,106565632.0,541458432.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,38.0,48.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.080,0.060,0.150,296591360.0,106565632.0,541458432.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,40.0
0.125,0.0,99.375,0.500,0.0,0.0,0.0,28672.0,0.070,0.060,0.150,296587264.0,106573824.0,541454336.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,52.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.060,0.150,296583168.0,106573824.0,541458432.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,30.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.060,0.150,296583168.0,106573824.0,541458432.0,7187111936.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,38.0,56.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.070,0.060,0.150,296583168.0,106573824.0,541458432.0,7187111936.0,426.0,590.0,0.0,0.0,0.0,0.0,8343515136.0,30.0,48.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.060,0.150,296697856.0,106573824.0,541470720.0,7186984960.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,27.0,36.0
