"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output hfs31.csv",,,,"Date:","09 Mar 2014 23:13:08 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.744,0.059,99.070,0.120,0.000,0.007,2157.005,168858.185,0.080,0.070,0.210,1199996928.0,456962048.0,8226918400.0,6859640832.0,0.0,0.0,0.0,0.0,0.357,0.0,17091784704.0,237.563,297.322
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.080,0.070,0.210,1199996928.0,456962048.0,8226918400.0,6859640832.0,492.0,1518.0,0.0,0.0,0.0,0.0,17091784704.0,127.0,204.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.070,0.210,1199992832.0,456962048.0,8226922496.0,6859640832.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,140.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.070,0.210,1200128000.0,456962048.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,148.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.070,0.210,1200128000.0,456962048.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,153.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.070,0.210,1200128000.0,456962048.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,154.0
0.125,0.125,99.252,0.499,0.0,0.0,0.0,53248.0,0.070,0.070,0.210,1200123904.0,456966144.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,92.0,179.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.070,0.210,1200123904.0,456966144.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,79.0,152.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.070,0.210,1200123904.0,456966144.0,8226922496.0,6859505664.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,79.0,145.0
