"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output him1.csv",,,,"Date:","10 Mar 2014 10:47:55 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.694,0.097,98.158,0.047,0.0,0.003,7920.813,118626.556,0.0,0.010,0.360,781803520.0,393117696.0,4660338688.0,10884243456.0,0.0,0.0,0.0,0.0,0.860,0.0,17069838336.0,94.369,87.228
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.360,781803520.0,393117696.0,4660338688.0,10884243456.0,366.0,1362.0,0.0,0.0,0.0,0.0,17069838336.0,55.0,71.0
9.238,1.124,89.638,0.0,0.0,0.0,0.0,118784.0,0.0,0.010,0.360,801165312.0,393117696.0,4660346880.0,10864873472.0,546.0,852.0,2.0,0.0,100.0,0.0,17069838336.0,1686.0,1611.0
14.018,1.126,84.856,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.360,778280960.0,393117696.0,4495663104.0,11052441600.0,432.0,644.0,1.0,0.0,5.0,0.0,17069838336.0,967.0,717.0
4.756,1.502,93.742,0.0,0.0,0.0,0.0,184320.0,0.0,0.010,0.360,778534912.0,393117696.0,4485824512.0,11062026240.0,432.0,644.0,0.0,0.0,60.0,0.0,17069838336.0,917.0,1024.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.360,778854400.0,393117696.0,4485726208.0,11061805056.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,42.0,67.0
9.148,1.003,88.471,1.253,0.0,0.125,0.0,6017024.0,0.0,0.010,0.360,784781312.0,393138176.0,4495876096.0,11045707776.0,366.0,530.0,3.0,0.0,54.0,0.0,17069838336.0,1757.0,1333.0
54.010,6.767,39.223,0.0,0.0,0.0,0.0,20480.0,0.080,0.030,0.360,994603008.0,393138176.0,4480335872.0,10851426304.0,366.0,530.0,9.0,0.0,58.0,0.0,17069838336.0,2076.0,1699.0
95.256,4.744,0.0,0.0,0.0,0.0,0.0,73728.0,0.080,0.030,0.360,1060085760.0,393138176.0,4480389120.0,10785890304.0,366.0,530.0,9.0,0.0,30.0,0.0,17069838336.0,2098.0,1551.0
96.875,3.125,0.0,0.0,0.0,0.0,0.0,24576.0,0.080,0.030,0.360,1183113216.0,393138176.0,4480401408.0,10662850560.0,366.0,530.0,9.0,0.0,10.0,0.0,17069838336.0,2082.0,1440.0
97.375,2.625,0.0,0.0,0.0,0.0,0.0,32768.0,0.080,0.030,0.360,1235132416.0,393138176.0,4480643072.0,10610589696.0,426.0,590.0,9.0,0.0,15.0,0.0,17069838336.0,2071.0,1464.0
97.875,2.125,0.0,0.0,0.0,0.0,0.0,2138112.0,0.080,0.030,0.360,1224241152.0,393146368.0,4482568192.0,10619547648.0,366.0,530.0,9.0,0.0,11.0,0.0,17069838336.0,2087.0,1447.0
94.0,5.500,0.500,0.0,0.0,0.0,0.0,126976.0,0.880,0.200,0.410,1034567680.0,393146368.0,4481245184.0,10810544128.0,366.0,530.0,9.0,0.0,34.0,0.0,17069838336.0,2110.0,1567.0
97.125,2.875,0.0,0.0,0.0,0.0,0.0,40960.0,0.880,0.200,0.410,1124110336.0,393146368.0,4481753088.0,10720493568.0,366.0,530.0,9.0,0.0,11.0,0.0,17069838336.0,2068.0,1428.0
