"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output dis32.csv",,,,"Date:","09 Mar 2014 23:30:20 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.825,0.037,99.120,0.014,0.0,0.005,5084.072,5250.464,0.060,0.290,0.460,297390080.0,107814912.0,542879744.0,7183642624.0,0.0,0.0,0.0,0.0,0.305,0.0,8343515136.0,87.969,88.098
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297390080.0,107814912.0,542879744.0,7183642624.0,540.0,1488.0,0.0,0.0,0.0,0.0,8343515136.0,79.0,94.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297525248.0,107814912.0,542879744.0,7183507456.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,36.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297525248.0,107814912.0,542879744.0,7183507456.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297525248.0,107814912.0,542879744.0,7183507456.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,32.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297525248.0,107814912.0,542879744.0,7183507456.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,39.0,64.0
0.0,0.0,99.500,0.500,0.0,0.0,0.0,28672.0,0.060,0.290,0.460,297627648.0,107823104.0,542879744.0,7183396864.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,52.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297623552.0,107823104.0,542883840.0,7183396864.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,22.0,28.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.290,0.460,297623552.0,107823104.0,542883840.0,7183396864.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,40.0
