"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output his31.csv",,,,"Date:","09 Mar 2014 23:30:15 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.790,0.061,99.022,0.120,0.000,0.007,2145.414,168194.999,0.040,0.330,0.530,1200480256.0,457117696.0,8228581376.0,6857338880.0,0.0,0.0,0.0,0.0,0.371,0.0,17091784704.0,245.175,303.881
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.340,0.530,1200488448.0,457117696.0,8228581376.0,6857330688.0,366.0,1362.0,0.0,0.0,0.0,0.0,17091784704.0,106.0,188.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.340,0.530,1200484352.0,457117696.0,8228585472.0,6857330688.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,164.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.340,0.530,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,74.0,138.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.120,0.340,0.530,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,72.0,141.0
0.125,0.0,99.375,0.500,0.0,0.0,0.0,53248.0,0.120,0.340,0.530,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,93.0,175.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.340,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,143.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.110,0.340,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,151.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.340,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,74.0,141.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.340,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,426.0,572.0,0.0,0.0,0.0,0.0,17091784704.0,92.0,167.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.340,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,163.0
0.125,0.0,99.375,0.500,0.0,0.0,0.0,28672.0,0.100,0.330,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,81.0,156.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.100,0.330,0.520,1200484352.0,457117696.0,8228585472.0,6857330688.0,366.0,596.0,0.0,0.0,0.0,0.0,17091784704.0,81.0,153.0
24.937,0.877,74.060,0.0,0.0,0.125,0.0,0.0,0.100,0.330,0.520,1270530048.0,457117696.0,8229957632.0,6785912832.0,3816107.0,518690.0,2.0,0.0,10.0,0.0,17091784704.0,5107.0,5760.0
