"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","tangjp"
"Cmdline:","dstat -cdlmnpsy --output single.csv",,,,"Date:","09 Mar 2014 16:43:40 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.476,0.758,93.464,5.206,0.0,0.096,1028922.438,156965.966,0.020,0.310,0.270,581267456.0,117837824.0,529035264.0,7139119104.0,0.0,0.0,0.0,0.0,5.481,0.0,8587833344.0,470.058,1115.722
0.625,0.250,99.125,0.0,0.0,0.0,0.0,0.0,0.020,0.310,0.270,581210112.0,117837824.0,529039360.0,7139172352.0,0.0,0.0,2.0,0.0,0.0,0.0,8587833344.0,253.0,840.0
1.248,0.999,94.632,2.871,0.0,0.250,2150400.0,110592.0,0.020,0.310,0.270,581672960.0,118140928.0,530796544.0,7136649216.0,0.0,0.0,0.0,1.0,26.0,0.0,8587833344.0,705.0,2297.0
1.278,5.751,85.144,7.508,0.0,0.319,12267520.0,0.0,0.020,0.310,0.270,587329536.0,118284288.0,542920704.0,7118725120.0,0.0,0.0,1.0,0.0,52.0,0.0,8587833344.0,1410.0,2203.0
2.497,4.744,84.395,8.115,0.0,0.250,8220672.0,4096.0,0.020,0.310,0.270,591261696.0,118566912.0,550928384.0,7106502656.0,0.0,0.0,1.0,0.0,23.0,0.0,8587833344.0,1800.0,2213.0
3.531,6.936,84.111,5.044,0.0,0.378,6184960.0,389120.0,0.260,0.360,0.280,584851456.0,118587392.0,557117440.0,7106703360.0,0.0,0.0,0.0,1.0,5.0,0.0,8587833344.0,1435.0,1860.0
7.393,1.629,87.469,3.383,0.0,0.125,913408.0,0.0,0.260,0.360,0.280,587210752.0,118587392.0,557826048.0,7103635456.0,0.0,0.0,0.0,1.0,0.0,0.0,8587833344.0,797.0,2373.0
4.613,1.496,87.282,6.359,0.0,0.249,1105920.0,16384.0,0.260,0.360,0.280,586739712.0,118587392.0,559546368.0,7102386176.0,0.0,0.0,1.0,0.0,23.0,0.0,8587833344.0,832.0,2946.0
1.633,0.628,91.457,6.030,0.0,0.251,1081344.0,147456.0,0.260,0.360,0.280,587505664.0,118628352.0,562040832.0,7099084800.0,0.0,0.0,0.0,0.0,37.0,0.0,8587833344.0,817.0,2647.0
0.125,0.125,99.375,0.250,0.0,0.125,12288.0,1953792.0,0.260,0.360,0.280,587730944.0,118640640.0,562065408.0,7098822656.0,0.0,0.0,0.0,0.0,0.0,0.0,8587833344.0,269.0,280.0
