"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","tangjp"
"Cmdline:","dstat -cdlmnpsy --output incresingle.csv",,,,"Date:","09 Mar 2014 18:34:28 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
11.550,1.146,86.653,0.626,0.0,0.025,130639.475,1293701.142,0.150,0.060,0.060,814551040.0,135856128.0,4596183040.0,2820669440.0,0.0,0.0,0.0,0.0,4.490,0.0,8587833344.0,391.338,344.132,
0.751,0.125,99.124,0.0,0.0,0.0,0.0,0.0,0.150,0.060,0.060,814551040.0,135856128.0,4596183040.0,2820669440.0,0.0,0.0,0.0,0.0,0.0,0.0,8587833344.0,262.0,953.0,
7.927,3.506,88.110,0.0,0.0,0.457,0.0,118784.0,0.140,0.060,0.060,823562240.0,135856128.0,4595924992.0,2811916288.0,0.0,0.0,1.0,0.0,101.0,0.0,8587833344.0,1631.0,3751.0,
13.033,3.634,83.083,0.0,0.0,0.251,0.0,0.0,0.140,0.060,0.060,810758144.0,135860224.0,4431368192.0,2989273088.0,0.0,0.0,1.0,0.0,5.0,0.0,8587833344.0,1344.0,1270.0,
9.738,2.122,88.015,0.0,0.0,0.125,0.0,176128.0,0.140,0.060,0.060,809136128.0,136003584.0,4421267456.0,3000852480.0,0.0,0.0,0.0,0.0,60.0,0.0,8587833344.0,985.0,2441.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.140,0.060,0.060,808861696.0,136003584.0,4421492736.0,3000901632.0,0.0,0.0,0.0,0.0,0.0,0.0,8587833344.0,103.0,268.0,
0.753,0.502,98.369,0.376,0.0,0.0,0.0,2895872.0,0.140,0.060,0.060,811606016.0,136019968.0,4421861376.0,2997772288.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,383.0,368.0,
7.692,10.675,80.848,0.0,0.0,0.785,0.0,11571200.0,0.210,0.080,0.060,816754688.0,136019968.0,4431462400.0,2983022592.0,0.0,0.0,3.0,0.0,54.0,0.0,8587833344.0,4016.0,2638.0,
31.498,14.725,53.393,0.0,0.0,0.384,0.0,225280.0,0.210,0.080,0.060,938057728.0,136019968.0,4415881216.0,2877300736.0,0.0,0.0,9.0,0.0,58.0,0.0,8587833344.0,1851.0,2150.0,
84.712,15.288,0.0,0.0,0.0,0.0,0.0,3055616.0,0.210,0.080,0.060,1010606080.0,136019968.0,4415938560.0,2804695040.0,0.0,0.0,9.0,0.0,24.0,0.0,8587833344.0,2093.0,505.0,
87.985,12.015,0.0,0.0,0.0,0.0,0.0,2080768.0,0.210,0.080,0.060,1107165184.0,136019968.0,4416356352.0,2707718144.0,0.0,0.0,9.0,0.0,12.0,0.0,8587833344.0,2117.0,574.0,
90.363,9.637,0.0,0.0,0.0,0.0,0.0,3842048.0,0.210,0.080,0.060,1163165696.0,136028160.0,4416913408.0,2651152384.0,0.0,0.0,9.0,0.0,15.0,0.0,8587833344.0,2123.0,573.0,
88.750,11.250,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.240,0.120,1272909824.0,136028160.0,4416331776.0,2541989888.0,0.0,0.0,9.0,0.0,5.0,0.0,8587833344.0,2110.0,442.0,
93.758,6.117,0.0,0.0,0.0,0.125,0.0,6320128.0,1.0,0.240,0.120,1123774464.0,136028160.0,4418482176.0,2688974848.0,0.0,0.0,9.0,0.0,16.0,0.0,8587833344.0,2107.0,490.0,
93.898,5.978,0.125,0.0,0.0,0.0,0.0,5726208.0,1.0,0.240,0.120,1062162432.0,136028160.0,4417650688.0,2751418368.0,0.0,0.0,9.0,0.0,17.0,0.0,8587833344.0,2137.0,623.0,
91.980,7.895,0.0,0.0,0.0,0.125,0.0,2191360.0,1.0,0.240,0.120,1177853952.0,136028160.0,4417863680.0,2635513856.0,0.0,0.0,9.0,0.0,17.0,0.0,8587833344.0,2113.0,643.0,
94.605,5.395,0.0,0.0,0.0,0.0,0.0,4710400.0,1.0,0.240,0.120,1146802176.0,136036352.0,4416331776.0,2668089344.0,0.0,0.0,9.0,0.0,15.0,0.0,8587833344.0,2109.0,496.0,
92.125,7.875,0.0,0.0,0.0,0.0,0.0,5963776.0,1.640,0.390,0.160,1091997696.0,136036352.0,4416528384.0,2722697216.0,0.0,0.0,9.0,0.0,24.0,0.0,8587833344.0,2132.0,607.0,
93.532,6.468,0.0,0.0,0.0,0.0,0.0,3981312.0,1.640,0.390,0.160,1082392576.0,136036352.0,4416200704.0,2732630016.0,0.0,0.0,9.0,0.0,24.0,0.0,8587833344.0,2131.0,648.0,
95.472,4.528,0.0,0.0,0.0,0.0,0.0,2404352.0,1.640,0.390,0.160,1094881280.0,136036352.0,4416929792.0,2719412224.0,0.0,0.0,9.0,0.0,18.0,0.0,8587833344.0,2091.0,463.0,
76.566,3.634,19.799,0.0,0.0,0.0,0.0,5558272.0,1.640,0.390,0.160,987734016.0,136036352.0,4416225280.0,2827264000.0,0.0,0.0,4.0,0.0,19.0,0.0,8587833344.0,1835.0,872.0,
23.067,0.623,76.185,0.0,0.0,0.125,0.0,2387968.0,1.640,0.390,0.160,921653248.0,136044544.0,4416229376.0,2893332480.0,0.0,0.0,1.0,0.0,3.0,0.0,8587833344.0,805.0,895.0,
12.500,0.0,87.375,0.0,0.0,0.125,0.0,0.0,1.590,0.400,0.170,924876800.0,136044544.0,4416589824.0,2889748480.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,555.0,174.0,
9.601,2.993,87.157,0.0,0.0,0.249,0.0,4300800.0,1.590,0.400,0.170,890961920.0,136044544.0,4368224256.0,2972028928.0,0.0,0.0,1.0,0.0,6.0,0.0,8587833344.0,589.0,492.0,
10.652,1.880,87.469,0.0,0.0,0.0,0.0,0.0,1.590,0.400,0.170,966844416.0,136044544.0,4371415040.0,2892955648.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,600.0,283.0,
11.706,0.872,87.173,0.0,0.0,0.249,0.0,0.0,1.590,0.400,0.170,968347648.0,136044544.0,4393783296.0,2869084160.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,448.0,397.0,
11.347,1.122,87.157,0.125,0.0,0.249,0.0,233472.0,1.590,0.400,0.170,969314304.0,136056832.0,4413276160.0,2848612352.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,538.0,353.0,
4.005,6.258,89.237,0.250,0.0,0.250,45056.0,26320896.0,1.540,0.410,0.170,805683200.0,136060928.0,4418777088.0,3006738432.0,0.0,0.0,0.0,1.0,47.0,0.0,8587833344.0,803.0,2175.0,
0.0,0.126,88.035,11.839,0.0,0.0,8192.0,86507520.0,1.540,0.410,0.170,804925440.0,136073216.0,4418818048.0,3007442944.0,0.0,0.0,0.0,1.0,0.0,0.0,8587833344.0,228.0,126.0,
7.875,2.750,87.250,1.875,0.0,0.250,4096.0,81678336.0,1.540,0.410,0.170,891838464.0,136073216.0,4418629632.0,2920718336.0,0.0,0.0,1.0,0.0,26.0,0.0,8587833344.0,873.0,1347.0,
9.262,3.254,87.484,0.0,0.0,0.0,0.0,4288512.0,1.540,0.410,0.170,913920000.0,136073216.0,4418629632.0,2898636800.0,0.0,0.0,2.0,0.0,11.0,0.0,8587833344.0,744.0,808.0,
8.354,4.115,87.157,0.249,0.0,0.125,0.0,1064960.0,1.540,0.410,0.170,932917248.0,136085504.0,4418629632.0,2879627264.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,675.0,401.0,
11.250,1.375,87.250,0.0,0.0,0.125,0.0,0.0,1.500,0.420,0.180,938262528.0,136085504.0,4405809152.0,2887102464.0,0.0,0.0,1.0,0.0,4.0,0.0,8587833344.0,618.0,411.0,
9.067,11.827,70.302,7.884,0.0,0.920,4096.0,64081920.0,1.500,0.420,0.180,999813120.0,136089600.0,4408659968.0,2822696960.0,0.0,0.0,1.0,1.0,58.0,0.0,8587833344.0,1445.0,2887.0,
12.030,0.627,78.822,8.396,0.0,0.125,0.0,78118912.0,1.500,0.420,0.180,1065545728.0,136089600.0,4408676352.0,2756947968.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,855.0,261.0,
12.110,0.499,87.266,0.0,0.0,0.125,0.0,54415360.0,1.500,0.420,0.180,1122705408.0,136089600.0,4408676352.0,2699788288.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,644.0,149.0,
12.360,0.250,87.266,0.0,0.0,0.125,0.0,987136.0,1.500,0.420,0.180,1150210048.0,136101888.0,4408680448.0,2672267264.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,526.0,139.0,
12.609,0.0,87.266,0.0,0.0,0.125,0.0,0.0,1.460,0.430,0.180,1155932160.0,136101888.0,4409053184.0,2666172416.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,435.0,121.0,
12.375,0.125,87.375,0.0,0.0,0.125,0.0,1601536.0,1.460,0.430,0.180,1161285632.0,136101888.0,4409032704.0,2660839424.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,581.0,131.0,
12.516,0.125,87.359,0.0,0.0,0.0,0.0,0.0,1.460,0.430,0.180,1165979648.0,136101888.0,4409290752.0,2655887360.0,0.0,0.0,2.0,0.0,0.0,0.0,8587833344.0,439.0,129.0,
12.469,0.125,87.282,0.0,0.0,0.125,0.0,0.0,1.460,0.430,0.180,1170632704.0,136101888.0,4409524224.0,2651000832.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,544.0,130.0,
11.860,0.749,87.266,0.0,0.0,0.125,0.0,10346496.0,1.460,0.430,0.180,964390912.0,136101888.0,4415733760.0,2851033088.0,0.0,0.0,1.0,0.0,1.0,0.0,8587833344.0,538.0,199.0,
3.870,8.739,87.266,0.0,0.0,0.125,0.0,118784.0,1.420,0.440,0.190,1210019840.0,136110080.0,4408860672.0,2612269056.0,0.0,0.0,1.0,0.0,6.0,0.0,8587833344.0,665.0,847.0,
2.217,10.222,86.084,0.0,0.0,1.478,0.0,2260992.0,1.420,0.440,0.190,1469927424.0,136110080.0,4408848384.0,2352373760.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,514.0,610.0,
11.625,1.0,87.375,0.0,0.0,0.0,0.0,0.0,1.420,0.440,0.190,1478553600.0,136110080.0,4408696832.0,2343899136.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,517.0,215.0,
