"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output singlejsc.csv",,,,"Date:","09 Mar 2014 16:25:29 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
9.647,0.907,89.368,0.030,0.000,0.047,19258.550,1133737.919,0.360,1.140,2.550,1623928832.0,473636864.0,1405906944.0,13240045568.0,0.0,0.0,0.000,0.0,6.445,0.0,17091784704.0,765.213,787.342
3.125,0.875,96.0,0.0,0.0,0.0,0.0,0.0,0.330,1.120,2.540,1623924736.0,473636864.0,1405906944.0,13240049664.0,300.0,0.0,0.0,0.0,0.0,0.0,17091784704.0,641.0,948.0
0.879,0.754,98.241,0.126,0.0,0.0,0.0,6946816.0,0.330,1.120,2.540,1624170496.0,473636864.0,1405919232.0,13239791616.0,300.0,0.0,1.0,0.0,11.0,0.0,17091784704.0,906.0,795.0
17.669,1.629,80.702,0.0,0.0,0.0,0.0,45056.0,0.330,1.120,2.540,1630650368.0,473636864.0,1405857792.0,13233373184.0,300.0,0.0,1.0,0.0,94.0,0.0,17091784704.0,2673.0,2519.0
11.514,1.377,87.109,0.0,0.0,0.0,0.0,163840.0,0.330,1.120,2.540,1632116736.0,473636864.0,1407516672.0,13230247936.0,300.0,0.0,0.0,0.0,60.0,0.0,17091784704.0,1334.0,1580.0
0.874,0.624,98.502,0.0,0.0,0.0,0.0,0.0,0.330,1.120,2.540,1632030720.0,473636864.0,1407672320.0,13230178304.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,362.0,641.0
2.003,0.501,97.372,0.125,0.0,0.0,0.0,835584.0,0.310,1.100,2.520,1637769216.0,473640960.0,1409941504.0,13222166528.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,463.0,669.0
29.825,8.145,62.030,0.0,0.0,0.0,0.0,2342912.0,0.310,1.100,2.520,1718116352.0,473640960.0,1417891840.0,13133869056.0,360.0,42.0,10.0,0.0,112.0,0.0,17091784704.0,3232.0,3807.0
94.375,5.375,0.125,0.0,0.0,0.125,0.0,0.0,0.310,1.100,2.520,1797263360.0,473640960.0,1419534336.0,13053079552.0,300.0,0.0,10.0,0.0,28.0,0.0,17091784704.0,2205.0,2025.0
94.730,4.893,0.251,0.0,0.0,0.125,0.0,0.0,0.310,1.100,2.520,1701089280.0,473640960.0,1420300288.0,13148487680.0,300.0,0.0,9.0,0.0,99.0,0.0,17091784704.0,2232.0,2251.0
92.145,7.481,0.249,0.0,0.0,0.125,0.0,0.0,0.310,1.100,2.520,1836916736.0,473640960.0,1421574144.0,13011386368.0,300.0,0.0,9.0,0.0,41.0,0.0,17091784704.0,2194.0,2007.0
93.116,6.758,0.125,0.0,0.0,0.0,0.0,1282048.0,1.080,1.250,2.560,1876795392.0,473645056.0,1423368192.0,12969709568.0,300.0,0.0,12.0,0.0,32.0,0.0,17091784704.0,2188.0,1955.0
93.0,6.875,0.0,0.0,0.0,0.125,0.0,0.0,1.080,1.250,2.560,1873743872.0,473645056.0,1425047552.0,12971081728.0,300.0,0.0,9.0,0.0,34.0,0.0,17091784704.0,2197.0,2010.0
95.125,4.750,0.125,0.0,0.0,0.0,0.0,0.0,1.080,1.250,2.560,1880715264.0,473645056.0,1426038784.0,12963119104.0,300.0,0.0,9.0,0.0,26.0,0.0,17091784704.0,2176.0,1924.0
94.125,5.500,0.375,0.0,0.0,0.0,0.0,0.0,1.080,1.250,2.560,1819627520.0,473645056.0,1428049920.0,13022195712.0,300.0,0.0,10.0,0.0,35.0,0.0,17091784704.0,2190.0,2036.0
