"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PKG19",,,,"User:","root"
"Cmdline:","dstat -cdlmnpsy --output singlepack.csv",,,,"Date:","09 Mar 2014 15:59:56 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.364,0.110,98.517,0.007,0.0,0.001,3848.870,147830.066,0.250,0.120,0.070,1244581888.0,424349696.0,4610502656.0,10440118272.0,0.0,0.0,0.0,0.0,0.715,0.0,8192520192.0,136.446,227.674
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.250,0.120,0.070,1244717056.0,424349696.0,4610502656.0,10439983104.0,554.0,474.0,0.0,0.0,0.0,0.0,8192520192.0,150.0,250.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.250,0.120,0.070,1244717056.0,424349696.0,4610502656.0,10439983104.0,166.0,278.0,0.0,0.0,0.0,0.0,8192520192.0,90.0,178.0
5.0,0.875,94.125,0.0,0.0,0.0,0.0,110592.0,0.310,0.140,0.080,1244266496.0,424349696.0,4610510848.0,10440425472.0,666.0,324.0,1.0,0.0,78.0,0.0,8192520192.0,1141.0,1338.0
15.269,0.501,84.230,0.0,0.0,0.0,36864.0,4096.0,0.310,0.140,0.080,1248677888.0,424349696.0,4610445312.0,10436079616.0,120.0,218.0,1.0,0.0,23.0,0.0,8192520192.0,1510.0,1085.0
5.639,0.877,93.484,0.0,0.0,0.0,0.0,163840.0,0.310,0.140,0.080,1251512320.0,424349696.0,4611649536.0,10432040960.0,180.0,218.0,0.0,0.0,60.0,0.0,8192520192.0,952.0,1137.0
0.125,0.125,99.500,0.250,0.0,0.0,0.0,1110016.0,0.310,0.140,0.080,1251946496.0,424357888.0,4612317184.0,10430930944.0,240.0,297.0,0.0,0.0,5.0,0.0,8192520192.0,419.0,552.0
8.728,1.247,89.900,0.0,0.0,0.125,0.0,2326528.0,0.310,0.140,0.080,1257918464.0,424681472.0,4622073856.0,10414878720.0,1122.0,387.0,3.0,0.0,54.0,0.0,8192520192.0,1868.0,2358.0
67.835,6.633,25.532,0.0,0.0,0.0,0.0,20480.0,1.010,0.280,0.120,1464938496.0,424681472.0,4622536704.0,10207395840.0,480.0,488.0,9.0,0.0,63.0,0.0,8192520192.0,2256.0,2025.0
94.118,5.632,0.250,0.0,0.0,0.0,0.0,0.0,1.010,0.280,0.120,1393532928.0,424681472.0,4624171008.0,10277167104.0,120.0,218.0,10.0,0.0,75.0,0.0,8192520192.0,2161.0,1931.0
91.635,8.365,0.0,0.0,0.0,0.0,0.0,0.0,1.010,0.280,0.120,1439404032.0,424681472.0,4625600512.0,10229866496.0,300.0,578.0,9.0,0.0,80.0,0.0,8192520192.0,2161.0,1957.0
93.867,6.133,0.0,0.0,0.0,0.0,0.0,364544.0,1.010,0.280,0.120,1468203008.0,424681472.0,4627615744.0,10199052288.0,642.0,218.0,9.0,0.0,40.0,0.0,8192520192.0,2141.0,1766.0
94.257,5.743,0.0,0.0,0.0,0.0,0.0,2224128.0,1.010,0.280,0.120,1485791232.0,424689664.0,4629553152.0,10179518464.0,60.0,578.0,10.0,0.0,31.0,0.0,8192520192.0,2146.0,1730.0
96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.730,0.440,0.180,1503342592.0,424689664.0,4630835200.0,10160685056.0,723.0,218.0,9.0,0.0,27.0,0.0,8192520192.0,2127.0,1727.0
93.116,6.383,0.501,0.0,0.0,0.0,0.0,0.0,1.730,0.440,0.180,1454247936.0,424689664.0,4633313280.0,10207301632.0,240.0,308.0,9.0,0.0,38.0,0.0,8192520192.0,2127.0,1754.0
