"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PKG19",,,,"User:","root"
"Cmdline:","dstat -cdlmnpsy --output singlepackjsc.csv",,,,"Date:","09 Mar 2014 21:54:16 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.911,0.134,97.946,0.008,0.0,0.001,3582.551,169758.809,1.510,0.400,0.180,1493065728.0,439455744.0,4638732288.0,10148298752.0,0.0,0.0,0.000,0.0,0.916,0.0,8192520192.0,151.354,237.103
92.759,6.991,0.250,0.0,0.0,0.0,0.0,0.0,1.510,0.400,0.180,1544499200.0,439455744.0,4640256000.0,10095341568.0,420.0,1844.0,9.0,0.0,38.0,0.0,8192520192.0,2144.0,1839.0
94.125,5.875,0.0,0.0,0.0,0.0,0.0,118784.0,1.510,0.400,0.180,1506701312.0,439468032.0,4642738176.0,10130644992.0,420.0,1268.0,9.0,0.0,36.0,0.0,8192520192.0,2167.0,1788.0
95.244,4.756,0.0,0.0,0.0,0.0,0.0,0.0,1.510,0.400,0.180,1556078592.0,439468032.0,4643741696.0,10080264192.0,620.0,1188.0,9.0,0.0,25.0,0.0,8192520192.0,2127.0,1677.0
93.875,5.625,0.500,0.0,0.0,0.0,0.0,0.0,1.510,0.400,0.180,1539534848.0,439468032.0,4645244928.0,10095304704.0,480.0,1670.0,9.0,0.0,42.0,0.0,8192520192.0,2154.0,1840.0
92.875,6.750,0.375,0.0,0.0,0.0,0.0,0.0,2.190,0.560,0.230,1455120384.0,439468032.0,4647329792.0,10177634304.0,480.0,2018.0,9.0,0.0,52.0,0.0,8192520192.0,2164.0,1895.0
94.375,5.500,0.125,0.0,0.0,0.0,0.0,1347584.0,2.190,0.560,0.230,1502601216.0,439468032.0,4649017344.0,10128465920.0,360.0,1150.0,9.0,0.0,30.0,0.0,8192520192.0,2223.0,1728.0
95.119,4.881,0.0,0.0,0.0,0.0,0.0,139264.0,2.190,0.560,0.230,1464168448.0,439476224.0,4650491904.0,10165415936.0,300.0,1418.0,9.0,0.0,36.0,0.0,8192520192.0,2141.0,1780.0
93.875,6.125,0.0,0.0,0.0,0.0,0.0,0.0,2.190,0.560,0.230,1538740224.0,439476224.0,4652019712.0,10089316352.0,360.0,1220.0,9.0,0.0,30.0,0.0,8192520192.0,2150.0,1795.0
95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190,0.560,0.230,1540952064.0,439476224.0,4653273088.0,10085851136.0,240.0,1150.0,9.0,0.0,29.0,0.0,8192520192.0,2144.0,1726.0
96.125,3.875,0.0,0.0,0.0,0.0,0.0,0.0,2.810,0.710,0.280,1547546624.0,439476224.0,4656119808.0,10076409856.0,300.0,984.0,9.0,0.0,26.0,0.0,8192520192.0,2139.0,1683.0
94.250,5.500,0.250,0.0,0.0,0.0,0.0,8192.0,2.810,0.710,0.280,1522135040.0,439476224.0,4656590848.0,10101350400.0,360.0,1284.0,9.0,0.0,34.0,0.0,8192520192.0,2120.0,1757.0
93.242,6.758,0.0,0.0,0.0,0.0,0.0,176128.0,2.810,0.710,0.280,1544192000.0,439484416.0,4658311168.0,10077564928.0,300.0,1348.0,9.0,0.0,35.0,0.0,8192520192.0,2162.0,1783.0
94.757,5.243,0.0,0.0,0.0,0.0,0.0,0.0,2.810,0.710,0.280,1528729600.0,439484416.0,4660436992.0,10090901504.0,240.0,1048.0,9.0,0.0,27.0,0.0,8192520192.0,2123.0,1694.0
94.0,5.125,0.875,0.0,0.0,0.0,0.0,0.0,2.810,0.710,0.280,1418481664.0,439484416.0,4662530048.0,10199056384.0,360.0,1552.0,9.0,0.0,40.0,0.0,8192520192.0,2142.0,1802.0
91.011,8.614,0.375,0.0,0.0,0.0,0.0,0.0,3.390,0.870,0.340,1429413888.0,439484416.0,4664012800.0,10186641408.0,420.0,1772.0,9.0,0.0,43.0,0.0,8192520192.0,2151.0,1848.0
92.356,7.143,0.501,0.0,0.0,0.0,0.0,0.0,3.390,0.870,0.340,1551818752.0,439484416.0,4664963072.0,10063286272.0,300.0,1584.0,9.0,0.0,44.0,0.0,8192520192.0,2169.0,1872.0
96.0,3.875,0.125,0.0,0.0,0.0,0.0,155648.0,3.390,0.870,0.340,1598230528.0,439492608.0,4666327040.0,10015502336.0,522.0,1130.0,9.0,0.0,26.0,0.0,8192520192.0,2145.0,1734.0
96.500,3.500,0.0,0.0,0.0,0.0,0.0,0.0,3.390,0.870,0.340,1573089280.0,439492608.0,4668162048.0,10038808576.0,300.0,1402.0,9.0,0.0,36.0,0.0,8192520192.0,2124.0,1716.0
