"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PKG19",,,,"User:","root"
"Cmdline:","dstat -cdlmnpsy --output singlepackjscinc.csv",,,,"Date:","09 Mar 2014 22:21:22 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
2.079,0.142,97.770,0.008,0.0,0.001,3563.261,177034.313,0.080,0.290,1.420,1333293056.0,440504320.0,6973333504.0,7972421632.0,0.0,0.0,0.0,0.0,0.962,0.0,8192520192.0,156.381,239.940
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.080,0.290,1.420,1333297152.0,440508416.0,6973333504.0,7972413440.0,60.0,474.0,0.0,0.0,0.0,0.0,8192520192.0,207.0,300.0
10.553,0.754,88.693,0.0,0.0,0.0,0.0,118784.0,0.080,0.290,1.420,1355669504.0,440508416.0,6973349888.0,7950024704.0,762.0,3370.0,3.0,0.0,96.0,0.0,8192520192.0,1974.0,1839.0
13.016,1.252,85.732,0.0,0.0,0.0,0.0,0.0,0.080,0.290,1.420,1328078848.0,440508416.0,6810779648.0,8140185600.0,840.0,3216.0,1.0,0.0,5.0,0.0,8192520192.0,869.0,926.0
4.261,1.253,94.486,0.0,0.0,0.0,0.0,176128.0,0.080,0.290,1.420,1330135040.0,440508416.0,6801072128.0,8147836928.0,1140.0,6628.0,0.0,0.0,60.0,0.0,8192520192.0,1059.0,1412.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.160,0.310,1.420,1330028544.0,440508416.0,6801096704.0,8147918848.0,60.0,218.0,0.0,0.0,0.0,0.0,8192520192.0,118.0,238.0
11.222,1.746,86.658,0.249,0.0,0.125,0.0,4636672.0,0.160,0.310,1.420,1346088960.0,440512512.0,6810861568.0,8122089472.0,300.0,534.0,3.0,0.0,54.0,0.0,8192520192.0,2297.0,2489.0
58.073,7.009,34.919,0.0,0.0,0.0,0.0,20480.0,0.160,0.310,1.420,1568325632.0,440512512.0,6797418496.0,7913295872.0,660.0,2994.0,9.0,0.0,58.0,0.0,8192520192.0,2063.0,2097.0
94.368,5.507,0.125,0.0,0.0,0.0,0.0,118784.0,0.160,0.310,1.420,1634668544.0,440516608.0,6797369344.0,7846998016.0,360.0,1338.0,9.0,0.0,30.0,0.0,8192520192.0,2135.0,1753.0
96.120,3.880,0.0,0.0,0.0,0.0,0.0,28672.0,0.160,0.310,1.420,1716228096.0,440516608.0,6797467648.0,7765340160.0,180.0,770.0,9.0,0.0,15.0,0.0,8192520192.0,2110.0,1647.0
97.0,3.0,0.0,0.0,0.0,0.0,0.0,2875392.0,0.860,0.450,1.460,1776254976.0,440516608.0,6797971456.0,7704809472.0,180.0,668.0,9.0,0.0,15.0,0.0,8192520192.0,2236.0,1606.0
98.875,1.125,0.0,0.0,0.0,0.0,0.0,1396736.0,0.860,0.450,1.460,1806667776.0,440520704.0,6798258176.0,7674105856.0,120.0,368.0,9.0,0.0,5.0,0.0,8192520192.0,2089.0,1534.0
93.250,6.625,0.125,0.0,0.0,0.0,0.0,139264.0,0.860,0.450,1.460,1615601664.0,440520704.0,6798237696.0,7865192448.0,600.0,1316.0,9.0,0.0,35.0,0.0,8192520192.0,2141.0,1779.0
97.0,3.0,0.0,0.0,0.0,0.0,0.0,86016.0,0.860,0.450,1.460,1643405312.0,440520704.0,6798270464.0,7837356032.0,240.0,636.0,9.0,0.0,11.0,0.0,8192520192.0,2098.0,1604.0
96.375,3.625,0.0,0.0,0.0,0.0,0.0,61440.0,0.860,0.450,1.460,1648394240.0,440520704.0,6798450688.0,7832186880.0,360.0,1022.0,9.0,0.0,22.0,0.0,8192520192.0,2132.0,1703.0
94.125,5.500,0.250,0.0,0.0,0.125,0.0,69632.0,1.520,0.590,1.500,1680121856.0,440520704.0,6797582336.0,7801327616.0,420.0,1118.0,9.0,0.0,27.0,0.0,8192520192.0,2115.0,1744.0
97.0,3.0,0.0,0.0,0.0,0.0,0.0,299008.0,1.520,0.590,1.500,1608597504.0,440524800.0,6798401536.0,7872028672.0,360.0,1568.0,9.0,0.0,39.0,0.0,8192520192.0,2150.0,1796.0
67.419,1.629,30.952,0.0,0.0,0.0,0.0,94208.0,1.520,0.590,1.500,1452773376.0,440524800.0,6798004224.0,8028250112.0,272.0,592.0,2.0,0.0,8.0,0.0,8192520192.0,1952.0,1472.0
12.859,0.125,86.891,0.125,0.0,0.0,0.0,69632.0,1.520,0.590,1.500,1439186944.0,440528896.0,6797697024.0,8042139648.0,364.0,218.0,1.0,0.0,1.0,0.0,8192520192.0,625.0,557.0
12.265,0.125,87.610,0.0,0.0,0.0,0.0,24576.0,1.520,0.590,1.500,1349033984.0,440528896.0,6800465920.0,8129523712.0,60.0,218.0,1.0,0.0,1.0,0.0,8192520192.0,419.0,419.0
11.250,1.375,87.375,0.0,0.0,0.0,0.0,0.0,1.470,0.600,1.490,1484525568.0,440528896.0,6752051200.0,8042446848.0,180.0,352.0,1.0,0.0,5.0,0.0,8192520192.0,535.0,532.0
11.875,0.625,87.375,0.125,0.0,0.0,0.0,249856.0,1.470,0.600,1.490,1485455360.0,440532992.0,6781947904.0,8011616256.0,303.0,218.0,1.0,0.0,0.0,0.0,8192520192.0,362.0,357.0
11.014,1.627,87.359,0.0,0.0,0.0,0.0,2723840.0,1.470,0.600,1.490,1329254400.0,440532992.0,6800203776.0,8149561344.0,1440.0,31156.0,1.0,0.0,45.0,0.0,8192520192.0,1480.0,4850.0
12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,1.470,0.600,1.490,1372512256.0,440532992.0,6800171008.0,8106336256.0,60.0,218.0,1.0,0.0,9.0,0.0,8192520192.0,713.0,686.0
12.375,0.125,87.375,0.125,0.0,0.0,0.0,40960.0,1.470,0.600,1.490,1391169536.0,440532992.0,6800171008.0,8087678976.0,212.0,218.0,1.0,0.0,0.0,0.0,8192520192.0,399.0,405.0
13.625,1.875,84.500,0.0,0.0,0.0,0.0,430080.0,1.440,0.610,1.490,1455136768.0,440532992.0,6791827456.0,8032055296.0,604.0,1970.0,1.0,0.0,53.0,0.0,8192520192.0,771.0,1104.0
