"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm3_64.csv",,,,"Date:","10 Mar 2014 09:52:39 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
8.306,0.832,90.802,0.022,0.000,0.038,11038.081,888657.211,0.420,0.440,0.350,1682923520.0,481128448.0,1426165760.0,13153300480.0,0.0,0.0,0.0,0.0,4.906,0.0,17091784704.0,691.457,784.879
1.375,0.500,98.125,0.0,0.0,0.0,0.0,8192.0,1.500,0.660,0.420,1683369984.0,481128448.0,1426169856.0,13152849920.0,1588.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,602.0,1003.0
0.750,0.375,98.875,0.0,0.0,0.0,0.0,0.0,1.500,0.660,0.420,1683550208.0,481128448.0,1426169856.0,13152669696.0,1588.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,360.0,697.0
17.647,3.630,78.348,0.250,0.0,0.125,0.0,258048.0,1.500,0.660,0.420,1688682496.0,481128448.0,1426178048.0,13147529216.0,1588.0,264.0,1.0,0.0,105.0,0.0,17091784704.0,3351.0,3894.0
12.155,1.253,86.591,0.0,0.0,0.0,0.0,143360.0,1.500,0.660,0.420,1687433216.0,481128448.0,1427963904.0,13146992640.0,1648.0,306.0,1.0,0.0,42.0,0.0,17091784704.0,1177.0,1453.0
1.627,0.501,97.872,0.0,0.0,0.0,0.0,20480.0,1.500,0.660,0.420,1689657344.0,481128448.0,1427988480.0,13144743936.0,1930.0,804.0,1.0,0.0,18.0,0.0,17091784704.0,665.0,1085.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,1.380,0.650,0.420,1689559040.0,481128448.0,1428205568.0,13144625152.0,1816.0,624.0,1.0,0.0,0.0,0.0,17091784704.0,415.0,786.0
21.973,5.119,72.909,0.0,0.0,0.0,0.0,2347008.0,1.380,0.650,0.420,1729224704.0,481128448.0,1440301056.0,13092864000.0,1588.0,264.0,13.0,0.0,129.0,0.0,17091784704.0,3131.0,3830.0
83.333,15.288,0.376,0.0,0.0,1.003,0.0,3031040.0,1.380,0.650,0.420,1823502336.0,481128448.0,1454366720.0,12984520704.0,853382.0,7940566.0,13.0,0.0,221.0,0.0,17091784704.0,10786.0,4915.0
82.875,16.250,0.0,0.0,0.0,0.875,0.0,307200.0,1.380,0.650,0.420,1848938496.0,481128448.0,1466990592.0,12946460672.0,2249674.0,9412121.0,14.0,0.0,149.0,0.0,17091784704.0,13216.0,6678.0
82.228,16.771,0.0,0.0,0.0,1.001,0.0,294912.0,1.380,0.650,0.420,1947422720.0,481128448.0,1480966144.0,12834000896.0,2135338.0,8261005.0,18.0,0.0,145.0,0.0,17091784704.0,11941.0,6442.0
84.395,14.981,0.0,0.0,0.0,0.624,0.0,245760.0,2.630,0.920,0.500,1978294272.0,481128448.0,1499922432.0,12784173056.0,1420714.0,5233969.0,18.0,0.0,139.0,0.0,17091784704.0,8831.0,5139.0
85.357,13.392,0.125,0.0,0.0,1.126,0.0,385024.0,2.630,0.920,0.500,1914634240.0,481128448.0,1509842944.0,12837912576.0,2017392.0,9808252.0,10.0,0.0,127.0,0.0,17091784704.0,12731.0,6051.0
87.359,11.890,0.0,0.0,0.0,0.751,0.0,3231744.0,2.630,0.920,0.500,1967558656.0,481128448.0,1515962368.0,12778868736.0,2567536.0,7613394.0,10.0,0.0,89.0,0.0,17091784704.0,12006.0,6813.0
85.750,13.125,0.0,0.0,0.0,1.125,0.0,434176.0,2.630,0.920,0.500,1906225152.0,481128448.0,1524068352.0,12832096256.0,2150640.0,7548909.0,14.0,0.0,119.0,0.0,17091784704.0,11235.0,6317.0
88.125,10.625,0.250,0.0,0.0,1.0,0.0,376832.0,2.630,0.920,0.500,1987538944.0,481128448.0,1532243968.0,12742606848.0,1818664.0,6589612.0,11.0,0.0,78.0,0.0,17091784704.0,10401.0,5486.0
