"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs31_64.csv",,,,"Date:","10 Mar 2014 09:52:36 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.665,0.054,99.165,0.110,0.000,0.006,1794.589,141709.940,0.070,0.050,0.050,1202057216.0,459321344.0,8228151296.0,6853988352.0,0.0,0.0,0.0,0.0,0.313,0.0,17091784704.0,217.808,277.678
0.125,0.0,99.377,0.499,0.0,0.0,0.0,389120.0,0.070,0.050,0.050,1202065408.0,459321344.0,8228151296.0,6853980160.0,432.0,1476.0,0.0,0.0,0.0,0.0,17091784704.0,135.0,216.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.050,0.050,1202061312.0,459321344.0,8228155392.0,6853980160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,71.0,135.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.050,0.050,1202061312.0,459321344.0,8228155392.0,6853980160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,152.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.050,0.050,1202061312.0,459321344.0,8228155392.0,6853980160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,92.0,178.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.060,0.050,0.050,1202061312.0,459321344.0,8228155392.0,6853980160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,157.0
0.125,0.125,99.375,0.375,0.0,0.0,0.0,221184.0,0.060,0.050,0.050,1202061312.0,459321344.0,8228155392.0,6853980160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,117.0,171.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.050,0.050,1202069504.0,459321344.0,8228155392.0,6853971968.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,73.0,138.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.060,0.050,0.050,1202069504.0,459321344.0,8228155392.0,6853971968.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,87.0,162.0
4.141,0.502,95.232,0.0,0.0,0.125,0.0,0.0,0.060,0.050,0.050,1234034688.0,459321344.0,8231387136.0,6818775040.0,3368069.0,79522.0,3.0,0.0,4.0,0.0,17091784704.0,3637.0,4746.0
41.573,1.248,56.804,0.0,0.0,0.375,0.0,0.0,0.380,0.110,0.070,1304809472.0,459321344.0,8231387136.0,6748000256.0,2791668.0,558528.0,5.0,0.0,13.0,0.0,17091784704.0,4935.0,4882.0
35.383,1.631,62.735,0.0,0.0,0.251,0.0,0.0,0.380,0.110,0.070,1229955072.0,459321344.0,8229224448.0,6825017344.0,3614569.0,1407264.0,1.0,0.0,15.0,0.0,17091784704.0,6296.0,6035.0
30.538,1.252,67.334,0.501,0.0,0.375,0.0,65536.0,0.380,0.110,0.070,1296936960.0,459321344.0,8232013824.0,6755246080.0,5388706.0,599222.0,4.0,0.0,15.0,0.0,17091784704.0,7239.0,8261.0
31.995,1.255,66.625,0.0,0.0,0.125,0.0,0.0,0.380,0.110,0.070,1250037760.0,459321344.0,8231686144.0,6802472960.0,4486661.0,1394282.0,3.0,0.0,13.0,0.0,17091784704.0,6963.0,7196.0
42.409,1.255,55.960,0.0,0.0,0.376,0.0,0.0,0.380,0.110,0.070,1351979008.0,459321344.0,8231444480.0,6700773376.0,3175135.0,788290.0,5.0,0.0,14.0,0.0,17091784704.0,5635.0,5441.0
41.771,1.122,56.608,0.0,0.0,0.499,0.0,0.0,0.670,0.180,0.090,1326800896.0,459321344.0,8230727680.0,6726668288.0,1842771.0,1099590.0,4.0,0.0,10.0,0.0,17091784704.0,4425.0,3630.0
39.076,1.373,59.176,0.0,0.0,0.375,0.0,0.0,0.670,0.180,0.090,1394118656.0,459321344.0,8234016768.0,6656061440.0,3762812.0,561740.0,5.0,0.0,14.0,0.0,17091784704.0,5775.0,6179.0
39.625,1.375,58.125,0.500,0.0,0.375,0.0,45056.0,0.670,0.180,0.090,1323646976.0,459321344.0,8232009728.0,6728540160.0,4276946.0,1668850.0,5.0,0.0,15.0,0.0,17091784704.0,9143.0,6940.0
41.948,0.624,57.179,0.0,0.0,0.250,0.0,0.0,0.670,0.180,0.090,1265844224.0,459321344.0,8230776832.0,6787575808.0,1816432.0,1182360.0,3.0,0.0,10.0,0.0,17091784704.0,4098.0,3521.0
37.0,1.250,61.375,0.0,0.0,0.375,0.0,0.0,0.670,0.180,0.090,1251659776.0,459321344.0,8230817792.0,6801719296.0,3575009.0,1172832.0,3.0,0.0,13.0,0.0,17091784704.0,5990.0,5958.0
39.700,1.373,58.427,0.0,0.0,0.499,0.0,0.0,0.930,0.240,0.110,1266208768.0,459321344.0,8231436288.0,6786551808.0,3124214.0,894624.0,4.0,0.0,16.0,0.0,17091784704.0,5463.0,5349.0
31.461,1.623,66.167,0.0,0.0,0.749,0.0,0.0,0.930,0.240,0.110,1215131648.0,459321344.0,8230506496.0,6838558720.0,4254670.0,1581572.0,2.0,0.0,18.0,0.0,17091784704.0,7273.0,6983.0
