"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs32_64.csv",,,,"Date:","10 Mar 2014 09:52:39 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.598,0.029,99.359,0.011,0.0,0.003,3630.016,4535.654,0.130,0.060,0.050,297992192.0,108859392.0,544169984.0,7180705792.0,0.0,0.0,0.0,0.0,0.222,0.0,8343515136.0,69.553,71.155
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.130,0.060,0.050,297992192.0,108859392.0,544169984.0,7180705792.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,72.0,94.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.130,0.060,0.050,297979904.0,108859392.0,544174080.0,7180713984.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,42.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.130,0.060,0.050,297979904.0,108859392.0,544174080.0,7180713984.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,23.0,31.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.130,0.060,0.050,298115072.0,108859392.0,544174080.0,7180578816.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.120,0.060,0.050,298115072.0,108859392.0,544174080.0,7180578816.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,42.0
0.125,0.125,99.252,0.499,0.0,0.0,0.0,36864.0,0.120,0.060,0.050,298106880.0,108867584.0,544174080.0,7180578816.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,40.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.120,0.060,0.050,298106880.0,108867584.0,544174080.0,7180578816.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,32.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,389120.0,0.120,0.060,0.050,298106880.0,108867584.0,544174080.0,7180578816.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,45.0,42.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.120,0.060,0.050,298106880.0,108867584.0,544174080.0,7180578816.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,36.0
11.347,0.748,87.656,0.0,0.0,0.249,0.0,0.0,0.430,0.130,0.070,369487872.0,108867584.0,547274752.0,7106097152.0,3449358.0,95974.0,5.0,0.0,11.0,0.0,8343515136.0,1654.0,2075.0
32.375,1.500,65.875,0.0,0.0,0.250,0.0,0.0,0.430,0.130,0.070,360906752.0,108867584.0,546631680.0,7115321344.0,4965630.0,1231910.0,3.0,1.0,19.0,0.0,8343515136.0,3040.0,3322.0
36.921,1.252,61.076,0.375,0.0,0.375,0.0,77824.0,0.430,0.130,0.070,362274816.0,108875776.0,547241984.0,7113334784.0,3147026.0,900228.0,4.0,0.0,15.0,0.0,8343515136.0,3185.0,2424.0
25.657,1.001,73.217,0.0,0.0,0.125,0.0,188416.0,0.430,0.130,0.070,376102912.0,108875776.0,545624064.0,7101124608.0,2915185.0,979966.0,3.0,0.0,12.0,0.0,8343515136.0,2337.0,2363.0
27.397,0.996,71.108,0.0,0.0,0.498,0.0,0.0,0.430,0.130,0.070,358715392.0,108875776.0,546897920.0,7117238272.0,4812931.0,1216980.0,3.0,0.0,18.0,0.0,8343515136.0,3073.0,3396.0
37.469,1.754,60.777,0.0,0.0,0.0,0.0,0.0,0.630,0.180,0.090,338788352.0,108875776.0,545738752.0,7138324480.0,3501184.0,1471134.0,3.0,0.0,13.0,0.0,8343515136.0,2705.0,2622.0
29.713,0.749,69.039,0.0,0.0,0.499,0.0,0.0,0.630,0.180,0.090,326455296.0,108875776.0,545611776.0,7150784512.0,4373957.0,1087310.0,2.0,1.0,16.0,0.0,8343515136.0,3032.0,3161.0
