"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm3.csv",,,,"Date:","09 Mar 2014 16:52:19 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
10.171,0.930,88.822,0.030,0.000,0.047,18901.374,1144707.841,0.610,0.880,2.420,1605402624.0,474320896.0,1407442944.0,13256351744.0,0.0,0.0,0.0,0.0,6.517,0.0,17091784704.0,772.212,794.877
1.252,0.501,98.123,0.125,0.0,0.0,0.0,57344.0,0.610,0.880,2.420,1605271552.0,474320896.0,1407447040.0,13256478720.0,1474.0,198.0,0.0,0.0,0.0,0.0,17091784704.0,620.0,1014.0
9.011,1.627,89.362,0.0,0.0,0.0,0.0,114688.0,0.610,0.880,2.420,1621626880.0,474320896.0,1407455232.0,13240115200.0,1534.0,240.0,2.0,0.0,100.0,0.0,17091784704.0,2009.0,2258.0
15.038,0.627,84.336,0.0,0.0,0.0,0.0,0.0,0.720,0.900,2.420,1612288000.0,474320896.0,1407430656.0,13249478656.0,1474.0,198.0,2.0,0.0,5.0,0.0,17091784704.0,1325.0,1219.0
5.257,1.377,93.367,0.0,0.0,0.0,0.0,163840.0,0.720,0.900,2.420,1613004800.0,474320896.0,1409458176.0,13246734336.0,1474.0,198.0,1.0,0.0,60.0,0.0,17091784704.0,1175.0,1572.0
0.874,0.375,98.752,0.0,0.0,0.0,0.0,0.0,0.720,0.900,2.420,1613266944.0,474320896.0,1409490944.0,13246439424.0,1474.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,368.0,699.0
11.432,1.759,86.558,0.251,0.0,0.0,0.0,5451776.0,0.720,0.900,2.420,1627475968.0,474329088.0,1419415552.0,13222297600.0,1474.0,198.0,4.0,0.0,54.0,0.0,17091784704.0,2419.0,2800.0
59.649,14.536,24.561,0.0,0.0,1.253,0.0,135168.0,0.720,0.900,2.420,1759870976.0,474329088.0,1434169344.0,13075148800.0,162732.0,6472335.0,13.0,0.0,249.0,0.0,17091784704.0,8712.0,3996.0
81.273,17.978,0.0,0.0,0.0,0.749,0.0,266240.0,1.790,1.120,2.480,1773105152.0,474329088.0,1447407616.0,13048676352.0,1632024.0,6977065.0,18.0,0.0,165.0,0.0,17091784704.0,10549.0,5581.0
82.854,16.020,0.0,0.0,0.0,1.126,0.0,303104.0,1.790,1.120,2.480,1834573824.0,474329088.0,1462198272.0,12972417024.0,2295220.0,7217524.0,13.0,0.0,129.0,0.0,17091784704.0,11128.0,6419.0
86.783,12.344,0.249,0.0,0.0,0.623,0.0,4677632.0,1.790,1.120,2.480,1882644480.0,474345472.0,1470697472.0,12915830784.0,2191136.0,7399237.0,15.0,0.0,97.0,0.0,17091784704.0,11454.0,6340.0
85.982,12.140,0.125,0.0,0.0,1.752,0.0,311296.0,1.790,1.120,2.480,1874448384.0,474345472.0,1477890048.0,12916834304.0,1581872.0,8301392.0,12.0,0.0,99.0,0.0,17091784704.0,11572.0,5276.0
89.125,9.625,0.125,0.0,0.0,1.125,0.0,344064.0,1.790,1.120,2.480,1922355200.0,474345472.0,1482240000.0,12864577536.0,2558688.0,7115162.0,13.0,0.0,98.0,0.0,17091784704.0,11093.0,6360.0
83.333,15.789,0.0,0.0,0.0,0.877,0.0,376832.0,2.680,1.310,2.540,1869389824.0,474345472.0,1493393408.0,12906389504.0,2696872.0,9165314.0,14.0,0.0,120.0,0.0,17091784704.0,13158.0,6964.0
