"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs32j.csv",,,,"Date:","09 Mar 2014 16:52:16 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.720,0.033,99.226,0.016,0.0,0.004,6836.381,6547.413,0.110,0.060,0.050,292528128.0,103870464.0,537194496.0,7198134272.0,0.0,0.0,0.0,0.0,0.281,0.0,8343515136.0,80.221,80.728
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.060,0.050,292663296.0,103870464.0,537194496.0,7197999104.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,91.0,105.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.060,0.050,292663296.0,103870464.0,537194496.0,7197999104.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,30.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.060,0.050,292663296.0,103870464.0,537194496.0,7197999104.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,38.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.060,0.050,292663296.0,103870464.0,537194496.0,7197999104.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,40.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.060,0.050,292659200.0,103870464.0,537198592.0,7197999104.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,48.0,56.0
0.0,0.0,99.625,0.375,0.0,0.0,0.0,28672.0,0.100,0.060,0.050,292655104.0,103878656.0,537194496.0,7197999104.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.060,0.050,292675584.0,103878656.0,537198592.0,7197974528.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,38.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.100,0.060,0.050,292675584.0,103878656.0,537198592.0,7197974528.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,38.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.060,0.050,292675584.0,103878656.0,537198592.0,7197974528.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,37.0,58.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.090,0.060,0.050,292675584.0,103878656.0,537198592.0,7197974528.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,34.0
0.250,0.250,99.376,0.0,0.0,0.125,0.0,0.0,0.090,0.060,0.050,294273024.0,103878656.0,537903104.0,7195672576.0,903341.0,22918.0,1.0,0.0,2.0,0.0,8343515136.0,322.0,501.0
28.964,0.999,69.164,0.499,0.0,0.375,0.0,36864.0,0.090,0.060,0.050,329166848.0,103886848.0,538578944.0,7160094720.0,4588948.0,852674.0,3.0,0.0,17.0,0.0,8343515136.0,2990.0,3123.0
41.250,1.0,57.500,0.0,0.0,0.250,0.0,0.0,0.090,0.060,0.050,421900288.0,103886848.0,540577792.0,7065362432.0,4342056.0,670936.0,4.0,0.0,17.0,0.0,8343515136.0,2880.0,2940.0
38.673,1.001,59.825,0.0,0.0,0.501,0.0,0.0,0.090,0.060,0.050,404160512.0,103886848.0,540364800.0,7083315200.0,3573360.0,1110938.0,3.0,0.0,18.0,0.0,8343515136.0,3162.0,2679.0
41.051,0.751,57.947,0.0,0.0,0.250,0.0,0.0,0.320,0.110,0.070,410087424.0,103886848.0,541368320.0,7076384768.0,3559286.0,885232.0,4.0,0.0,15.0,0.0,8343515136.0,3150.0,2576.0
41.375,1.250,57.125,0.0,0.0,0.250,0.0,0.0,0.320,0.110,0.070,351051776.0,103886848.0,540987392.0,7135801344.0,2649421.0,1311394.0,3.0,0.0,11.0,0.0,8343515136.0,2578.0,2228.0
36.216,1.504,61.529,0.376,0.0,0.376,0.0,45056.0,0.320,0.110,0.070,341344256.0,103895040.0,538714112.0,7147773952.0,5276773.0,1637474.0,2.0,0.0,25.0,0.0,8343515136.0,3346.0,3842.0
31.796,1.372,66.334,0.0,0.0,0.499,0.0,0.0,0.320,0.110,0.070,357863424.0,103895040.0,539881472.0,7130087424.0,5519572.0,1318534.0,2.0,0.0,15.0,0.0,8343515136.0,3740.0,3722.0
41.625,1.0,57.125,0.0,0.0,0.250,0.0,0.0,0.320,0.110,0.070,411172864.0,103895040.0,540770304.0,7075889152.0,3057729.0,706854.0,4.0,0.0,11.0,0.0,8343515136.0,2410.0,2274.0
38.924,0.876,60.075,0.0,0.0,0.125,0.0,0.0,0.540,0.160,0.080,320978944.0,103895040.0,539353088.0,7167500288.0,3410421.0,1684160.0,2.0,0.0,14.0,0.0,8343515136.0,3059.0,2673.0
39.125,1.125,59.500,0.0,0.0,0.250,0.0,0.0,0.540,0.160,0.080,376160256.0,103895040.0,539860992.0,7111811072.0,4370627.0,722790.0,3.0,0.0,15.0,0.0,8343515136.0,2733.0,3066.0
31.790,1.252,66.083,0.501,0.0,0.375,0.0,40960.0,0.540,0.160,0.080,384409600.0,103903232.0,540389376.0,7103025152.0,4603705.0,1374674.0,3.0,0.0,13.0,0.0,8343515136.0,3175.0,3139.0
45.625,0.625,53.625,0.0,0.0,0.125,0.0,0.0,0.540,0.160,0.080,436789248.0,103903232.0,541085696.0,7049949184.0,1951709.0,373158.0,4.0,0.0,8.0,0.0,8343515136.0,2086.0,1746.0
