"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm2.csv",,,,"Date:","09 Mar 2014 13:03:53 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
6.776,0.686,92.480,0.030,0.000,0.028,22443.132,801289.636,2.120,1.620,0.840,1357139968.0,466472960.0,2070507520.0,12849397760.0,0.0,0.0,0.000,0.0,4.497,0.0,17091784704.0,515.403,582.913
3.121,1.623,95.256,0.0,0.0,0.0,0.0,0.0,2.120,1.620,0.840,1357271040.0,466472960.0,2070507520.0,12849266688.0,300.0,0.0,0.0,0.0,0.0,0.0,17091784704.0,1015.0,1715.0
1.375,0.375,98.250,0.0,0.0,0.0,0.0,0.0,2.120,1.620,0.840,1357381632.0,466472960.0,2070511616.0,12849152000.0,544.0,360.0,0.0,0.0,0.0,0.0,17091784704.0,335.0,548.0
0.750,0.375,98.875,0.0,0.0,0.0,0.0,0.0,2.030,1.610,0.850,1357086720.0,466472960.0,2070511616.0,12849446912.0,576.0,360.0,0.0,0.0,0.0,0.0,17091784704.0,179.0,327.0
3.0,0.375,96.500,0.0,0.0,0.125,0.0,0.0,2.030,1.610,0.850,1357357056.0,466472960.0,2070515712.0,12849172480.0,1890.0,312.0,0.0,0.0,1.0,0.0,17091784704.0,594.0,940.0
1.875,1.250,96.875,0.0,0.0,0.0,0.0,0.0,2.030,1.610,0.850,1357561856.0,466472960.0,2070519808.0,12848963584.0,944.0,132.0,1.0,0.0,0.0,0.0,17091784704.0,543.0,967.0
2.372,0.749,96.754,0.125,0.0,0.0,0.0,61440.0,2.030,1.610,0.850,1357561856.0,466472960.0,2070519808.0,12848963584.0,1058.0,312.0,1.0,0.0,0.0,0.0,17091784704.0,752.0,1328.0
1.125,0.250,98.500,0.0,0.0,0.125,0.0,0.0,2.030,1.610,0.850,1357381632.0,466472960.0,2070519808.0,12849143808.0,1074.0,312.0,0.0,0.0,0.0,0.0,17091784704.0,192.0,342.0
1.498,0.499,98.002,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.850,1357430784.0,466472960.0,2070519808.0,12849094656.0,1220.0,492.0,0.0,0.0,0.0,0.0,17091784704.0,214.0,363.0
4.115,1.247,94.638,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.850,1357492224.0,466472960.0,2070519808.0,12849033216.0,2594.0,486.0,1.0,0.0,0.0,0.0,17091784704.0,599.0,958.0
4.726,2.363,92.910,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.850,1357590528.0,466472960.0,2070519808.0,12848934912.0,1768.0,558.0,1.0,0.0,0.0,0.0,17091784704.0,1216.0,1900.0
1.998,0.749,97.253,0.0,0.0,0.0,0.0,45056.0,2.020,1.620,0.850,1357582336.0,466472960.0,2070528000.0,12848934912.0,1718.0,378.0,1.0,0.0,0.0,0.0,17091784704.0,276.0,444.0
1.873,0.624,97.503,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.850,1357631488.0,466472960.0,2070528000.0,12848885760.0,1734.0,378.0,0.0,0.0,0.0,0.0,17091784704.0,234.0,390.0
3.741,1.870,94.389,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.860,1357656064.0,466472960.0,2070536192.0,12848852992.0,3178.0,510.0,0.0,0.0,0.0,0.0,17091784704.0,670.0,1166.0
4.994,1.623,93.383,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.860,1357524992.0,466472960.0,2070536192.0,12848984064.0,2232.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,866.0,1332.0
2.375,0.625,97.0,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.860,1357537280.0,466472960.0,2070540288.0,12848967680.0,2232.0,330.0,1.0,0.0,0.0,0.0,17091784704.0,256.0,413.0
2.494,0.623,96.758,0.125,0.0,0.0,0.0,53248.0,2.020,1.620,0.860,1357615104.0,466472960.0,2070544384.0,12848885760.0,2232.0,330.0,1.0,0.0,0.0,0.0,17091784704.0,310.0,507.0
3.250,0.875,95.875,0.0,0.0,0.0,0.0,0.0,2.020,1.620,0.860,1357910016.0,466472960.0,2070544384.0,12848590848.0,2232.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,491.0,740.0
2.497,0.375,97.129,0.0,0.0,0.0,0.0,73728.0,1.940,1.610,0.860,1357516800.0,466472960.0,2070544384.0,12848984064.0,2232.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,382.0,572.0
9.661,2.509,87.829,0.0,0.0,0.0,0.0,114688.0,1.940,1.610,0.860,1372520448.0,466472960.0,2070544384.0,12833980416.0,2118.0,264.0,2.0,0.0,100.0,0.0,17091784704.0,1862.0,2291.0
18.023,0.876,80.976,0.0,0.0,0.125,0.0,0.0,1.940,1.610,0.860,1363558400.0,466472960.0,2070257664.0,12843229184.0,2178.0,306.0,1.0,0.0,5.0,0.0,17091784704.0,1447.0,1346.0
9.774,3.133,86.967,0.125,0.0,0.0,0.0,356352.0,1.940,1.610,0.860,1369825280.0,466497536.0,2060283904.0,12846911488.0,2118.0,264.0,1.0,0.0,59.0,0.0,17091784704.0,1533.0,2367.0
7.277,3.388,89.335,0.0,0.0,0.0,0.0,0.0,1.940,1.610,0.860,1365655552.0,466497536.0,2060591104.0,12850774016.0,2118.0,264.0,1.0,0.0,1.0,0.0,17091784704.0,1335.0,2085.0
10.388,2.503,86.984,0.0,0.0,0.125,0.0,2326528.0,1.940,1.620,0.870,1370017792.0,466497536.0,2070425600.0,12836577280.0,2118.0,264.0,3.0,0.0,54.0,0.0,17091784704.0,2405.0,3092.0
43.429,12.140,44.431,0.0,0.0,0.0,0.0,589824.0,1.940,1.620,0.870,1404817408.0,466497536.0,2071523328.0,12800679936.0,2118.0,264.0,10.0,0.0,131.0,0.0,17091784704.0,2406.0,2714.0
59.0,20.0,20.750,0.0,0.0,0.250,0.0,1380352.0,1.940,1.620,0.870,1430704128.0,466497536.0,2020093952.0,12826222592.0,2118.0,264.0,1.0,0.0,145.0,0.0,17091784704.0,2354.0,3139.0
12.750,1.0,86.0,0.250,0.0,0.0,0.0,3813376.0,1.940,1.620,0.870,1521233920.0,466497536.0,2027896832.0,12727889920.0,2118.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,533.0,539.0
13.358,0.749,85.893,0.0,0.0,0.0,0.0,0.0,1.940,1.620,0.870,1521758208.0,466497536.0,2055778304.0,12699484160.0,2118.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,514.0,537.0
11.654,2.381,85.965,0.0,0.0,0.0,0.0,2732032.0,1.790,1.590,0.860,1360764928.0,466497536.0,2070777856.0,12845477888.0,2118.0,264.0,1.0,0.0,85.0,0.0,17091784704.0,1314.0,1731.0
94.110,4.261,1.629,0.0,0.0,0.0,0.0,0.0,1.790,1.590,0.860,1436319744.0,466497536.0,2071539712.0,12769161216.0,2118.0,264.0,10.0,0.0,355.0,0.0,17091784704.0,2475.0,3584.0
97.372,2.503,0.125,0.0,0.0,0.0,0.0,0.0,1.790,1.590,0.860,1606090752.0,466497536.0,2072514560.0,12598415360.0,2118.0,264.0,11.0,0.0,132.0,0.0,17091784704.0,2237.0,2239.0
96.996,2.628,0.375,0.0,0.0,0.0,0.0,409600.0,1.790,1.590,0.860,1798004736.0,466497536.0,2072834048.0,12406181888.0,2178.0,306.0,10.0,0.0,80.0,0.0,17091784704.0,2225.0,2043.0
97.880,2.120,0.0,0.0,0.0,0.0,0.0,0.0,1.790,1.590,0.860,2017513472.0,466497536.0,2073096192.0,12186411008.0,2232.0,330.0,9.0,0.0,15.0,0.0,17091784704.0,2138.0,1636.0
96.989,2.760,0.251,0.0,0.0,0.0,0.0,32768.0,2.450,1.730,0.910,1891872768.0,466497536.0,2078269440.0,12306878464.0,2118.0,264.0,9.0,0.0,88.0,0.0,17091784704.0,2208.0,2042.0
98.625,1.375,0.0,0.0,0.0,0.0,0.0,0.0,2.450,1.730,0.910,2083012608.0,466497536.0,2078736384.0,12115271680.0,2118.0,264.0,10.0,0.0,0.0,0.0,17091784704.0,2112.0,1572.0
98.375,1.625,0.0,0.0,0.0,0.0,0.0,0.0,2.450,1.730,0.910,2028318720.0,466497536.0,2085220352.0,12163481600.0,2118.0,264.0,9.0,0.0,17.0,0.0,17091784704.0,2156.0,1671.0
98.127,1.748,0.125,0.0,0.0,0.0,0.0,155648.0,2.450,1.730,0.910,1904447488.0,466497536.0,2092630016.0,12279943168.0,2118.0,264.0,9.0,0.0,38.0,0.0,17091784704.0,2179.0,1793.0
97.875,2.125,0.0,0.0,0.0,0.0,0.0,0.0,2.450,1.730,0.910,1921552384.0,466497536.0,2089164800.0,12266303488.0,2118.0,264.0,10.0,0.0,99.0,0.0,17091784704.0,2263.0,2183.0
98.248,1.752,0.0,0.0,0.0,0.0,0.0,32768.0,2.970,1.850,0.950,1916596224.0,466497536.0,2094764032.0,12265660416.0,2118.0,264.0,9.0,0.0,28.0,0.0,17091784704.0,2156.0,1695.0
96.625,3.250,0.125,0.0,0.0,0.0,0.0,0.0,2.970,1.850,0.950,1663467520.0,466497536.0,2103734272.0,12509818880.0,2118.0,264.0,9.0,0.0,88.0,0.0,17091784704.0,2209.0,2021.0
97.243,2.256,0.501,0.0,0.0,0.0,0.0,0.0,2.970,1.850,0.950,1909977088.0,466497536.0,2099781632.0,12267261952.0,2118.0,264.0,10.0,0.0,104.0,0.0,17091784704.0,2232.0,2128.0
98.125,1.875,0.0,0.0,0.0,0.0,0.0,163840.0,2.970,1.850,0.950,2063933440.0,466497536.0,2101116928.0,12111970304.0,2118.0,264.0,9.0,0.0,22.0,0.0,17091784704.0,2187.0,1722.0
97.497,2.378,0.125,0.0,0.0,0.0,0.0,0.0,2.970,1.850,0.950,1998045184.0,466497536.0,2108342272.0,12170633216.0,2178.0,306.0,9.0,0.0,45.0,0.0,17091784704.0,2184.0,1778.0
98.627,1.373,0.0,0.0,0.0,0.0,0.0,36864.0,3.450,1.970,1.0,2039681024.0,466497536.0,2109378560.0,12127961088.0,2118.0,264.0,10.0,0.0,24.0,0.0,17091784704.0,2178.0,1747.0
97.129,2.122,0.749,0.0,0.0,0.0,0.0,0.0,3.450,1.970,1.0,2060111872.0,466497536.0,2109444096.0,12107464704.0,2232.0,330.0,9.0,0.0,85.0,0.0,17091784704.0,2252.0,2028.0
98.0,1.875,0.0,0.0,0.0,0.125,0.0,0.0,3.450,1.970,1.0,2016862208.0,466497536.0,2113388544.0,12146769920.0,2118.0,264.0,9.0,0.0,33.0,0.0,17091784704.0,2176.0,1727.0
98.375,1.500,0.0,0.0,0.0,0.125,0.0,163840.0,3.450,1.970,1.0,2023710720.0,466497536.0,2124132352.0,12129177600.0,2118.0,264.0,10.0,0.0,34.0,0.0,17091784704.0,2203.0,1822.0
97.118,2.757,0.0,0.0,0.0,0.125,0.0,0.0,3.450,1.970,1.0,1867010048.0,466497536.0,2120867840.0,12289142784.0,2118.0,264.0,9.0,0.0,54.0,0.0,17091784704.0,2176.0,1808.0
97.756,1.995,0.125,0.0,0.0,0.125,0.0,0.0,3.980,2.110,1.040,1942155264.0,466497536.0,2124644352.0,12210221056.0,2118.0,264.0,9.0,0.0,34.0,0.0,17091784704.0,2170.0,1773.0
97.243,2.757,0.0,0.0,0.0,0.0,0.0,0.0,3.980,2.110,1.040,1764970496.0,466497536.0,2129518592.0,12382531584.0,2118.0,264.0,10.0,0.0,71.0,0.0,17091784704.0,2250.0,2025.0
98.252,1.748,0.0,0.0,0.0,0.0,0.0,0.0,3.980,2.110,1.040,1966526464.0,466497536.0,2126684160.0,12183810048.0,2232.0,330.0,9.0,0.0,38.0,0.0,17091784704.0,2160.0,1753.0
