"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs41.csv",,,,"Date:","09 Mar 2014 15:00:25 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.485,0.053,99.329,0.129,0.000,0.005,2554.512,198385.057,0.080,0.080,0.130,1190891520.0,453726208.0,8214224896.0,6884675584.0,0.0,0.0,0.0,0.0,0.304,0.0,17091784704.0,199.468,268.135
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.080,0.130,1190899712.0,453726208.0,8214224896.0,6884667392.0,432.0,1476.0,0.0,0.0,0.0,0.0,17091784704.0,130.0,205.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.080,0.080,0.130,1190768640.0,453726208.0,8214228992.0,6884794368.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,71.0,133.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.080,0.130,1190768640.0,453726208.0,8214228992.0,6884794368.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,94.0,178.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,75.0,138.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.080,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,143.0
0.125,0.0,99.376,0.499,0.0,0.0,0.0,40960.0,0.080,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,77.0,150.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,88.0,163.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,156.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.080,0.130,1190641664.0,453726208.0,8214228992.0,6884921344.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,145.0
17.272,1.377,80.976,0.0,0.0,0.375,0.0,0.0,0.070,0.080,0.130,1255120896.0,453726208.0,8217104384.0,6817566720.0,3997007.0,289556.0,3.0,0.0,15.0,0.0,17091784704.0,5076.0,6098.0
32.832,1.128,65.789,0.0,0.0,0.251,0.0,0.0,0.070,0.080,0.130,1250463744.0,453726208.0,8217698304.0,6821629952.0,4124444.0,882266.0,4.0,0.0,12.0,0.0,17091784704.0,5916.0,6549.0
42.678,1.126,55.569,0.501,0.0,0.125,0.0,61440.0,0.390,0.140,0.150,1225367552.0,453726208.0,8217161728.0,6847262720.0,1246653.0,1272438.0,2.0,0.0,8.0,0.0,17091784704.0,3642.0,2784.0
34.620,1.743,63.138,0.0,0.0,0.498,0.0,0.0,0.390,0.140,0.150,1276485632.0,453726208.0,8217325568.0,6795980800.0,4988707.0,1048806.0,5.0,0.0,15.0,0.0,17091784704.0,7170.0,7754.0
33.125,1.125,65.500,0.0,0.0,0.250,0.0,0.0,0.390,0.140,0.150,1335218176.0,453726208.0,8217739264.0,6736834560.0,2373329.0,485790.0,3.0,0.0,10.0,0.0,17091784704.0,4335.0,4263.0
33.040,0.628,66.206,0.0,0.0,0.126,0.0,0.0,0.390,0.140,0.150,1343356928.0,453726208.0,8218759168.0,6727675904.0,3909135.0,549334.0,5.0,0.0,11.0,0.0,17091784704.0,5731.0,6243.0
