"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs43.csv",,,,"Date:","09 Mar 2014 15:00:26 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.364,0.085,98.499,0.049,0.0,0.003,14980.516,74362.553,0.0,0.010,0.050,540516352.0,371785728.0,1445691392.0,14361509888.0,0.0,0.0,0.0,0.0,0.643,0.0,17069838336.0,91.795,85.520
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540516352.0,371785728.0,1445691392.0,14361509888.0,432.0,1476.0,0.0,0.0,0.0,0.0,17069838336.0,71.0,95.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540516352.0,371785728.0,1445691392.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,30.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540512256.0,371785728.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,26.0,34.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540512256.0,371785728.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,23.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540512256.0,371785728.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,39.0,54.0
0.125,0.0,99.001,0.874,0.0,0.0,0.0,24576.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,492.0,704.0,0.0,0.0,0.0,0.0,17069838336.0,34.0,56.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,23.0,30.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,23.0,30.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,40.0,50.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,27.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,540504064.0,371793920.0,1445695488.0,14361509888.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,34.0
0.625,0.125,98.625,0.625,0.0,0.0,0.0,12288.0,0.0,0.010,0.050,542126080.0,371802112.0,1445978112.0,14359597056.0,440795.0,11294.0,1.0,0.0,2.0,0.0,17069838336.0,229.0,316.0
24.406,1.252,74.093,0.0,0.0,0.250,0.0,0.0,0.0,0.010,0.050,589479936.0,371802112.0,1448103936.0,14310117376.0,4219143.0,545924.0,3.0,0.0,31.0,0.0,17069838336.0,2948.0,3303.0
30.038,1.001,68.836,0.0,0.0,0.125,0.0,0.0,0.080,0.030,0.050,562294784.0,371802112.0,1447337984.0,14338068480.0,2934487.0,1263178.0,1.0,0.0,8.0,0.0,17069838336.0,2418.0,2322.0
35.750,1.500,62.375,0.0,0.0,0.375,0.0,0.0,0.080,0.030,0.050,617295872.0,371802112.0,1448914944.0,14281490432.0,3425138.0,642010.0,2.0,0.0,14.0,0.0,17069838336.0,2658.0,2490.0
34.0,1.250,64.750,0.0,0.0,0.0,0.0,0.0,0.080,0.030,0.050,576921600.0,371802112.0,1448296448.0,14322483200.0,3701126.0,1160290.0,1.0,0.0,13.0,0.0,17069838336.0,2714.0,2795.0
31.915,1.252,65.707,0.751,0.0,0.375,0.0,49152.0,0.080,0.030,0.050,606040064.0,371810304.0,1448845312.0,14292807680.0,5110021.0,1403808.0,3.0,1.0,22.0,0.0,17069838336.0,3062.0,3574.0
40.250,1.125,58.0,0.250,0.0,0.375,0.0,0.0,0.080,0.030,0.050,671105024.0,371810304.0,1449742336.0,14226845696.0,4175138.0,710050.0,5.0,0.0,14.0,0.0,17069838336.0,2759.0,2866.0
31.078,1.128,67.669,0.0,0.0,0.125,0.0,0.0,0.160,0.050,0.060,589426688.0,371810304.0,1449914368.0,14308352000.0,4585196.0,1553642.0,5.0,0.0,19.0,0.0,17069838336.0,2975.0,3211.0
36.421,0.751,62.578,0.0,0.0,0.250,0.0,0.0,0.160,0.050,0.060,598261760.0,371810304.0,1449046016.0,14300385280.0,2312547.0,1180974.0,3.0,0.0,10.0,0.0,17069838336.0,2475.0,2106.0
35.786,1.621,62.219,0.0,0.0,0.374,0.0,0.0,0.160,0.050,0.060,646635520.0,371810304.0,1449275392.0,14251782144.0,4101339.0,1170196.0,5.0,0.0,16.0,0.0,17069838336.0,3050.0,2982.0
32.791,0.751,65.707,0.751,0.0,0.0,0.0,45056.0,0.160,0.050,0.060,635834368.0,371818496.0,1447870464.0,14263980032.0,1995700.0,660246.0,2.0,0.0,8.0,0.0,17069838336.0,2061.0,1763.0
28.839,1.124,69.788,0.0,0.0,0.250,0.0,0.0,0.160,0.050,0.060,633171968.0,371818496.0,1448669184.0,14265843712.0,3948878.0,1287762.0,4.0,0.0,11.0,0.0,17069838336.0,2890.0,2929.0
38.452,1.498,59.925,0.0,0.0,0.125,0.0,0.0,0.460,0.110,0.080,628793344.0,371818496.0,1448955904.0,14269935616.0,3301340.0,1022674.0,4.0,0.0,9.0,0.0,17069838336.0,2673.0,2473.0
39.850,1.128,59.023,0.0,0.0,0.0,0.0,0.0,0.460,0.110,0.080,637517824.0,371818496.0,1449189376.0,14260977664.0,2692177.0,855268.0,3.0,0.0,10.0,0.0,17069838336.0,2549.0,2242.0
39.424,0.876,59.449,0.0,0.0,0.250,0.0,0.0,0.460,0.110,0.080,602230784.0,371818496.0,1449144320.0,14296309760.0,3256279.0,1255618.0,3.0,0.0,9.0,0.0,17069838336.0,3400.0,2563.0
25.407,1.001,72.716,0.501,0.0,0.375,0.0,45056.0,0.460,0.110,0.080,567779328.0,371826688.0,1446490112.0,14333407232.0,2887616.0,1491994.0,4.0,0.0,23.0,0.0,17069838336.0,3157.0,2678.0
16.896,1.126,81.727,0.0,0.0,0.250,0.0,0.0,0.460,0.110,0.080,558010368.0,371826688.0,1446551552.0,14343114752.0,1789000.0,475916.0,3.0,0.0,25.0,0.0,17069838336.0,2246.0,2030.0
34.788,1.372,63.716,0.0,0.0,0.125,0.0,0.0,0.750,0.180,0.100,620314624.0,371826688.0,1446825984.0,14280536064.0,3397469.0,777060.0,3.0,0.0,14.0,0.0,17069838336.0,2322.0,2476.0
36.466,0.627,62.907,0.0,0.0,0.0,0.0,0.0,0.750,0.180,0.100,610852864.0,371826688.0,1445756928.0,14291066880.0,1272074.0,931870.0,3.0,0.0,18.0,0.0,17069838336.0,2170.0,1665.0
28.911,0.626,70.338,0.0,0.0,0.125,0.0,8192.0,0.750,0.180,0.100,636747776.0,371826688.0,1447313408.0,14263615488.0,1127792.0,324146.0,3.0,0.0,22.0,0.0,17069838336.0,2271.0,1767.0
31.835,0.499,67.041,0.250,0.0,0.375,0.0,53248.0,0.750,0.180,0.100,623951872.0,371834880.0,1447673856.0,14276042752.0,3107093.0,690566.0,2.0,1.0,16.0,0.0,17069838336.0,2541.0,2385.0
23.029,1.252,74.718,0.751,0.0,0.250,0.0,4096.0,0.750,0.180,0.100,562130944.0,371834880.0,1447092224.0,14338445312.0,3850516.0,2076306.0,1.0,0.0,16.0,0.0,17069838336.0,2881.0,2875.0
33.125,1.250,65.375,0.0,0.0,0.250,0.0,0.0,0.750,0.180,0.100,631394304.0,371834880.0,1448275968.0,14267998208.0,3611763.0,526482.0,5.0,0.0,24.0,0.0,17069838336.0,2819.0,2857.0
30.952,1.378,67.544,0.0,0.0,0.125,0.0,0.0,1.090,0.260,0.120,561319936.0,371834880.0,1446662144.0,14339686400.0,3079257.0,1203088.0,5.0,0.0,36.0,0.0,17069838336.0,3003.0,2831.0
33.208,1.124,65.293,0.0,0.0,0.375,0.0,0.0,1.090,0.260,0.120,584232960.0,371834880.0,1446678528.0,14316756992.0,3190780.0,701574.0,2.0,0.0,23.0,0.0,17069838336.0,2642.0,2649.0
23.346,0.874,75.406,0.0,0.0,0.375,0.0,0.0,1.090,0.260,0.120,599666688.0,371834880.0,1447378944.0,14300622848.0,3734560.0,715162.0,3.0,0.0,12.0,0.0,17069838336.0,2571.0,2669.0
28.215,1.248,69.538,0.999,0.0,0.0,0.0,49152.0,1.090,0.260,0.120,588152832.0,371843072.0,1447657472.0,14311849984.0,3839346.0,1004754.0,3.0,0.0,12.0,0.0,17069838336.0,2864.0,2734.0
26.190,1.253,72.306,0.0,0.0,0.251,0.0,0.0,1.090,0.260,0.120,564723712.0,371843072.0,1447497728.0,14335438848.0,4088935.0,990244.0,4.0,0.0,23.0,0.0,17069838336.0,2802.0,2998.0
27.660,0.876,71.214,0.0,0.0,0.250,0.0,0.0,1.240,0.300,0.140,588771328.0,371843072.0,1447870464.0,14311018496.0,3312327.0,683854.0,4.0,0.0,15.0,0.0,17069838336.0,2669.0,2659.0
22.625,1.0,76.125,0.0,0.0,0.250,0.0,20480.0,1.240,0.300,0.140,542330880.0,371843072.0,1446338560.0,14358990848.0,2309217.0,952988.0,2.0,0.0,32.0,0.0,17069838336.0,2571.0,2462.0
4.255,0.250,95.494,0.0,0.0,0.0,0.0,0.0,1.240,0.300,0.140,541954048.0,371843072.0,1446240256.0,14359465984.0,71445.0,204722.0,1.0,0.0,7.0,0.0,17069838336.0,715.0,521.0
0.125,0.0,98.627,1.248,0.0,0.0,0.0,49152.0,1.240,0.300,0.140,542466048.0,371851264.0,1445535744.0,14359650304.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,32.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.240,0.300,0.140,542466048.0,371851264.0,1445535744.0,14359650304.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,21.0,31.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1.140,0.300,0.140,541884416.0,371851264.0,1445736448.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,38.0,52.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,45056.0,1.140,0.300,0.140,541876224.0,371851264.0,1445744640.0,14360031232.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,29.0,44.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.140,0.300,0.140,541872128.0,371851264.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1.140,0.300,0.140,541872128.0,371851264.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,22.0,30.0
0.0,0.0,98.874,1.126,0.0,0.0,0.0,32768.0,1.140,0.300,0.140,541872128.0,371859456.0,1445740544.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,46.0,70.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1.050,0.290,0.140,541863936.0,371859456.0,1445748736.0,14360031232.0,426.0,590.0,0.0,0.0,0.0,0.0,17069838336.0,30.0,38.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,1.050,0.290,0.140,541863936.0,371859456.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1.050,0.290,0.140,541863936.0,371859456.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.050,0.290,0.140,541863936.0,371859456.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,38.0,52.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1.050,0.290,0.140,541863936.0,371859456.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
0.0,0.0,99.375,0.625,0.0,0.0,0.0,12288.0,0.970,0.290,0.140,541863936.0,371867648.0,1445740544.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,33.0,52.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.970,0.290,0.140,541855744.0,371867648.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,30.0,46.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.970,0.290,0.140,541855744.0,371867648.0,1445748736.0,14360031232.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,39.0,54.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.970,0.290,0.140,541855744.0,371867648.0,1445748736.0,14360031232.0,432.0,1476.0,0.0,0.0,0.0,0.0,17069838336.0,26.0,42.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.970,0.290,0.140,541855744.0,371867648.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.890,0.280,0.140,541855744.0,371867648.0,1445748736.0,14360031232.0,366.0,530.0,0.0,1.0,0.0,0.0,17069838336.0,28.0,41.0
0.125,0.0,98.627,1.248,0.0,0.0,0.0,24576.0,0.890,0.280,0.140,541847552.0,371875840.0,1445748736.0,14360031232.0,426.0,590.0,0.0,0.0,0.0,0.0,17069838336.0,44.0,62.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.890,0.280,0.140,541847552.0,371875840.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.890,0.280,0.140,541847552.0,371875840.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,23.0,28.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.890,0.280,0.140,541847552.0,371875840.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,28.0,37.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.820,0.280,0.140,541847552.0,371875840.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,42.0,55.0
0.0,0.0,98.373,1.627,0.0,0.0,0.0,16384.0,0.820,0.280,0.140,541839360.0,371884032.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,33.0,54.0
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.820,0.280,0.140,541839360.0,371884032.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.820,0.280,0.140,541839360.0,371884032.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.820,0.280,0.140,541839360.0,371884032.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,36.0,48.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.750,0.270,0.130,541839360.0,371884032.0,1445748736.0,14360031232.0,480.0,596.0,0.0,0.0,0.0,0.0,17069838336.0,32.0,43.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.750,0.270,0.130,541839360.0,371884032.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,27.0,36.0
0.125,0.0,98.752,1.124,0.0,0.0,0.0,16384.0,0.750,0.270,0.130,541839360.0,371892224.0,1445740544.0,14360031232.0,492.0,704.0,0.0,0.0,0.0,0.0,17069838336.0,31.0,43.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.750,0.270,0.130,541835264.0,371892224.0,1445744640.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,40.0,52.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.750,0.270,0.130,541831168.0,371892224.0,1445748736.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,23.0,29.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.690,0.270,0.130,541827072.0,371892224.0,1445752832.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,29.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,53248.0,0.690,0.270,0.130,541827072.0,371892224.0,1445752832.0,14360031232.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,33.0,44.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.690,0.270,0.130,541827072.0,371892224.0,1445752832.0,14360031232.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,38.0,49.0
