"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm4j.csv",,,,"Date:","09 Mar 2014 15:32:16 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
9.018,0.854,90.056,0.030,0.000,0.042,20014.980,1055180.105,1.870,0.840,1.540,1572274176.0,472788992.0,1395699712.0,13302755328.0,0.0,0.0,0.000,0.0,5.963,0.0,17091784704.0,703.470,743.797
2.622,0.624,96.754,0.0,0.0,0.0,0.0,0.0,1.720,0.830,1.540,1572737024.0,472788992.0,1395707904.0,13302284288.0,2232.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,662.0,1109.0
2.993,1.496,95.511,0.0,0.0,0.0,0.0,110592.0,1.720,0.830,1.540,1575862272.0,472788992.0,1395740672.0,13299126272.0,2232.0,330.0,1.0,0.0,69.0,0.0,17091784704.0,932.0,1578.0
17.897,1.252,80.851,0.0,0.0,0.0,0.0,4096.0,1.720,0.830,1.540,1578774528.0,472788992.0,1395740672.0,13296214016.0,2232.0,330.0,1.0,0.0,36.0,0.0,17091784704.0,2214.0,1901.0
10.150,1.253,88.596,0.0,0.0,0.0,0.0,163840.0,1.720,0.830,1.540,1580154880.0,472788992.0,1397735424.0,13292838912.0,2298.0,444.0,1.0,0.0,60.0,0.0,17091784704.0,1340.0,1672.0
1.748,0.375,97.878,0.0,0.0,0.0,0.0,0.0,1.720,0.830,1.540,1579864064.0,472788992.0,1397878784.0,13292986368.0,2232.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,446.0,804.0
5.131,1.502,93.242,0.125,0.0,0.0,0.0,884736.0,1.670,0.830,1.530,1599565824.0,472788992.0,1407291392.0,13263872000.0,2232.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,771.0,946.0
37.767,11.794,50.063,0.0,0.0,0.376,0.0,2424832.0,1.670,0.830,1.530,1633955840.0,472788992.0,1420120064.0,13216653312.0,59584.0,2333698.0,13.0,0.0,197.0,0.0,17091784704.0,5723.0,4781.0
84.355,14.018,0.250,0.0,0.0,1.377,0.0,286720.0,1.670,0.830,1.530,1718419456.0,472788992.0,1429770240.0,13122539520.0,1062812.0,10781523.0,15.0,0.0,211.0,0.0,17091784704.0,13543.0,5246.0
82.125,16.500,0.0,0.0,0.0,1.375,0.0,339968.0,1.670,0.830,1.530,1810288640.0,472788992.0,1443823616.0,13016616960.0,3318980.0,11273623.0,20.0,0.0,147.0,0.0,17091784704.0,14802.0,7811.0
80.726,18.023,0.0,0.0,0.0,1.252,0.0,307200.0,1.670,0.830,1.530,1756958720.0,472788992.0,1457512448.0,13056258048.0,2419276.0,10859509.0,17.0,0.0,156.0,0.0,17091784704.0,14036.0,6465.0
83.375,15.500,0.125,0.0,0.0,1.0,0.0,3870720.0,2.810,1.080,1.610,1765609472.0,472788992.0,1470021632.0,13035098112.0,2587662.0,10027242.0,15.0,0.0,141.0,0.0,17091784704.0,13264.0,6649.0
80.350,18.023,0.0,0.0,0.0,1.627,0.0,385024.0,2.810,1.080,1.610,1805991936.0,472788992.0,1482956800.0,12981780480.0,3365296.0,10456660.0,17.0,0.0,156.0,0.0,17091784704.0,14118.0,7826.0
