"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs41j.csv",,,,"Date:","09 Mar 2014 15:32:11 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.526,0.054,99.286,0.129,0.000,0.005,2524.513,196236.168,0.120,0.090,0.200,1191239680.0,453939200.0,8214953984.0,6883385344.0,0.0,0.0,0.0,0.0,0.315,0.0,17091784704.0,206.120,273.766
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.120,0.090,0.200,1191120896.0,453939200.0,8214953984.0,6883504128.0,492.0,1518.0,0.0,0.0,0.0,0.0,17091784704.0,112.0,192.0
0.0,0.125,99.500,0.375,0.0,0.0,0.0,49152.0,0.110,0.090,0.200,1191120896.0,453939200.0,8214953984.0,6883504128.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,162.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.090,0.200,1191120896.0,453939200.0,8214953984.0,6883504128.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,85.0,159.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.090,0.200,1191120896.0,453939200.0,8214953984.0,6883504128.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,146.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,85.0,159.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,72.0,132.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.100,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,147.0
0.0,0.0,99.499,0.501,0.0,0.0,0.0,24576.0,0.100,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,90.0,174.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,149.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.090,0.200,1191243776.0,453939200.0,8214958080.0,6883377152.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,81.0,152.0
