"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs43j.csv",,,,"Date:","09 Mar 2014 15:32:17 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.441,0.086,98.419,0.050,0.0,0.004,14536.489,72447.486,0.0,0.010,0.120,541429760.0,373030912.0,1447043072.0,14357999616.0,0.0,0.0,0.0,0.0,0.660,0.0,17069838336.0,98.751,91.840
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541429760.0,373030912.0,1447043072.0,14357999616.0,432.0,1476.0,1.0,0.0,0.0,0.0,17069838336.0,70.0,77.0
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541429760.0,373030912.0,1447043072.0,14357999616.0,432.0,644.0,1.0,0.0,0.0,0.0,17069838336.0,36.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541298688.0,373030912.0,1447047168.0,14358126592.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,26.0,32.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541433856.0,373030912.0,1447047168.0,14357991424.0,432.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,27.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541433856.0,373030912.0,1447047168.0,14357991424.0,492.0,704.0,1.0,0.0,0.0,0.0,17069838336.0,27.0,38.0
0.0,0.0,99.124,0.876,0.0,0.0,0.0,28672.0,0.0,0.010,0.120,541450240.0,373039104.0,1447047168.0,14357966848.0,546.0,710.0,1.0,0.0,0.0,0.0,17069838336.0,51.0,80.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541450240.0,373039104.0,1447047168.0,14357966848.0,366.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,30.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.120,541450240.0,373039104.0,1447047168.0,14357966848.0,366.0,644.0,0.0,0.0,0.0,0.0,17069838336.0,24.0,32.0
8.897,0.877,89.975,0.0,0.0,0.251,0.0,0.0,0.0,0.010,0.120,592850944.0,373039104.0,1449500672.0,14304112640.0,2914267.0,109280.0,3.0,0.0,15.0,0.0,17069838336.0,1840.0,2112.0
37.046,1.126,61.577,0.0,0.0,0.250,0.0,0.0,0.160,0.050,0.130,566562816.0,373039104.0,1447899136.0,14332002304.0,3094284.0,1019412.0,2.0,0.0,13.0,0.0,17069838336.0,2673.0,2554.0
31.875,1.125,66.625,0.0,0.0,0.375,0.0,0.0,0.160,0.050,0.130,557002752.0,373039104.0,1448628224.0,14340833280.0,4237681.0,1139374.0,1.0,0.0,13.0,0.0,17069838336.0,2949.0,3067.0
