"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs21.csv",,,,"Date:","09 Mar 2014 13:04:03 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.370,0.049,99.444,0.132,0.000,0.004,2669.603,206016.989,0.320,0.300,0.170,1185730560.0,452481024.0,8146960384.0,6958346240.0,0.0,0.0,0.0,0.0,0.265,0.0,17091784704.0,181.785,253.939
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.320,0.300,0.170,1185853440.0,452481024.0,8146964480.0,6958219264.0,432.0,1476.0,1.0,0.0,0.0,0.0,17091784704.0,120.0,223.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.320,0.300,0.170,1185853440.0,452481024.0,8146964480.0,6958219264.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,152.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.290,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,143.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.290,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,69.0,132.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.290,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,87.0,165.0
0.0,0.125,99.125,0.750,0.0,0.0,0.0,180224.0,0.290,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,96.0,176.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.290,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,86.0,161.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.270,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,69.0,132.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.270,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,155.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.270,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,73.0,138.0
0.125,0.0,99.376,0.499,0.0,0.0,0.0,28672.0,0.270,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,94.0,181.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.270,0.290,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,73.0,150.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.250,0.280,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,492.0,686.0,1.0,0.0,0.0,0.0,17091784704.0,91.0,165.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.250,0.280,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,69.0,129.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.250,0.280,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,147.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.250,0.280,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,78.0,152.0
0.0,0.0,99.501,0.499,0.0,0.0,0.0,28672.0,0.250,0.280,0.170,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,93.0,173.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.230,0.280,0.160,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,75.0,139.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.230,0.280,0.160,1185861632.0,452481024.0,8146964480.0,6958211072.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,78.0,149.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.230,0.280,0.160,1185988608.0,452481024.0,8146964480.0,6958084096.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,73.0,141.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.230,0.280,0.160,1186115584.0,452481024.0,8146964480.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,87.0,163.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.230,0.280,0.160,1186115584.0,452481024.0,8146964480.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,87.0,171.0
0.125,0.0,99.376,0.499,0.0,0.0,0.0,28672.0,0.210,0.270,0.160,1186111488.0,452485120.0,8146964480.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,161.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.210,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,492.0,686.0,1.0,0.0,0.0,0.0,17091784704.0,71.0,134.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.210,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,84.0,161.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.210,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,143.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.210,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,87.0,165.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.190,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,68.0,132.0
0.0,0.125,99.375,0.500,0.0,0.0,0.0,12288.0,0.190,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,86.0,164.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.190,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,75.0,141.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,184320.0,0.190,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,106.0,156.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.190,0.270,0.160,1186107392.0,452485120.0,8146968576.0,6957957120.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,85.0,167.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.260,0.280,0.170,1186041856.0,452485120.0,8146968576.0,6958022656.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,83.0,158.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.260,0.280,0.170,1186041856.0,452485120.0,8146968576.0,6958022656.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,74.0,139.0
0.0,0.0,99.625,0.375,0.0,0.0,0.0,40960.0,0.260,0.280,0.170,1186041856.0,452485120.0,8146968576.0,6958022656.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,89.0,161.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.260,0.280,0.170,1186050048.0,452485120.0,8146968576.0,6958014464.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,73.0,142.0
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,0.260,0.280,0.170,1186050048.0,452485120.0,8146968576.0,6958014464.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,98.0,187.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.240,0.280,0.170,1186050048.0,452485120.0,8146968576.0,6958014464.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,151.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.240,0.280,0.170,1186050048.0,452485120.0,8146968576.0,6958014464.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,72.0,138.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.240,0.280,0.170,1186050048.0,452485120.0,8146968576.0,6958014464.0,432.0,644.0,1.0,0.0,0.0,0.0,17091784704.0,73.0,139.0
