"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs32.csv",,,,"Date:","09 Mar 2014 13:04:02 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.263,0.019,99.702,0.014,0.0,0.001,8122.784,5871.490,0.170,0.160,0.100,282128384.0,96522240.0,481562624.0,7271514112.0,0.0,0.0,0.0,0.0,0.120,0.0,8343515136.0,44.556,48.455
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.160,0.100,282116096.0,96522240.0,481574912.0,7271514112.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,75.0,92.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.160,0.100,282116096.0,96522240.0,481574912.0,7271514112.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.160,0.160,0.100,282218496.0,96522240.0,481566720.0,7271419904.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,41.0,62.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.160,0.160,0.100,282091520.0,96522240.0,481566720.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.160,0.160,0.100,282091520.0,96522240.0,481566720.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,40.0
0.0,0.125,99.375,0.500,0.0,0.0,0.0,32768.0,0.160,0.160,0.100,282087424.0,96530432.0,481562624.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,35.0,54.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.160,0.160,0.100,282087424.0,96530432.0,481562624.0,7271546880.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,44.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.150,0.160,0.100,282087424.0,96530432.0,481562624.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,21.0,26.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.150,0.160,0.100,282083328.0,96530432.0,481566720.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,42.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.150,0.160,0.100,282083328.0,96530432.0,481566720.0,7271546880.0,432.0,644.0,1.0,0.0,0.0,0.0,8343515136.0,31.0,45.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.150,0.160,0.100,282083328.0,96530432.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,51.0
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,0.150,0.160,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,42.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.140,0.150,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.140,0.150,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,38.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.140,0.150,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,37.0,54.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.140,0.150,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,23.0,30.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.140,0.150,0.100,282075136.0,96538624.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,30.0,46.0
0.0,0.0,99.499,0.501,0.0,0.0,0.0,12288.0,0.120,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,426.0,590.0,0.0,0.0,0.0,0.0,8343515136.0,38.0,52.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,42.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,42.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,36.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282066944.0,96546816.0,481566720.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,38.0,60.0
0.0,0.0,99.499,0.501,0.0,0.0,0.0,12288.0,0.110,0.150,0.100,282058752.0,96555008.0,481566720.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,31.0,48.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282054656.0,96555008.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282054656.0,96555008.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,44.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282054656.0,96555008.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,35.0,46.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282054656.0,96555008.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,23.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282054656.0,96555008.0,481570816.0,7271546880.0,426.0,590.0,0.0,0.0,0.0,0.0,8343515136.0,30.0,42.0
0.0,0.125,99.625,0.250,0.0,0.0,0.0,12288.0,0.110,0.150,0.100,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,56.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,46.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.110,0.150,0.100,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,42.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.100,0.140,0.090,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,27.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.100,0.140,0.090,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,40.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,8192.0,0.100,0.140,0.090,282046464.0,96563200.0,481570816.0,7271546880.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,40.0,58.0
0.0,0.0,99.500,0.500,0.0,0.0,0.0,24576.0,0.100,0.140,0.090,282038272.0,96571392.0,481570816.0,7271546880.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,48.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.100,0.140,0.090,282112000.0,96571392.0,481570816.0,7271473152.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,44.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.090,0.140,0.090,282112000.0,96571392.0,481570816.0,7271473152.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,30.0,44.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.090,0.140,0.090,282112000.0,96571392.0,481570816.0,7271473152.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,50.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,0.090,0.140,0.090,282112000.0,96571392.0,481570816.0,7271473152.0,426.0,590.0,0.0,0.0,0.0,0.0,8343515136.0,34.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.090,0.140,0.090,282112000.0,96571392.0,481570816.0,7271473152.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,43.0
