"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output hfm3_syn2.csv",,,,"Date:","10 Mar 2014 13:49:34 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.601,0.092,98.258,0.047,0.0,0.003,7352.509,119307.221,0.030,0.040,0.050,675627008.0,394264576.0,953970688.0,14695641088.0,0.0,0.0,0.0,0.0,0.809,0.0,17069838336.0,90.313,83.746
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.030,0.040,0.050,675627008.0,394264576.0,953970688.0,14695641088.0,366.0,1362.0,1.0,0.0,0.0,0.0,17069838336.0,65.0,92.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.030,0.040,0.050,675635200.0,394264576.0,953970688.0,14695632896.0,366.0,530.0,1.0,0.0,0.0,0.0,17069838336.0,23.0,27.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.030,0.040,0.050,675758080.0,394264576.0,953974784.0,14695505920.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,36.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.030,0.040,0.050,675758080.0,394264576.0,953974784.0,14695505920.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,32.0,42.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.030,0.040,0.050,675758080.0,394264576.0,953974784.0,14695505920.0,426.0,590.0,0.0,0.0,0.0,0.0,17069838336.0,30.0,36.0
0.0,0.0,87.594,12.406,0.0,0.0,0.0,32768.0,0.030,0.040,0.050,675753984.0,394272768.0,953970688.0,14695505920.0,366.0,530.0,0.0,1.0,0.0,0.0,17069838336.0,30.0,47.0
0.125,0.0,93.009,6.866,0.0,0.0,0.0,4096.0,0.110,0.050,0.050,675749888.0,394272768.0,953974784.0,14695505920.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,27.0,41.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.050,0.050,675749888.0,394272768.0,953974784.0,14695505920.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,32.0,52.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.110,0.050,0.050,675758080.0,394272768.0,953974784.0,14695497728.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,33.0,53.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.110,0.050,0.050,675758080.0,394272768.0,953974784.0,14695497728.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,34.0
12.375,1.125,86.500,0.0,0.0,0.0,0.0,114688.0,0.110,0.050,0.050,705110016.0,394272768.0,953974784.0,14666145792.0,546.0,644.0,1.0,0.0,100.0,0.0,17069838336.0,2021.0,1693.0
12.030,0.627,84.085,3.258,0.0,0.0,0.0,167936.0,0.260,0.080,0.060,680607744.0,394280960.0,955174912.0,14689439744.0,366.0,530.0,1.0,0.0,32.0,0.0,17069838336.0,882.0,810.0
1.252,0.626,98.123,0.0,0.0,0.0,0.0,114688.0,0.260,0.080,0.060,682209280.0,394280960.0,955736064.0,14687277056.0,366.0,530.0,1.0,0.0,33.0,0.0,17069838336.0,510.0,575.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.260,0.080,0.060,681852928.0,394280960.0,955940864.0,14687428608.0,366.0,530.0,1.0,0.0,0.0,0.0,17069838336.0,42.0,64.0
16.416,3.509,79.950,0.0,0.0,0.125,0.0,2347008.0,0.260,0.080,0.060,711938048.0,394280960.0,965955584.0,14647328768.0,366.0,530.0,10.0,0.0,123.0,0.0,17069838336.0,2440.0,2162.0
84.336,14.662,0.627,0.0,0.0,0.376,0.0,172032.0,0.260,0.080,0.060,802205696.0,394280960.0,981217280.0,14541799424.0,624422.0,7599337.0,15.0,0.0,228.0,0.0,17069838336.0,3987.0,2723.0
83.521,15.855,0.250,0.0,0.0,0.375,0.0,2625536.0,1.280,0.300,0.130,895045632.0,394293248.0,997502976.0,14432661504.0,1675216.0,7781686.0,17.0,0.0,155.0,0.0,17069838336.0,4159.0,3345.0
81.602,17.772,0.0,0.0,0.0,0.626,0.0,303104.0,1.280,0.300,0.130,893366272.0,394293248.0,1015390208.0,14416453632.0,2149152.0,7513213.0,13.0,0.0,161.0,0.0,17069838336.0,4600.0,3675.0
89.737,8.511,1.502,0.0,0.0,0.250,0.0,294912.0,1.280,0.300,0.130,802787328.0,394293248.0,1021378560.0,14501044224.0,1095190.0,5753850.0,10.0,0.0,100.0,0.0,17069838336.0,4070.0,2723.0
89.862,8.511,1.377,0.0,0.0,0.250,0.0,225280.0,1.280,0.300,0.130,877309952.0,394293248.0,1027342336.0,14420557824.0,1132842.0,4276143.0,11.0,0.0,76.0,0.0,17069838336.0,3594.0,2517.0
89.500,9.500,0.625,0.0,0.0,0.375,0.0,307200.0,1.280,0.300,0.130,914169856.0,394293248.0,1033211904.0,14377828352.0,2085144.0,6037634.0,9.0,0.0,104.0,0.0,17069838336.0,4273.0,3192.0
89.098,9.774,0.752,0.0,0.0,0.376,0.0,2101248.0,1.980,0.460,0.180,851636224.0,394305536.0,1040343040.0,14433218560.0,2118268.0,5512118.0,9.0,0.0,91.0,0.0,17069838336.0,4086.0,3101.0
90.250,9.375,0.0,0.0,0.0,0.375,0.0,307200.0,1.980,0.460,0.180,865214464.0,394305536.0,1044590592.0,14415392768.0,1244138.0,5463546.0,13.0,0.0,108.0,0.0,17069838336.0,3829.0,2755.0
88.889,10.487,0.375,0.0,0.0,0.250,0.0,323584.0,1.980,0.460,0.180,898248704.0,394305536.0,1053552640.0,14373396480.0,1428248.0,5888603.0,12.0,0.0,120.0,0.0,17069838336.0,4332.0,3018.0
92.365,6.633,0.501,0.0,0.0,0.501,0.0,233472.0,1.980,0.460,0.180,982327296.0,394305536.0,1059143680.0,14283726848.0,2362848.0,5319205.0,10.0,0.0,69.0,0.0,17069838336.0,4019.0,3075.0
92.240,5.131,2.503,0.0,0.0,0.125,0.0,221184.0,1.980,0.460,0.180,915746816.0,394305536.0,1065840640.0,14343610368.0,1325318.0,3970913.0,11.0,0.0,52.0,0.0,17069838336.0,3493.0,2526.0
