"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfm3_syn2.csv",,,,"Date:","10 Mar 2014 13:49:32 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
9.642,0.971,89.317,0.029,0.000,0.041,10723.162,1117130.497,0.320,0.280,0.250,1955627008.0,525336576.0,2855002112.0,11407552512.0,0.0,0.0,0.0,0.000,6.400,0.0,17091784704.0,739.645,837.219
1.122,0.499,98.254,0.125,0.0,0.0,0.0,4096.0,0.320,0.280,0.250,1955758080.0,525336576.0,2855002112.0,11407421440.0,2064.0,306.0,0.0,0.0,0.0,0.0,17091784704.0,389.0,590.0
0.375,0.250,99.374,0.0,0.0,0.0,0.0,0.0,0.320,0.280,0.250,1956007936.0,525336576.0,2855006208.0,11407167488.0,2064.0,306.0,0.0,0.0,0.0,0.0,17091784704.0,118.0,216.0
0.626,0.125,99.249,0.0,0.0,0.0,0.0,0.0,0.320,0.280,0.250,1956057088.0,525336576.0,2855006208.0,11407118336.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,135.0,260.0
2.506,2.256,95.238,0.0,0.0,0.0,0.0,0.0,0.320,0.280,0.250,1956122624.0,525336576.0,2855006208.0,11407052800.0,2004.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,1028.0,1734.0
0.998,0.249,98.753,0.0,0.0,0.0,0.0,0.0,0.370,0.290,0.250,1956057088.0,525336576.0,2855006208.0,11407118336.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,204.0,379.0
1.493,0.498,97.886,0.124,0.0,0.0,0.0,69632.0,0.370,0.290,0.250,1956073472.0,525336576.0,2855006208.0,11407101952.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,327.0,507.0
0.624,0.125,99.251,0.0,0.0,0.0,0.0,0.0,0.370,0.290,0.250,1956040704.0,525336576.0,2855006208.0,11407134720.0,2064.0,306.0,0.0,0.0,0.0,0.0,17091784704.0,99.0,166.0
0.749,0.125,99.126,0.0,0.0,0.0,0.0,0.0,0.370,0.290,0.250,1956216832.0,525336576.0,2855006208.0,11406958592.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,127.0,205.0
