"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output shfs31_syn2.csv",,,,"Date:","10 Mar 2014 13:49:25 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.694,0.055,99.138,0.107,0.000,0.006,1690.525,133780.617,0.080,0.100,0.060,1205387264.0,460083200.0,8233652224.0,6844395520.0,0.0,0.0,0.0,0.0,0.327,0.0,17091784704.0,221.548,280.668
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.080,0.100,0.060,1205387264.0,460083200.0,8233652224.0,6844395520.0,366.0,1362.0,0.0,0.0,0.0,0.0,17091784704.0,138.0,216.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.100,0.060,1205383168.0,460083200.0,8233656320.0,6844395520.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,149.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.100,0.060,1205256192.0,460083200.0,8233656320.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,142.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,75.0,143.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.080,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,426.0,572.0,0.0,0.0,0.0,0.0,17091784704.0,73.0,136.0
0.0,0.125,99.001,0.874,0.0,0.0,0.0,184320.0,0.080,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,426.0,572.0,0.0,0.0,1.0,0.0,17091784704.0,98.0,212.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,145.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,74.0,136.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,70.0,134.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,163.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,176128.0,0.070,0.100,0.060,1205252096.0,460083200.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,119.0,172.0
0.0,0.125,99.377,0.499,0.0,0.0,0.0,24576.0,0.070,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,158.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,70.0,134.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,83.0,156.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.070,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,165.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.070,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,89.0,169.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,426.0,572.0,0.0,0.0,0.0,0.0,17091784704.0,68.0,128.0
0.0,0.0,99.500,0.500,0.0,0.0,0.0,12288.0,0.060,0.090,0.060,1205248000.0,460087296.0,8233660416.0,6844522496.0,480.0,596.0,0.0,0.0,0.0,0.0,17091784704.0,89.0,166.0
14.768,0.751,84.230,0.0,0.0,0.250,0.0,0.0,0.060,0.090,0.060,1294454784.0,460087296.0,8236814336.0,6752161792.0,3419647.0,81784.0,4.0,0.0,8.0,0.0,17091784704.0,3944.0,4970.0
33.542,1.377,64.831,0.0,0.0,0.250,0.0,0.0,0.060,0.090,0.060,1323892736.0,460087296.0,8237334528.0,6722203648.0,3672530.0,707070.0,4.0,0.0,18.0,0.0,17091784704.0,5711.0,6065.0
44.556,2.628,51.940,0.0,0.0,0.876,0.0,0.0,0.060,0.090,0.060,1293205504.0,460087296.0,8239144960.0,6751080448.0,7926768.0,1889072.0,7.0,0.0,28.0,0.0,17091784704.0,11101.0,11885.0
64.330,2.378,32.416,0.0,0.0,0.876,0.0,0.0,0.620,0.210,0.100,1270886400.0,460087296.0,8238481408.0,6774063104.0,6507437.0,1722300.0,4.0,0.0,23.0,0.0,17091784704.0,11887.0,9996.0
