"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output shfs32_syb2.csv",,,,"Date:","10 Mar 2014 13:49:31 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.646,0.032,99.306,0.012,0.0,0.004,3362.130,4256.556,0.0,0.020,0.050,300195840.0,114176000.0,561119232.0,7156236288.0,0.0,0.0,0.0,0.0,0.249,0.0,8343515136.0,74.109,75.838
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300195840.0,114176000.0,561119232.0,7156236288.0,432.0,1476.0,0.0,0.0,0.0,0.0,8343515136.0,70.0,90.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300318720.0,114176000.0,561123328.0,7156109312.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,35.0,48.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300318720.0,114176000.0,561123328.0,7156109312.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,29.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300367872.0,114176000.0,561123328.0,7156060160.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,50.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300367872.0,114176000.0,561123328.0,7156060160.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,44.0
0.0,0.0,99.625,0.375,0.0,0.0,0.0,32768.0,0.0,0.020,0.050,300363776.0,114184192.0,561119232.0,7156060160.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,42.0,64.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300363776.0,114184192.0,561119232.0,7156060160.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300363776.0,114184192.0,561119232.0,7156060160.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,28.0,38.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300285952.0,114184192.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300285952.0,114184192.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,39.0,54.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300285952.0,114184192.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,32.0
0.125,0.0,99.375,0.500,0.0,0.0,0.0,12288.0,0.0,0.020,0.050,300281856.0,114192384.0,561119232.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,56.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300277760.0,114192384.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300277760.0,114192384.0,561123328.0,7156133888.0,492.0,704.0,0.0,0.0,0.0,0.0,8343515136.0,42.0,62.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300277760.0,114192384.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.050,300277760.0,114192384.0,561123328.0,7156133888.0,432.0,644.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,34.0
