"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sfs21.csv",,,,"Date:","09 Mar 2014 21:52:17 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.640,0.056,99.177,0.122,0.000,0.006,2213.529,173054.960,0.010,0.040,0.050,1196957696.0,456507392.0,8224288768.0,6865764352.0,0.0,0.0,0.0,0.0,0.330,0.0,17091784704.0,220.654,283.615
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.010,0.040,0.050,1196957696.0,456507392.0,8224288768.0,6865764352.0,432.0,1476.0,0.0,0.0,0.0,0.0,17091784704.0,129.0,186.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,0.010,0.040,0.050,1197092864.0,456507392.0,8224288768.0,6865629184.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,152.0
0.0,0.0,99.500,0.500,0.0,0.0,0.0,53248.0,0.010,0.040,0.050,1196961792.0,456507392.0,8224292864.0,6865756160.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,92.0,169.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,144.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,156.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,141.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,492.0,686.0,0.0,0.0,0.0,0.0,17091784704.0,86.0,152.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,155.0
0.0,0.125,99.376,0.499,0.0,0.0,0.0,28672.0,0.0,0.030,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,77.0,148.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,161.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,78.0,144.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,81.0,149.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.030,0.050,1196707840.0,456507392.0,8224292864.0,6866010112.0,432.0,644.0,0.0,0.0,0.0,0.0,17091784704.0,69.0,132.0
5.882,0.250,93.742,0.0,0.0,0.125,0.0,0.0,0.080,0.050,0.050,1239355392.0,456507392.0,8225087488.0,6822567936.0,1100108.0,25732.0,1.0,0.0,2.0,0.0,17091784704.0,1331.0,1708.0
