"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sim4.csv",,,,"Date:","09 Mar 2014 22:51:21 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
9.786,0.926,89.212,0.028,0.000,0.049,15108.351,1116682.550,0.750,2.800,3.820,1778532352.0,479744000.0,5135470592.0,9349771264.0,0.0,0.0,0.0,0.0,6.254,0.0,17091784704.0,792.244,827.996
0.873,0.623,98.504,0.0,0.0,0.0,0.0,0.0,0.750,2.800,3.820,1779302400.0,479744000.0,5135470592.0,9349001216.0,2064.0,306.0,1.0,0.0,0.0,0.0,17091784704.0,434.0,752.0
1.380,0.502,98.118,0.0,0.0,0.0,0.0,77824.0,0.750,2.800,3.820,1780314112.0,479744000.0,5135478784.0,9347981312.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,605.0,1071.0
0.753,0.502,98.745,0.0,0.0,0.0,0.0,0.0,0.690,2.750,3.800,1780432896.0,479744000.0,5135478784.0,9347862528.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,379.0,733.0
13.534,1.629,84.837,0.0,0.0,0.0,0.0,118784.0,0.690,2.750,3.800,1808809984.0,479744000.0,5135482880.0,9319481344.0,2070.0,378.0,1.0,0.0,100.0,0.0,17091784704.0,2458.0,2538.0
13.500,1.500,85.0,0.0,0.0,0.0,0.0,0.0,0.690,2.750,3.800,1779638272.0,479744000.0,4971028480.0,9513107456.0,2004.0,264.0,1.0,0.0,5.0,0.0,17091784704.0,1030.0,1292.0
5.890,1.629,92.356,0.0,0.0,0.125,0.0,184320.0,0.690,2.750,3.800,1781723136.0,479744000.0,4960440320.0,9521610752.0,2004.0,264.0,0.0,0.0,60.0,0.0,17091784704.0,1232.0,1631.0
0.755,0.252,98.742,0.252,0.0,0.0,0.0,3457024.0,0.690,2.750,3.800,1781178368.0,479756288.0,4960907264.0,9521676288.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,425.0,748.0
8.772,2.381,88.847,0.0,0.0,0.0,0.0,2326528.0,0.630,2.710,3.770,1787039744.0,479756288.0,4971032576.0,9505689600.0,2004.0,264.0,3.0,0.0,54.0,0.0,17091784704.0,2148.0,2813.0
43.695,12.360,43.196,0.0,0.0,0.749,0.0,278528.0,0.630,2.710,3.770,1857429504.0,479756288.0,4969783296.0,9436549120.0,80996.0,3322562.0,15.0,0.0,147.0,0.0,17091784704.0,5603.0,3184.0
82.854,16.270,0.0,0.0,0.0,0.876,0.0,450560.0,0.630,2.710,3.770,2042302464.0,479756288.0,4987719680.0,9233739776.0,1074354.0,11244770.0,17.0,0.0,125.0,0.0,17091784704.0,13488.0,4920.0
83.104,7.134,9.011,0.0,0.0,0.751,0.0,405504.0,0.630,2.710,3.770,2076962816.0,479756288.0,4991057920.0,9195741184.0,1584494.0,6455630.0,6.0,0.0,59.0,0.0,17091784704.0,9317.0,4821.0
82.412,3.015,12.940,0.0,0.0,1.633,0.0,5824512.0,0.630,2.710,3.770,2043604992.0,479760384.0,4983099392.0,9237053440.0,4355724.0,7157123.0,6.0,0.0,12.0,0.0,17091784704.0,12122.0,8234.0
51.815,2.128,45.307,0.0,0.0,0.751,0.0,180224.0,0.740,2.700,3.770,1912377344.0,479760384.0,4976316416.0,9375064064.0,2609771.0,5200793.0,2.0,0.0,10.0,0.0,17091784704.0,8736.0,5700.0
25.907,0.876,72.966,0.0,0.0,0.250,0.0,49152.0,0.740,2.700,3.770,1926742016.0,479760384.0,4973879296.0,9363136512.0,1893390.0,47982.0,2.0,0.0,0.0,0.0,17091784704.0,3414.0,3714.0
10.973,0.623,88.155,0.0,0.0,0.249,0.0,8192.0,0.740,2.700,3.770,1796554752.0,479760384.0,4972703744.0,9494499328.0,1890.0,198.0,0.0,0.0,2.0,0.0,17091784704.0,1175.0,1153.0
1.003,0.501,98.496,0.0,0.0,0.0,0.0,0.0,0.740,2.700,3.770,1796591616.0,479760384.0,4972548096.0,9494618112.0,1890.0,198.0,0.0,0.0,0.0,0.0,17091784704.0,368.0,650.0
7.663,1.759,90.452,0.126,0.0,0.0,0.0,1728512.0,0.740,2.700,3.770,1933484032.0,479760384.0,4925120512.0,9405153280.0,1431588.0,32274.0,1.0,0.0,5.0,0.0,17091784704.0,2356.0,2756.0
12.625,1.250,86.125,0.0,0.0,0.0,0.0,0.0,0.760,2.670,3.750,1942884352.0,479760384.0,4944957440.0,9375916032.0,2004.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,674.0,819.0
13.250,0.625,86.125,0.0,0.0,0.0,0.0,0.0,0.760,2.670,3.750,1944219648.0,479760384.0,4969508864.0,9350029312.0,2004.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,637.0,773.0
7.044,4.025,85.912,2.642,0.0,0.377,0.0,172179456.0,0.760,2.670,3.750,1778073600.0,479760384.0,4975378432.0,9510305792.0,2070.0,378.0,1.0,0.0,54.0,0.0,17091784704.0,1577.0,1612.0
12.547,1.129,86.073,0.0,0.0,0.251,0.0,26611712.0,0.760,2.670,3.750,1873727488.0,479760384.0,4975480832.0,9414549504.0,1890.0,198.0,1.0,0.0,30.0,0.0,17091784704.0,1635.0,1697.0
13.409,0.501,85.840,0.251,0.0,0.0,0.0,1503232.0,0.760,2.670,3.750,1891745792.0,479760384.0,4975480832.0,9396531200.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,691.0,842.0
13.425,0.502,86.073,0.0,0.0,0.0,0.0,0.0,0.780,2.640,3.740,1906241536.0,479760384.0,4975480832.0,9382035456.0,1950.0,240.0,1.0,0.0,0.0,0.0,17091784704.0,648.0,810.0
13.802,5.270,77.164,3.011,0.0,0.753,0.0,192827392.0,0.780,2.640,3.740,1938706432.0,479764480.0,4969078784.0,9355968512.0,1890.0,198.0,1.0,0.0,63.0,0.0,17091784704.0,1666.0,1712.0
13.358,0.749,85.893,0.0,0.0,0.0,0.0,0.0,0.780,2.640,3.740,2016612352.0,479764480.0,4968574976.0,9278566400.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,677.0,850.0
13.283,0.501,86.216,0.0,0.0,0.0,0.0,0.0,0.780,2.640,3.740,2086326272.0,479764480.0,4968321024.0,9209106432.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,632.0,795.0
13.517,0.626,85.732,0.125,0.0,0.0,0.0,311296.0,0.780,2.640,3.740,2111434752.0,479764480.0,4968321024.0,9183997952.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,708.0,885.0
13.642,0.250,86.108,0.0,0.0,0.0,0.0,0.0,0.800,2.610,3.720,2117099520.0,479764480.0,4968611840.0,9178042368.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,608.0,751.0
13.819,0.126,86.055,0.0,0.0,0.0,0.0,0.0,0.800,2.610,3.720,2123800576.0,479764480.0,4968906752.0,9171046400.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,681.0,841.0
13.625,0.500,85.875,0.0,0.0,0.0,0.0,0.0,0.800,2.610,3.720,2130124800.0,479764480.0,4969152512.0,9164476416.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,634.0,790.0
13.267,0.626,86.108,0.0,0.0,0.0,0.0,0.0,0.800,2.610,3.720,1917239296.0,479764480.0,4978679808.0,9367834624.0,1890.0,198.0,1.0,0.0,1.0,0.0,17091784704.0,692.0,839.0
12.171,1.882,85.822,0.125,0.0,0.0,0.0,114688.0,0.800,2.610,3.720,2117799936.0,479764480.0,4969242624.0,9176711168.0,1890.0,198.0,1.0,0.0,5.0,0.0,17091784704.0,1017.0,1118.0
12.296,1.631,86.073,0.0,0.0,0.0,0.0,0.0,0.810,2.580,3.710,2437922816.0,479764480.0,4968927232.0,8856903680.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,662.0,810.0
11.890,2.253,85.857,0.0,0.0,0.0,0.0,0.0,0.810,2.580,3.710,2934800384.0,479764480.0,4968927232.0,8360026112.0,1950.0,240.0,1.0,0.0,0.0,0.0,17091784704.0,702.0,867.0
13.158,1.128,85.714,0.0,0.0,0.0,0.0,0.0,0.810,2.580,3.710,3138691072.0,479764480.0,4968931328.0,8156131328.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,677.0,819.0
13.875,0.375,85.750,0.0,0.0,0.0,0.0,0.0,0.810,2.580,3.710,3141218304.0,479764480.0,4968931328.0,8153604096.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,654.0,820.0
13.551,0.627,85.822,0.0,0.0,0.0,0.0,2441216.0,0.810,2.580,3.710,3155312640.0,479768576.0,4968935424.0,8139501568.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,710.0,859.0
13.676,0.376,85.947,0.0,0.0,0.0,0.0,0.0,0.910,2.580,3.700,3162718208.0,479768576.0,4978860032.0,8122171392.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,625.0,802.0
14.268,0.501,85.232,0.0,0.0,0.0,0.0,0.0,0.910,2.580,3.700,3142725632.0,479768576.0,4990066688.0,8130957312.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,715.0,890.0
14.053,0.251,85.696,0.0,0.0,0.0,0.0,0.0,0.910,2.580,3.700,3145031680.0,479768576.0,4999561216.0,8119156736.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,650.0,801.0
14.143,0.375,85.482,0.0,0.0,0.0,0.0,0.0,0.910,2.580,3.700,3144523776.0,479768576.0,5009571840.0,8109654016.0,1890.0,198.0,1.0,0.0,0.0,0.0,17091784704.0,661.0,843.0
