"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sis41.csv",,,,"Date:","09 Mar 2014 22:51:17 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
0.748,0.059,99.065,0.121,0.000,0.007,2171.996,169993.099,0.120,0.420,0.580,1199919104.0,456826880.0,8226258944.0,6860513280.0,0.0,0.0,0.0,0.0,0.359,0.0,17091784704.0,238.522,298.241
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.120,0.420,0.580,1199919104.0,456826880.0,8226258944.0,6860513280.0,366.0,1362.0,0.0,0.0,0.0,0.0,17091784704.0,114.0,187.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.190,0.430,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,80.0,153.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.190,0.430,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,79.0,146.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.190,0.430,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,81.0,152.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.190,0.430,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,85.0,162.0
0.125,0.0,99.375,0.500,0.0,0.0,0.0,45056.0,0.190,0.430,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,156.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.420,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,84.0,154.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.420,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,70.0,142.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.170,0.420,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,79.0,151.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.170,0.420,0.580,1199923200.0,456826880.0,8226263040.0,6860505088.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,82.0,158.0
9.387,0.626,89.737,0.0,0.0,0.250,0.0,0.0,0.170,0.420,0.580,1249304576.0,456826880.0,8229863424.0,6807523328.0,3670970.0,86602.0,2.0,0.0,4.0,0.0,17091784704.0,5444.0,5209.0
36.080,1.498,61.798,0.499,0.0,0.125,0.0,40960.0,0.480,0.480,0.600,1390174208.0,456826880.0,8230350848.0,6666166272.0,2654566.0,378882.0,4.0,0.0,10.0,0.0,17091784704.0,4492.0,4469.0
42.804,0.250,56.821,0.0,0.0,0.125,0.0,0.0,0.480,0.480,0.600,1311670272.0,456826880.0,8229994496.0,6745026560.0,1291073.0,1245546.0,2.0,0.0,5.0,0.0,17091784704.0,4332.0,2831.0
39.474,1.003,59.148,0.0,0.0,0.376,0.0,0.0,0.480,0.480,0.600,1372495872.0,456826880.0,8233181184.0,6681014272.0,2699702.0,270660.0,4.0,0.0,8.0,0.0,17091784704.0,4215.0,4491.0
15.980,0.499,83.396,0.0,0.0,0.125,0.0,0.0,0.480,0.480,0.600,1251270656.0,456826880.0,8227454976.0,6807965696.0,36270.0,1521851.0,1.0,0.0,2.0,0.0,17091784704.0,2223.0,856.0
4.994,0.125,94.632,0.0,0.0,0.250,0.0,0.0,0.480,0.480,0.600,1202450432.0,456826880.0,8226103296.0,6858137600.0,14160.0,583344.0,1.0,0.0,1.0,0.0,17091784704.0,974.0,434.0
0.0,0.125,99.376,0.499,0.0,0.0,0.0,65536.0,0.600,0.510,0.600,1201168384.0,456830976.0,8226357248.0,6859161600.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,85.0,158.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.600,0.510,0.600,1201164288.0,456830976.0,8226361344.0,6859161600.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,76.0,147.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.600,0.510,0.600,1201164288.0,456830976.0,8226361344.0,6859161600.0,366.0,530.0,0.0,0.0,0.0,0.0,17091784704.0,83.0,153.0
