"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-To-be-filled-by-O-E-M",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sis43.csv",,,,"Date:","09 Mar 2014 22:51:19 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.194,0.069,98.695,0.038,0.0,0.004,10318.930,51549.723,0.0,0.190,0.230,544428032.0,375259136.0,1454899200.0,14344916992.0,0.0,0.0,0.0,0.0,0.520,0.0,17069838336.0,89.353,84.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544428032.0,375259136.0,1454899200.0,14344916992.0,366.0,1362.0,0.0,0.0,0.0,0.0,17069838336.0,64.0,80.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544432128.0,375259136.0,1454903296.0,14344908800.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,21.0,26.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544178176.0,375259136.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,35.0,58.0
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544178176.0,375259136.0,1454903296.0,14345162752.0,426.0,590.0,0.0,0.0,0.0,0.0,17069838336.0,40.0,52.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544178176.0,375259136.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,22.0,30.0
0.0,0.0,99.249,0.751,0.0,0.0,0.0,57344.0,0.0,0.190,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,30.0,48.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,28.0,38.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.190,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,480.0,596.0,0.0,0.0,0.0,0.0,17069838336.0,34.0,44.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,25.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,4096.0,0.0,0.180,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,33.0,50.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.180,0.230,544169984.0,375267328.0,1454903296.0,14345162752.0,366.0,530.0,0.0,0.0,0.0,0.0,17069838336.0,29.0,38.0
