"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","uc-Z68P-DS3",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output sim1.csv",,,,"Date:","09 Mar 2014 23:48:22 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
10.825,0.970,88.128,0.029,0.000,0.048,14641.490,1167286.670,0.810,3.390,4.430,1702424576.0,480993280.0,3789914112.0,10770186240.0,0.0,0.0,0.000,0.0,6.491,0.0,17091784704.0,809.404,846.557
3.865,1.496,94.638,0.0,0.0,0.0,0.0,0.0,0.810,3.390,4.430,1703227392.0,480993280.0,3789914112.0,10769383424.0,300.0,0.0,0.0,0.0,0.0,0.0,17091784704.0,691.0,977.0
9.045,2.136,88.819,0.0,0.0,0.0,0.0,118784.0,0.810,3.390,4.430,1721348096.0,480993280.0,3789856768.0,10751320064.0,300.0,0.0,2.0,0.0,100.0,0.0,17091784704.0,1950.0,2245.0
14.894,1.877,83.104,0.0,0.0,0.125,0.0,0.0,0.810,3.390,4.430,1702739968.0,480993280.0,3627114496.0,10932670464.0,360.0,42.0,1.0,0.0,5.0,0.0,17091784704.0,1413.0,1356.0
7.026,1.882,90.966,0.0,0.0,0.125,0.0,184320.0,0.810,3.390,4.430,1704050688.0,480993280.0,3617370112.0,10941104128.0,300.0,0.0,0.0,0.0,60.0,0.0,17091784704.0,1347.0,1587.0
0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,0.740,3.330,4.400,1704022016.0,480993280.0,3617648640.0,10940854272.0,300.0,0.0,0.0,0.0,1.0,0.0,17091784704.0,343.0,627.0
6.375,2.0,91.250,0.250,0.0,0.125,0.0,4956160.0,0.740,3.330,4.400,1726107648.0,480993280.0,3627442176.0,10908975104.0,300.0,0.0,1.0,0.0,28.0,0.0,17091784704.0,1467.0,2083.0
33.250,8.250,58.375,0.0,0.0,0.125,0.0,733184.0,0.740,3.330,4.400,1818038272.0,480993280.0,3614048256.0,10830438400.0,300.0,0.0,10.0,0.0,84.0,0.0,17091784704.0,2832.0,2949.0
95.990,4.010,0.0,0.0,0.0,0.0,0.0,65536.0,0.740,3.330,4.400,1921110016.0,480993280.0,3614281728.0,10727133184.0,300.0,0.0,11.0,0.0,19.0,0.0,17091784704.0,2185.0,1924.0
95.256,4.494,0.125,0.0,0.0,0.125,0.0,20480.0,0.740,3.330,4.400,2061455360.0,480993280.0,3614121984.0,10586947584.0,300.0,0.0,9.0,0.0,16.0,0.0,17091784704.0,2176.0,1889.0
97.004,2.871,0.0,0.0,0.0,0.125,0.0,45056.0,1.410,3.430,4.430,2081890304.0,480993280.0,3614142464.0,10566492160.0,300.0,0.0,9.0,0.0,20.0,0.0,17091784704.0,2167.0,1870.0
97.497,2.503,0.0,0.0,0.0,0.0,0.0,1953792.0,1.410,3.430,4.430,2181541888.0,481001472.0,3614920704.0,10466054144.0,300.0,0.0,10.0,0.0,5.0,0.0,17091784704.0,2166.0,1809.0
96.255,3.620,0.125,0.0,0.0,0.0,0.0,45056.0,1.410,3.430,4.430,2120949760.0,481001472.0,3616215040.0,10525351936.0,300.0,0.0,9.0,0.0,11.0,0.0,17091784704.0,2170.0,1834.0
94.500,5.500,0.0,0.0,0.0,0.0,0.0,114688.0,1.410,3.430,4.430,1985765376.0,481001472.0,3616133120.0,10660618240.0,300.0,0.0,9.0,0.0,25.0,0.0,17091784704.0,2187.0,1946.0
95.244,4.756,0.0,0.0,0.0,0.0,0.0,32768.0,1.410,3.430,4.430,2052136960.0,481001472.0,3614392320.0,10595987456.0,360.0,42.0,11.0,0.0,19.0,0.0,17091784704.0,2178.0,1898.0
95.250,4.750,0.0,0.0,0.0,0.0,0.0,61440.0,2.010,3.520,4.450,2041110528.0,481001472.0,3614789632.0,10606616576.0,300.0,0.0,9.0,0.0,20.0,0.0,17091784704.0,2181.0,1882.0
95.131,4.494,0.125,0.0,0.0,0.250,0.0,258048.0,2.010,3.520,4.450,2049781760.0,481005568.0,3613941760.0,10598789120.0,300.0,0.0,9.0,0.0,20.0,0.0,17091784704.0,2189.0,1926.0
95.244,4.631,0.125,0.0,0.0,0.0,0.0,73728.0,2.010,3.520,4.450,1981104128.0,481005568.0,3615322112.0,10666086400.0,300.0,0.0,11.0,0.0,31.0,0.0,17091784704.0,2213.0,1970.0
79.474,2.879,17.522,0.0,0.0,0.125,0.0,77824.0,2.010,3.520,4.450,1885618176.0,481005568.0,3614343168.0,10762551296.0,300.0,0.0,4.0,0.0,19.0,0.0,17091784704.0,2142.0,1765.0
24.623,0.754,74.623,0.0,0.0,0.0,0.0,45056.0,2.010,3.520,4.450,1821605888.0,481005568.0,3614433280.0,10826473472.0,300.0,0.0,1.0,0.0,3.0,0.0,17091784704.0,1292.0,1153.0
12.766,0.501,86.733,0.0,0.0,0.0,0.0,0.0,1.930,3.480,4.430,1825181696.0,481005568.0,3614744576.0,10822586368.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,584.0,709.0
12.0,1.250,86.625,0.125,0.0,0.0,0.0,278528.0,1.930,3.480,4.430,1826754560.0,481009664.0,3566190592.0,10869563392.0,300.0,0.0,1.0,0.0,6.0,0.0,17091784704.0,828.0,938.0
12.390,0.876,86.733,0.0,0.0,0.0,0.0,0.0,1.930,3.480,4.430,1870172160.0,481009664.0,3582816256.0,10809520128.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,570.0,690.0
12.516,0.876,86.483,0.0,0.0,0.125,0.0,4440064.0,1.930,3.480,4.430,1871986688.0,481009664.0,3609575424.0,10780946432.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,903.0,712.0
11.669,1.506,86.826,0.0,0.0,0.0,0.0,2723840.0,1.930,3.480,4.430,1745063936.0,481009664.0,3616747520.0,10900697088.0,300.0,0.0,1.0,0.0,54.0,0.0,17091784704.0,1551.0,1788.0
12.390,0.876,86.733,0.0,0.0,0.0,0.0,0.0,1.860,3.440,4.410,1769332736.0,481009664.0,3616747520.0,10876428288.0,360.0,42.0,1.0,0.0,0.0,0.0,17091784704.0,622.0,714.0
12.734,0.375,86.642,0.250,0.0,0.0,0.0,1851392.0,1.860,3.440,4.410,1781846016.0,481013760.0,3616759808.0,10863898624.0,300.0,0.0,2.0,0.0,0.0,0.0,17091784704.0,586.0,737.0
13.892,2.378,83.730,0.0,0.0,0.0,0.0,430080.0,1.860,3.440,4.410,2107969536.0,481013760.0,3608862720.0,10545672192.0,300.0,0.0,1.0,0.0,54.0,0.0,17091784704.0,929.0,1305.0
12.657,0.877,86.466,0.0,0.0,0.0,0.0,0.0,1.860,3.440,4.410,2248421376.0,481013760.0,3608866816.0,10405216256.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,607.0,735.0
10.125,3.125,86.750,0.0,0.0,0.0,0.0,0.0,1.860,3.440,4.410,2917367808.0,481013760.0,3608666112.0,9736470528.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,566.0,682.0
12.891,0.375,86.733,0.0,0.0,0.0,0.0,0.0,1.790,3.400,4.400,2924498944.0,481013760.0,3608666112.0,9729339392.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,573.0,700.0
12.750,0.375,86.750,0.125,0.0,0.0,0.0,712704.0,1.790,3.400,4.400,2930143232.0,481013760.0,3608666112.0,9723695104.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,542.0,663.0
12.500,0.875,86.625,0.0,0.0,0.0,0.0,0.0,1.790,3.400,4.400,2945110016.0,481013760.0,3622133760.0,9695260672.0,300.0,0.0,1.0,0.0,0.0,0.0,17091784704.0,637.0,775.0
