"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-103",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output xufull_3_master.csv",,,,"Date:","10 Mar 2014 20:07:01 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
22.023,1.969,75.687,0.094,0.000,0.227,67944.312,3506805.992,0.040,0.040,0.050,1495851008.0,315019264.0,910643200.0,14021386240.0,0.0,0.0,0.000,0.0,24.074,0.0,17091784704.0,3126.910,2580.949
0.627,0.376,98.996,0.0,0.0,0.0,0.0,0.0,0.040,0.040,0.050,1496068096.0,315019264.0,910671872.0,14021140480.0,2312.0,396.0,0.0,0.0,1.0,0.0,17091784704.0,328.0,440.0
3.250,4.125,92.625,0.0,0.0,0.0,0.0,0.0,0.200,0.070,0.060,1496059904.0,315019264.0,910692352.0,14021128192.0,2004.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,864.0,1266.0
4.756,1.001,94.243,0.0,0.0,0.0,0.0,12288.0,0.200,0.070,0.060,1496289280.0,315019264.0,910692352.0,14020898816.0,2214.0,330.0,0.0,0.0,0.0,0.0,17091784704.0,564.0,691.0
0.375,0.125,99.501,0.0,0.0,0.0,0.0,0.0,0.200,0.070,0.060,1496109056.0,315019264.0,910692352.0,14021079040.0,2124.0,398.0,0.0,0.0,0.0,0.0,17091784704.0,173.0,355.0
0.374,0.125,99.377,0.0,0.0,0.125,0.0,0.0,0.200,0.070,0.060,1496158208.0,315019264.0,910692352.0,14021029888.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,157.0,289.0
0.375,0.250,99.251,0.125,0.0,0.0,0.0,172032.0,0.200,0.070,0.060,1496150016.0,315027456.0,910692352.0,14021029888.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,237.0,430.0
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,0.180,0.070,0.060,1496133632.0,315027456.0,910692352.0,14021046272.0,2004.0,264.0,0.0,0.0,0.0,0.0,17091784704.0,256.0,467.0
1.873,0.999,97.129,0.0,0.0,0.0,0.0,110592.0,0.180,0.070,0.060,1501003776.0,315027456.0,910696448.0,14016172032.0,2312.0,396.0,2.0,0.0,72.0,0.0,17091784704.0,758.0,1203.0
17.207,0.873,81.920,0.0,0.0,0.0,0.0,4096.0,0.180,0.070,0.060,1502437376.0,315027456.0,910696448.0,14014738432.0,2004.0,264.0,2.0,0.0,33.0,0.0,17091784704.0,1981.0,1417.0
8.864,1.373,89.513,0.0,0.0,0.250,0.0,163840.0,0.180,0.070,0.060,1503846400.0,315027456.0,912629760.0,14011396096.0,2064.0,324.0,1.0,0.0,60.0,0.0,17091784704.0,1085.0,1180.0
0.375,0.125,99.499,0.0,0.0,0.0,0.0,626688.0,0.180,0.070,0.060,1503825920.0,315035648.0,912814080.0,14011224064.0,2312.0,396.0,1.0,0.0,0.0,0.0,17091784704.0,188.0,302.0
4.613,0.623,94.763,0.0,0.0,0.0,0.0,4096.0,0.170,0.070,0.060,1524224000.0,315035648.0,920858624.0,13982781440.0,2004.0,264.0,1.0,0.0,0.0,0.0,17091784704.0,516.0,504.0
37.218,12.907,49.624,0.0,0.0,0.251,0.0,2392064.0,0.170,0.070,0.060,1565794304.0,315035648.0,934457344.0,13927612416.0,51168.0,1996622.0,13.0,0.0,183.0,0.0,17091784704.0,6005.0,5479.0
82.456,12.531,3.509,0.0,0.0,1.504,0.0,290816.0,0.170,0.070,0.060,1614274560.0,315035648.0,941809664.0,13871779840.0,1224012.0,10220939.0,10.0,0.0,199.0,0.0,17091784704.0,12868.0,4829.0
85.106,12.891,0.501,0.0,0.0,1.502,0.0,311296.0,0.170,0.070,0.060,1657118720.0,315035648.0,950747136.0,13819998208.0,2387362.0,11219635.0,12.0,0.0,117.0,0.0,17091784704.0,14247.0,6024.0
83.730,14.518,0.250,0.0,0.0,1.502,0.0,2879488.0,0.170,0.070,0.060,1719177216.0,315047936.0,955842560.0,13752832000.0,2811158.0,10629734.0,12.0,0.0,116.0,0.0,17091784704.0,14383.0,6491.0
85.607,13.392,0.125,0.0,0.0,0.876,0.0,253952.0,1.280,0.300,0.130,1742819328.0,315047936.0,966246400.0,13718786048.0,3008624.0,10501706.0,13.0,0.0,100.0,0.0,17091784704.0,14142.0,6761.0
87.375,10.875,0.125,0.125,0.0,1.500,0.0,245760.0,1.280,0.300,0.130,1749233664.0,315047936.0,972988416.0,13705629696.0,2683002.0,10776515.0,10.0,0.0,100.0,0.0,17091784704.0,13792.0,6512.0
87.125,11.500,0.250,0.0,0.0,1.125,0.0,348160.0,1.280,0.300,0.130,1720213504.0,315047936.0,981540864.0,13726097408.0,2923460.0,11961884.0,10.0,0.0,115.0,0.0,17091784704.0,15051.0,6806.0
86.358,12.516,0.125,0.0,0.0,1.001,0.0,282624.0,1.280,0.300,0.130,1696301056.0,315047936.0,986001408.0,13745549312.0,2763538.0,10597444.0,13.0,0.0,103.0,0.0,17091784704.0,13824.0,6365.0
87.500,11.500,0.125,0.0,0.0,0.875,0.0,2588672.0,1.280,0.300,0.130,1769414656.0,315060224.0,994635776.0,13663789056.0,2042710.0,10832889.0,9.0,0.0,101.0,0.0,17091784704.0,13858.0,5577.0
86.984,10.889,1.001,0.0,0.0,1.126,0.0,225280.0,1.890,0.450,0.180,1718620160.0,315060224.0,1002004480.0,13707214848.0,3682354.0,8444055.0,10.0,0.0,89.0,0.0,17091784704.0,12574.0,7414.0
87.0,11.500,0.375,0.0,0.0,1.125,0.0,274432.0,1.890,0.450,0.180,1746866176.0,315060224.0,1010597888.0,13670375424.0,3634557.0,8034270.0,12.0,0.0,100.0,0.0,17091784704.0,12305.0,7202.0
87.860,10.638,0.125,0.0,0.0,1.377,0.0,311296.0,1.890,0.450,0.180,1751769088.0,315060224.0,1016688640.0,13659381760.0,2717652.0,10873606.0,11.0,0.0,94.0,0.0,17091784704.0,14431.0,7324.0
86.267,12.235,0.624,0.0,0.0,0.874,0.0,249856.0,1.890,0.450,0.180,1625071616.0,315060224.0,1025150976.0,13777616896.0,2123786.0,7683288.0,9.0,0.0,133.0,0.0,17091784704.0,10997.0,5769.0
85.607,12.140,1.126,0.0,0.0,1.126,0.0,2891776.0,1.890,0.450,0.180,1666445312.0,315068416.0,1033646080.0,13727739904.0,2491090.0,7667789.0,12.0,0.0,164.0,0.0,17091784704.0,11829.0,6180.0
89.724,9.148,0.125,0.0,0.0,1.003,0.0,245760.0,2.460,0.590,0.230,1690312704.0,315068416.0,1040257024.0,13697261568.0,2290018.0,8666274.0,8.0,0.0,89.0,0.0,17091784704.0,12108.0,5707.0
86.875,12.125,0.125,0.0,0.0,0.875,0.0,282624.0,2.460,0.590,0.230,1673564160.0,315068416.0,1047277568.0,13706989568.0,2780074.0,9767059.0,11.0,0.0,105.0,0.0,17091784704.0,13726.0,6502.0
88.486,10.263,0.250,0.0,0.0,1.001,0.0,233472.0,2.460,0.590,0.230,1671913472.0,315068416.0,1054482432.0,13701435392.0,2749724.0,8673235.0,10.0,0.0,104.0,0.0,17091784704.0,11837.0,6203.0
