"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test-101",,,,"User:","uc"
"Cmdline:","dstat -cdlmnpsy --output xufull_3_slave101.csv",,,,"Date:","10 Mar 2014 20:06:59 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
7.852,0.256,91.825,0.029,0.0,0.038,17853.730,25652.332,0.0,0.010,0.050,274333696.0,115433472.0,274608128.0,7467352064.0,0.0,0.0,0.0,0.0,2.551,0.0,8343515136.0,560.062,522.062
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274468864.0,115433472.0,274608128.0,7467216896.0,426.0,1422.0,0.0,0.0,0.0,0.0,8343515136.0,70.0,82.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,26.0,38.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,27.0,36.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,558.0,912.0,0.0,0.0,0.0,0.0,8343515136.0,57.0,98.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274579456.0,115433472.0,274624512.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,30.0
0.125,0.0,99.500,0.375,0.0,0.0,0.0,28672.0,0.0,0.010,0.050,274579456.0,115433472.0,274624512.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,33.0,59.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274579456.0,115433472.0,274624512.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,21.0,30.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,42.0,58.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,25.0,32.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,32.0,48.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,21.0,30.0
0.125,0.125,99.252,0.499,0.0,0.0,0.0,12288.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,426.0,590.0,0.0,0.0,0.0,0.0,8343515136.0,45.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,24.0,34.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,558.0,912.0,0.0,0.0,0.0,0.0,8343515136.0,36.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,274591744.0,115433472.0,274612224.0,7467089920.0,366.0,530.0,0.0,0.0,0.0,0.0,8343515136.0,21.0,28.0
0.750,0.375,98.875,0.0,0.0,0.0,0.0,0.0,0.0,0.010,0.050,275333120.0,115433472.0,275664896.0,7465295872.0,1263601.0,31516.0,2.0,0.0,3.0,0.0,8343515136.0,501.0,754.0
26.942,0.752,72.180,0.0,0.0,0.125,0.0,0.0,0.0,0.010,0.050,317849600.0,115433472.0,277737472.0,7420706816.0,2520909.0,419776.0,2.0,0.0,16.0,0.0,8343515136.0,2591.0,2274.0
19.650,0.751,78.849,0.626,0.0,0.125,0.0,45056.0,0.0,0.010,0.050,314175488.0,115433472.0,277131264.0,7424987136.0,3902045.0,859420.0,2.0,0.0,9.0,0.0,8343515136.0,2568.0,2755.0
38.722,1.378,59.774,0.0,0.0,0.125,0.0,0.0,0.0,0.010,0.050,375570432.0,115433472.0,277770240.0,7362953216.0,2659381.0,840124.0,4.0,0.0,11.0,0.0,8343515136.0,2505.0,2159.0
22.932,1.128,75.815,0.0,0.0,0.125,0.0,0.0,0.160,0.050,0.060,316899328.0,115433472.0,278106112.0,7421288448.0,4169395.0,1234542.0,3.0,0.0,13.0,0.0,8343515136.0,2855.0,2842.0
